# Radial distribution function in trajectory ewald/nacl/crystal/mc/NVT/trajectory.nc
# Using selection: name Cl
# r   g(r)   N_ij(r)   N_ji(r)
0.025 0 0 0
0.075 0 0 0
0.125 0 0 0
0.175 0 0 0
0.225 0 0 0
0.275 0 0 0
0.325 0 0 0
0.375 0 0 0
0.425 0 0 0
0.475 0 0 0
0.525 0 0 0
0.575 0 0 0
0.625 0 0 0
0.675 0 0 0
0.725 0 0 0
0.775 0 0 0
0.825 0 0 0
0.875 0 0 0
0.925 0 0 0
0.975 0 0 0
1.025 0 0 0
1.075 0 0 0
1.125 0 0 0
1.175 0 0 0
1.225 0 0 0
1.275 0 0 0
1.325 0 0 0
1.375 0 0 0
1.425 0 0 0
1.475 0 0 0
1.525 0 0 0
1.575 0 0 0
1.625 0 0 0
1.675 0 0 0
1.725 0 0 0
1.775 0 0 0
1.825 0 0 0
1.875 0 0 0
1.925 0 0 0
1.975 0 0 0
2.025 0 0 0
2.075 0 0 0
2.125 0 0 0
2.175 0 0 0
2.225 0 0 0
2.275 0 0 0
2.325 0 0 0
2.375 0 0 0
2.425 0 0 0
2.475 0 0 0
2.525 0 0 0
2.575 0 0 0
2.625 0 0 0
2.675 0 0 0
2.725 0 0 0
2.775 0 0 0
2.825 0 0 0
2.875 0 0 0
2.925 0 0 0
2.975 0 0 0
3.025 0 0 0
3.075 0 0 0
3.125 0 0 0
3.175 0 0 0
3.225 0 0 0
3.275 0 0 0
3.325 0 0 0
3.375 0 0 0
3.425 0 0 0
3.475 0.000461875 7.8125e-05 7.8125e-05
3.525 0.00179546 0.000390625 0.000390625
3.575 0.0127646 0.00267578 0.00267578
3.625 0.0619684 0.014082 0.014082
3.675 0.244375 0.0603125 0.0603125
3.725 0.731062 0.202402 0.202402
3.775 1.80397 0.5625 0.5625
3.825 3.63575 1.3076 1.3076
3.875 6.03453 2.57684 2.57684
3.925 8.15844 4.33736 4.33736
3.975 9.16638 6.36611 6.36611
4.025 8.62144 8.32256 8.32256
4.075 6.68821 9.87824 9.87824
4.125 4.40974 10.9293 10.9293
4.175 2.45663 11.5291 11.5291
4.225 1.16434 11.8202 11.8202
4.275 0.468076 11.94 11.94
4.325 0.157955 11.9814 11.9814
4.375 0.0523777 11.9955 11.9955
4.425 0.0126756 11.9989 11.9989
4.475 0.0029244 11.9998 11.9998
4.525 0.000612885 11.9999 11.9999
4.575 6.6618e-05 12 12
4.625 0.000130371 12 12
4.675 0 12 12
4.725 0 12 12
4.775 0 12 12
4.825 0 12 12
4.875 0 12 12
4.925 0 12 12
4.975 0 12 12
5.025 0 12 12
5.075 0 12 12
5.125 5.30867e-05 12 12
5.175 0.000260329 12.0001 12.0001
5.225 0.00321767 12.0013 12.0013
5.275 0.0153839 12.0073 12.0073
5.325 0.0621066 12.032 12.032
5.375 0.191702 12.1096 12.1096
5.425 0.460369 12.2994 12.2994
5.475 0.951724 12.699 12.699
5.525 1.48509 13.334 13.334
5.575 1.99477 14.2024 14.2024
5.625 2.21555 15.1844 15.1844
5.675 2.05614 16.1119 16.1119
5.725 1.6663 16.8769 16.8769
5.775 1.12784 17.4038 17.4038
5.825 0.666016 17.7203 17.7203
5.875 0.335948 17.8828 17.8828
5.925 0.151488 17.9572 17.9572
5.975 0.0575699 17.986 17.986
6.025 0.0196666 17.996 17.996
6.075 0.00600729 17.9991 17.9991
6.125 0.00144953 17.9999 17.9999
6.175 0.000146272 18 18
6.225 3.59828e-05 18 18
6.275 0 18 18
6.325 0.000383394 18.0002 18.0002
6.375 0.00164685 18.0012 18.0012
6.425 0.00844437 18.006 18.006
6.475 0.0277038 18.0223 18.0223
6.525 0.090685 18.0764 18.0764
6.575 0.240614 18.2221 18.2221
6.625 0.557512 18.5648 18.5648
6.675 1.18138 19.3021 19.3021
6.725 2.1254 20.6486 20.6486
6.775 3.35932 22.8084 22.8084
6.825 4.5216 25.7587 25.7587
6.875 5.28261 29.2561 29.2561
6.925 5.35786 32.8551 32.8551
6.975 4.72774 36.0769 36.0769
7.025 3.56496 38.5413 38.5413
7.075 2.37432 40.206 40.206
7.125 1.35462 41.1693 41.1693
7.175 0.680241 41.6598 41.6598
7.225 0.296711 41.8768 41.8768
7.275 0.112943 41.9605 41.9605
7.325 0.0372396 41.9885 41.9885
7.375 0.0115875 41.9973 41.9973
7.425 0.00326265 41.9998 41.9998
7.475 0.0018716 42.0013 42.0013
7.525 0.00581129 42.0059 42.0059
7.575 0.0203878 42.0223 42.0223
7.625 0.0593806 42.0707 42.0707
7.675 0.152299 42.1963 42.1963
7.725 0.342212 42.4824 42.4824
7.775 0.649263 43.0321 43.0321
7.825 1.07045 43.9503 43.9503
7.875 1.55312 45.2994 45.2994
7.925 1.90082 46.9716 46.9716
7.975 2.05755 48.8047 48.8047
8.025 1.86253 50.4848 50.4848
8.075 1.5127 51.8665 51.8665
8.125 1.05211 52.8394 52.8394
8.175 0.636708 53.4354 53.4354
8.225 0.342722 53.7602 53.7602
8.275 0.158626 53.9123 53.9123
8.325 0.0601557 53.9707 53.9707
8.375 0.0217083 53.992 53.992
8.425 0.00840771 54.0004 54.0004
8.475 0.0118808 54.0123 54.0123
8.525 0.0351872 54.0482 54.0482
8.575 0.109132 54.1606 54.1606
8.625 0.275139 54.4473 54.4473
8.675 0.598167 55.0778 55.0778
8.725 1.13202 56.2849 56.2849
8.775 1.84079 58.2703 58.2703
8.825 2.59417 61.1003 61.1003
8.875 3.14359 64.5686 64.5686
8.925 3.26584 68.2125 68.2125
8.975 2.95385 71.5454 71.5454
9.025 2.31805 74.1901 74.1901
9.075 1.56365 75.9939 75.9939
9.125 0.910038 77.0553 77.0553
9.175 0.467151 77.6061 77.6061
9.225 0.208955 77.8552 77.8552
9.275 0.0835068 77.9558 77.9558
9.325 0.032728 77.9957 77.9957
9.375 0.0233687 78.0245 78.0245
9.425 0.0406704 78.0751 78.0751
9.475 0.0884367 78.1863 78.1863
9.525 0.180985 78.4163 78.4163
9.575 0.326777 78.8359 78.8359
