# Radial distribution function in trajectory ewald/nacl/crystal/mc/NVT/trajectory.nc
# Using selection: pairs: name(#1) Na and name(#2) Cl
# r   g(r)   N_ij(r)   N_ji(r)
0.025 0 0 0
0.075 0 0 0
0.125 0 0 0
0.175 0 0 0
0.225 0 0 0
0.275 0 0 0
0.325 0 0 0
0.375 0 0 0
0.425 0 0 0
0.475 0 0 0
0.525 0 0 0
0.575 0 0 0
0.625 0 0 0
0.675 0 0 0
0.725 0 0 0
0.775 0 0 0
0.825 0 0 0
0.875 0 0 0
0.925 0 0 0
0.975 0 0 0
1.025 0 0 0
1.075 0 0 0
1.125 0 0 0
1.175 0 0 0
1.225 0 0 0
1.275 0 0 0
1.325 0 0 0
1.375 0 0 0
1.425 0 0 0
1.475 0 0 0
1.525 0 0 0
1.575 0 0 0
1.625 0 0 0
1.675 0 0 0
1.725 0 0 0
1.775 0 0 0
1.825 0 0 0
1.875 0 0 0
1.925 0 0 0
1.975 0 0 0
2.025 0 0 0
2.075 0 0 0
2.125 0 0 0
2.175 0 0 0
2.225 0 0 0
2.275 0 0 0
2.325 0 0 0
2.375 0 0 0
2.425 0 0 0
2.475 0.0017072 0.000146484 0.000146484
2.525 0.0480049 0.00443359 0.00443359
2.575 0.398921 0.0414844 0.0414844
2.625 1.75473 0.21085 0.21085
2.675 4.63498 0.67542 0.67542
2.725 8.02424 1.51005 1.51005
2.775 10.0775 2.59706 2.59706
2.825 9.89487 3.70318 3.70318
2.875 7.80527 4.60687 4.60687
2.925 5.29605 5.24156 5.24156
2.975 3.09171 5.62485 5.62485
3.025 1.60515 5.8306 5.8306
3.075 0.750587 5.93001 5.93001
3.125 0.314121 5.97298 5.97298
3.175 0.123797 5.99046 5.99046
3.225 0.0469226 5.99729 5.99729
3.275 0.0127402 5.99921 5.99921
3.325 0.00365753 5.99978 5.99978
3.375 0.000918095 5.99992 5.99992
3.425 0.000297162 5.99997 5.99997
3.475 0.000173203 6 6
3.525 0 6 6
3.575 0 6 6
3.625 0 6 6
3.675 0 6 6
3.725 0 6 6
3.775 0 6 6
3.825 0 6 6
3.875 0 6 6
3.925 0 6 6
3.975 0 6 6
4.025 0 6 6
4.075 0 6 6
4.125 0 6 6
4.175 0 6 6
4.225 3.90562e-05 6.00001 6.00001
4.275 0.000152592 6.00005 6.00005
4.325 0.000931776 6.00029 6.00029
4.375 0.00426161 6.00144 6.00144
4.425 0.013993 6.00527 6.00527
4.475 0.0490882 6.01904 6.01904
4.525 0.120296 6.05354 6.05354
4.575 0.288056 6.138 6.138
4.625 0.599608 6.31766 6.31766
4.675 1.11172 6.658 6.658
4.725 1.81708 7.22624 7.22624
4.775 2.58166 8.05076 8.05076
4.825 3.22379 9.10204 9.10204
4.875 3.50792 10.2698 10.2698
4.925 3.35194 11.4087 11.4087
4.975 2.75239 12.3629 12.3629
5.025 2.00026 13.0704 13.0704
5.075 1.26994 13.5285 13.5285
5.125 0.695649 13.7845 13.7845
5.175 0.343973 13.9135 13.9135
5.225 0.145153 13.969 13.969
5.275 0.0538939 13.99 13.99
5.325 0.0186369 13.9974 13.9974
5.375 0.00516417 13.9995 13.9995
5.425 0.000971243 13.9999 13.9999
5.475 0.000186065 14 14
5.525 2.28391e-05 14 14
5.575 6.72938e-05 14 14
5.625 4.40685e-05 14 14
5.675 8.65908e-05 14.0001 14.0001
5.725 0.000382882 14.0002 14.0002
5.775 0.0018605 14.0011 14.0011
5.825 0.00815722 14.005 14.005
5.875 0.0294904 14.0192 14.0192
5.925 0.10319 14.07 14.07
5.975 0.280897 14.2105 14.2105
6.025 0.685912 14.5592 14.5592
6.075 1.44483 15.3061 15.3061
6.125 2.64836 16.6978 16.6978
6.175 4.11023 18.8931 18.8931
6.225 5.5072 21.8824 21.8824
6.275 6.3886 25.406 25.406
6.325 6.40306 28.9942 28.9942
6.375 5.58437 32.1732 32.1732
6.425 4.19317 34.5978 34.5978
6.475 2.76396 36.221 36.221
6.525 1.59131 37.17 37.17
6.575 0.79322 37.6503 37.6503
6.625 0.35794 37.8704 37.8704
6.675 0.139121 37.9572 37.9572
6.725 0.0467554 37.9868 37.9868
6.775 0.0156901 37.9969 37.9969
6.825 0.00390642 37.9995 37.9995
6.875 0.00070801 37.9999 37.9999
6.925 0.000116304 38 38
6.975 0 38 38
7.025 0 38 38
7.075 0 38 38
7.125 0 38 38
7.175 0 38 38
7.225 0 38 38
7.275 0 38 38
7.325 0 38 38
7.375 0 38 38
7.425 0 38 38
7.475 0 38 38
7.525 0 38 38
7.575 0 38 38
7.625 0 38 38
7.675 0 38 38
7.725 1.16828e-05 38 38
7.775 3.45991e-05 38 38
7.825 0.000193564 38.0002 38.0002
7.875 0.000730728 38.0008 38.0008
7.925 0.00298605 38.0035 38.0035
7.975 0.010633 38.0129 38.0129
8.025 0.0346962 38.0442 38.0442
8.075 0.0967732 38.1326 38.1326
8.125 0.242476 38.3568 38.3568
8.175 0.533754 38.8565 38.8565
8.225 1.04781 39.8494 39.8494
8.275 1.7987 41.5747 41.5747
8.325 2.71183 44.2073 44.2073
8.375 3.60507 47.7492 47.7492
8.425 4.18812 51.9132 51.9132
8.475 4.27953 56.2188 56.2188
8.525 3.82748 60.1152 60.1152
8.575 3.00175 63.2069 63.2069
8.625 2.07647 65.3706 65.3706
8.675 1.26926 66.7086 66.7086
8.725 0.678169 67.4317 67.4317
8.775 0.318119 67.7748 67.7748
8.825 0.135639 67.9228 67.9228
8.875 0.0566749 67.9853 67.9853
8.925 0.0416964 68.0319 68.0319
8.975 0.0753691 68.1169 68.1169
9.025 0.174272 68.3157 68.3157
9.075 0.384984 68.7598 68.7598
9.125 0.740201 69.6232 69.6232
9.175 1.2535 71.1012 71.1012
9.225 1.86299 73.322 73.322
9.275 2.43437 76.2554 76.2554
9.325 2.77223 79.632 79.632
9.375 2.78753 83.0638 83.0638
9.425 2.44704 86.1086 86.1086
9.475 1.89048 88.4859 88.4859
9.525 1.27461 90.1057 90.1057
9.575 0.766016 91.0894 91.0894
