# Radial distribution function in trajectory ewald/nacl/crystal/mc/NVT/trajectory.nc
# Using selection: name Na
# r   g(r)   N_ij(r)   N_ji(r)
0.025 0 0 0
0.075 0 0 0
0.125 0 0 0
0.175 0 0 0
0.225 0 0 0
0.275 0 0 0
0.325 0 0 0
0.375 0 0 0
0.425 0 0 0
0.475 0 0 0
0.525 0 0 0
0.575 0 0 0
0.625 0 0 0
0.675 0 0 0
0.725 0 0 0
0.775 0 0 0
0.825 0 0 0
0.875 0 0 0
0.925 0 0 0
0.975 0 0 0
1.025 0 0 0
1.075 0 0 0
1.125 0 0 0
1.175 0 0 0
1.225 0 0 0
1.275 0 0 0
1.325 0 0 0
1.375 0 0 0
1.425 0 0 0
1.475 0 0 0
1.525 0 0 0
1.575 0 0 0
1.625 0 0 0
1.675 0 0 0
1.725 0 0 0
1.775 0 0 0
1.825 0 0 0
1.875 0 0 0
1.925 0 0 0
1.975 0 0 0
2.025 0 0 0
2.075 0 0 0
2.125 0 0 0
2.175 0 0 0
2.225 0 0 0
2.275 0 0 0
2.325 0 0 0
2.375 0 0 0
2.425 0 0 0
2.475 0 0 0
2.525 0 0 0
2.575 0 0 0
2.625 0 0 0
2.675 0 0 0
2.725 0 0 0
2.775 0 0 0
2.825 0 0 0
2.875 0 0 0
2.925 0 0 0
2.975 0 0 0
3.025 0 0 0
3.075 0 0 0
3.125 0 0 0
3.175 0 0 0
3.225 0 0 0
3.275 0 0 0
3.325 0 0 0
3.375 0 0 0
3.425 0.000713188 0.000117187 0.000117187
3.475 0.00196297 0.000449219 0.000449219
3.525 0.0100995 0.00220703 0.00220703
3.575 0.0442943 0.0101367 0.0101367
3.625 0.144628 0.0367578 0.0367578
3.675 0.408841 0.114102 0.114102
3.725 1.01525 0.311426 0.311426
3.775 2.16766 0.744121 0.744121
3.825 3.85285 1.53371 1.53371
3.875 5.90137 2.77494 2.77494
3.925 7.65756 4.42738 4.42738
3.975 8.50815 6.31045 6.31045
4.025 7.96637 8.11824 8.11824
4.075 6.46292 9.62152 9.62152
4.125 4.53094 10.7014 10.7014
4.175 2.78517 11.3815 11.3815
4.225 1.42626 11.7381 11.7381
4.275 0.643327 11.9028 11.9028
4.325 0.248001 11.9678 11.9678
4.375 0.0846494 11.9904 11.9904
4.425 0.0277011 11.998 11.998
4.475 0.00529177 11.9995 11.9995
4.525 0.00136197 11.9999 11.9999
4.575 0.000266472 12 12
4.625 0 12 12
4.675 0 12 12
4.725 0 12 12
4.775 0 12 12
4.825 0 12 12
4.875 0 12 12
4.925 0 12 12
4.975 0 12 12
5.025 0 12 12
5.075 0 12 12
5.125 5.30867e-05 12 12
5.175 0.000468593 12.0002 12.0002
5.225 0.0045456 12.0019 12.0019
5.275 0.0259572 12.0121 12.0121
5.325 0.0877754 12.0469 12.0469
5.375 0.246336 12.1466 12.1466
5.425 0.558347 12.3768 12.3768
5.475 1.00601 12.7992 12.7992
5.525 1.49898 13.4401 13.4401
5.575 1.89863 14.2667 14.2667
5.625 2.04875 15.1747 15.1747
5.675 1.93024 16.0455 16.0455
5.725 1.58751 16.7743 16.7743
5.775 1.12671 17.3006 17.3006
5.825 0.712699 17.6394 17.6394
5.875 0.398848 17.8322 17.8322
5.925 0.196648 17.9289 17.9289
5.975 0.0886592 17.9732 17.9732
6.025 0.0347623 17.9909 17.9909
6.075 0.0122413 17.9972 17.9972
6.125 0.00338223 17.999 17.999
6.175 0.00138958 17.9998 17.9998
6.225 0.000503759 18 18
6.275 0.000460352 18.0003 18.0003
6.325 0.00115018 18.0009 18.0009
6.375 0.00480332 18.0037 18.0037
6.425 0.0173279 18.0137 18.0137
6.475 0.0503856 18.0433 18.0433
6.525 0.143773 18.129 18.129
6.575 0.336602 18.3329 18.3329
6.625 0.725252 18.7787 18.7787
6.675 1.33857 19.6141 19.6141
6.725 2.25067 21.0399 21.0399
6.775 3.32758 23.1794 23.1794
6.825 4.31742 25.9964 25.9964
6.875 4.95415 29.2763 29.2763
6.925 5.00758 32.6401 32.6401
6.975 4.46982 35.6861 35.6861
7.025 3.52503 38.1229 38.1229
7.075 2.44109 39.8345 39.8345
7.125 1.51398 40.911 40.911
7.175 0.831457 41.5106 41.5106
7.225 0.398081 41.8017 41.8017
7.275 0.173407 41.9302 41.9302
7.325 0.0627849 41.9774 41.9774
7.375 0.0210215 41.9934 41.9934
7.425 0.00773931 41.9994 41.9994
7.475 0.00581443 42.004 42.004
7.525 0.0128538 42.0142 42.0142
7.575 0.034409 42.0418 42.0418
7.625 0.0865048 42.1123 42.1123
7.675 0.199783 42.2771 42.2771
7.725 0.404131 42.6149 42.6149
7.775 0.701415 43.2088 43.2088
7.825 1.08311 44.1378 44.1378
7.875 1.5022 45.4427 45.4427
7.925 1.79476 47.0217 47.0217
7.975 1.9028 48.7168 48.7168
8.025 1.77928 50.3219 50.3219
8.075 1.47308 51.6673 51.6673
8.125 1.07095 52.6576 52.6576
8.175 0.695669 53.3089 53.3089
8.225 0.386438 53.6751 53.6751
8.275 0.196725 53.8638 53.8638
8.325 0.0884429 53.9496 53.9496
8.375 0.0362203 53.9852 53.9852
8.425 0.0175226 54.0026 54.0026
8.475 0.0238781 54.0266 54.0266
8.525 0.0614336 54.0892 54.0892
8.575 0.157222 54.2511 54.2511
8.625 0.350995 54.6169 54.6169
8.675 0.69846 55.3531 55.3531
8.725 1.21805 56.652 56.652
8.775 1.8581 58.6561 58.6561
8.825 2.49374 61.3765 61.3765
8.875 2.95871 64.6408 64.6408
8.925 3.0555 68.05 68.05
8.975 2.80041 71.2097 71.2097
9.025 2.26115 73.7895 73.7895
9.075 1.58649 75.6197 75.6197
9.125 1.00176 76.788 76.788
9.175 0.560173 77.4486 77.4486
9.225 0.274544 77.7758 77.7758
9.275 0.1209 77.9215 77.9215
9.325 0.0551453 77.9887 77.9887
9.375 0.0378372 78.0353 78.0353
9.425 0.0614216 78.1117 78.1117
9.475 0.113846 78.2549 78.2549
9.525 0.204806 78.5151 78.5151
9.575 0.340146 78.952 78.952
