# Radial distribution function in trajectory ewald/nacl/crystal/md/NVT/trajectory.nc
# Using selection: name Cl
# r   g(r)   N_ij(r)   N_ji(r)
0.025 0 0 0
0.075 0 0 0
0.125 0 0 0
0.175 0 0 0
0.225 0 0 0
0.275 0 0 0
0.325 0 0 0
0.375 0 0 0
0.425 0 0 0
0.475 0 0 0
0.525 0 0 0
0.575 0 0 0
0.625 0 0 0
0.675 0 0 0
0.725 0 0 0
0.775 0 0 0
0.825 0 0 0
0.875 0 0 0
0.925 0 0 0
0.975 0 0 0
1.025 0 0 0
1.075 0 0 0
1.125 0 0 0
1.175 0 0 0
1.225 0 0 0
1.275 0 0 0
1.325 0 0 0
1.375 0 0 0
1.425 0 0 0
1.475 0 0 0
1.525 0 0 0
1.575 0 0 0
1.625 0 0 0
1.675 0 0 0
1.725 0 0 0
1.775 0 0 0
1.825 0 0 0
1.875 0 0 0
1.925 0 0 0
1.975 0 0 0
2.025 0 0 0
2.075 0 0 0
2.125 0 0 0
2.175 0 0 0
2.225 0 0 0
2.275 0 0 0
2.325 0 0 0
2.375 0 0 0
2.425 0 0 0
2.475 0 0 0
2.525 0 0 0
2.575 0 0 0
2.625 0 0 0
2.675 0 0 0
2.725 0 0 0
2.775 0 0 0
2.825 0 0 0
2.875 0 0 0
2.925 0 0 0
2.975 0 0 0
3.025 0 0 0
3.075 0 0 0
3.125 0 0 0
3.175 0 0 0
3.225 0 0 0
3.275 0 0 0
3.325 0 0 0
3.375 0 0 0
3.425 0 0 0
3.475 0 0 0
3.525 0.00224432 0.000390625 0.000390625
3.575 0.0141829 0.00292969 0.00292969
3.625 0.0636662 0.0146484 0.0146484
3.675 0.247782 0.0615234 0.0615234
3.725 0.774775 0.212109 0.212109
3.775 1.89918 0.591211 0.591211
3.825 3.61583 1.33223 1.33223
3.875 6.08607 2.6123 2.6123
3.925 8.03363 4.3459 4.3459
3.975 9.13267 6.36719 6.36719
4.025 8.42176 8.27832 8.27832
4.075 6.76454 9.85176 9.85176
4.125 4.38901 10.8979 10.8979
4.175 2.52943 11.5154 11.5154
4.225 1.20371 11.8164 11.8164
4.275 0.465405 11.9355 11.9355
4.325 0.170701 11.9803 11.9803
4.375 0.053179 11.9945 11.9945
4.425 0.0142422 11.9984 11.9984
4.475 0.00417772 11.9996 11.9996
4.525 0.00136197 12 12
4.575 0 12 12
4.625 0 12 12
4.675 0 12 12
4.725 0 12 12
4.775 0 12 12
4.825 0 12 12
4.875 0 12 12
4.925 0 12 12
4.975 0 12 12
5.025 0 12 12
5.075 0 12 12
5.125 0 12 12
5.175 0 12 12
5.225 0.00408593 12.0016 12.0016
5.275 0.0105232 12.0057 12.0057
5.325 0.065893 12.0318 12.0318
5.375 0.219115 12.1205 12.1205
5.425 0.529209 12.3387 12.3387
5.475 0.948003 12.7367 12.7367
5.525 1.5019 13.3789 13.3789
5.575 1.8923 14.2027 14.2027
5.625 2.1717 15.1652 15.1652
5.675 2.04441 16.0875 16.0875
5.725 1.63193 16.8367 16.8367
5.775 1.15727 17.3773 17.3773
5.825 0.673947 17.6977 17.6977
5.875 0.339746 17.8619 17.8619
5.925 0.18509 17.9529 17.9529
5.975 0.0621005 17.984 17.984
6.025 0.0234309 17.9959 17.9959
6.075 0.00604507 17.999 17.999
6.125 0.00185837 18 18
6.175 0 18 18
6.225 0 18 18
6.275 0 18 18
6.325 0 18 18
6.375 0.00377404 18.0021 18.0021
6.425 0.00844437 18.007 18.007
6.475 0.0295995 18.0244 18.0244
6.525 0.112005 18.0912 18.0912
6.575 0.283512 18.2629 18.2629
6.625 0.644908 18.6594 18.6594
6.675 1.26274 19.4475 19.4475
6.725 2.16095 20.8164 20.8164
6.775 3.34368 22.9662 22.9662
6.825 4.44404 25.8658 25.8658
6.875 5.08204 29.2305 29.2305
6.925 5.21739 32.7352 32.7352
6.975 4.59831 35.8687 35.8687
7.025 3.60946 38.3639 38.3639
7.075 2.40176 40.0479 40.0479
7.125 1.43375 41.0674 41.0674
7.175 0.764882 41.6189 41.6189
7.225 0.332825 41.8623 41.8623
7.275 0.125932 41.9557 41.9557
7.325 0.0433985 41.9883 41.9883
7.375 0.0102544 41.9961 41.9961
7.425 0.00455254 41.9996 41.9996
7.475 0.00299456 42.002 42.002
7.525 0.00664851 42.0072 42.0072
7.575 0.0260011 42.0281 42.0281
7.625 0.0784227 42.092 42.092
7.675 0.178716 42.2395 42.2395
7.725 0.381326 42.5582 42.5582
7.775 0.683908 43.1373 43.1373
7.825 1.09033 44.0725 44.0725
7.875 1.50328 45.3783 45.3783
7.925 1.84647 47.0027 47.0027
7.975 1.96019 48.749 48.749
8.025 1.83495 50.4043 50.4043
8.075 1.49046 51.7656 51.7656
8.125 1.0527 52.7391 52.7391
8.175 0.651166 53.3486 53.3486
8.225 0.370794 53.7 53.7
8.275 0.184283 53.8768 53.8768
8.325 0.0867127 53.9609 53.9609
8.375 0.0250481 53.9855 53.9855
8.425 0.0145367 54 54
8.475 0.0155305 54.0156 54.0156
8.525 0.0404825 54.0568 54.0568
8.575 0.115674 54.176 54.176
8.625 0.296151 54.4846 54.4846
8.675 0.60958 55.1271 55.1271
8.725 1.15101 56.3545 56.3545
8.775 1.86715 58.3684 58.3684
8.825 2.53983 61.1391 61.1391
8.875 3.0891 64.5473 64.5473
8.925 3.21371 68.133 68.133
8.975 2.9656 71.4791 71.4791
9.025 2.29789 74.1008 74.1008
9.075 1.56763 75.9092 75.9092
9.125 0.940951 77.0066 77.0066
9.175 0.481346 77.5742 77.5742
9.225 0.231517 77.8502 77.8502
9.275 0.0842848 77.9518 77.9518
9.325 0.0349569 77.9943 77.9943
9.375 0.0339504 78.0361 78.0361
9.425 0.0530552 78.1021 78.1021
9.475 0.104217 78.2332 78.2332
9.525 0.203792 78.4922 78.4922
9.575 0.345241 78.9355 78.9355
9.625 0.508581 79.5955 79.5955
9.675 0.674047 80.4793 80.4793
9.725 0.789798 81.5256 81.5256
9.775 0.842591 82.6533 82.6533
9.825 0.755891 83.6754 83.6754
