# Radial distribution function in trajectory ewald/nacl/crystal/md/NVT/trajectory.nc
# Using selection: pairs: name(#1) Na and name(#2) Cl
# r   g(r)   N_ij(r)   N_ji(r)
0.025 0 0 0
0.075 0 0 0
0.125 0 0 0
0.175 0 0 0
0.225 0 0 0
0.275 0 0 0
0.325 0 0 0
0.375 0 0 0
0.425 0 0 0
0.475 0 0 0
0.525 0 0 0
0.575 0 0 0
0.625 0 0 0
0.675 0 0 0
0.725 0 0 0
0.775 0 0 0
0.825 0 0 0
0.875 0 0 0
0.925 0 0 0
0.975 0 0 0
1.025 0 0 0
1.075 0 0 0
1.125 0 0 0
1.175 0 0 0
1.225 0 0 0
1.275 0 0 0
1.325 0 0 0
1.375 0 0 0
1.425 0 0 0
1.475 0 0 0
1.525 0 0 0
1.575 0 0 0
1.625 0 0 0
1.675 0 0 0
1.725 0 0 0
1.775 0 0 0
1.825 0 0 0
1.875 0 0 0
1.925 0 0 0
1.975 0 0 0
2.025 0 0 0
2.075 0 0 0
2.125 0 0 0
2.175 0 0 0
2.225 0 0 0
2.275 0 0 0
2.325 0 0 0
2.375 0 0 0
2.425 0 0 0
2.475 0.0034144 0.000292969 0.000292969
2.525 0.0601428 0.00566406 0.00566406
2.575 0.458433 0.0482422 0.0482422
2.625 1.81108 0.223047 0.223047
2.675 4.71857 0.695996 0.695996
2.725 7.94294 1.52217 1.52217
2.775 10.092 2.61074 2.61074
2.825 9.65927 3.69053 3.69053
2.875 7.69748 4.58174 4.58174
2.925 5.31218 5.21836 5.21836
2.975 3.15795 5.60986 5.60986
3.025 1.6693 5.82383 5.82383
3.075 0.771232 5.92598 5.92598
3.125 0.324115 5.97031 5.97031
3.175 0.12933 5.98857 5.98857
3.225 0.0522852 5.99619 5.99619
3.275 0.0182003 5.99893 5.99893
3.325 0.00315305 5.99941 5.99941
3.375 0.00306032 5.9999 5.9999
3.425 0.000594323 6 6
3.475 0 6 6
3.525 0 6 6
3.575 0 6 6
3.625 0 6 6
3.675 0 6 6
3.725 0 6 6
3.775 0 6 6
3.825 0 6 6
3.875 0 6 6
3.925 0 6 6
3.975 0 6 6
4.025 0 6 6
4.075 0 6 6
4.125 0 6 6
4.175 0 6 6
4.225 0 6 6
4.275 0 6 6
4.325 0.00037271 6.0001 6.0001
4.375 0.00473512 6.00137 6.00137
4.425 0.0234996 6.00781 6.00781
4.475 0.0598806 6.02461 6.02461
4.525 0.139602 6.06465 6.06465
4.575 0.341417 6.16475 6.16475
4.625 0.636209 6.35537 6.35537
4.675 1.16847 6.71309 6.71309
4.725 1.81527 7.28076 7.28076
4.775 2.53729 8.09111 8.09111
4.825 3.13452 9.11328 9.11328
4.875 3.42405 10.2531 10.2531
4.925 3.25888 11.3604 11.3604
4.975 2.714 12.3013 12.3013
5.025 2.02439 13.0173 13.0173
5.075 1.29525 13.4846 13.4846
5.125 0.741887 13.7575 13.7575
5.175 0.386329 13.9024 13.9024
5.225 0.16165 13.9643 13.9643
5.275 0.062137 13.9885 13.9885
5.325 0.0199154 13.9964 13.9964
5.375 0.00699817 13.9992 13.9992
5.425 0.00142133 13.9998 13.9998
5.475 0.000232582 13.9999 13.9999
5.525 0.000228391 14 14
5.575 0 14 14
5.625 0 14 14
5.675 0 14 14
5.725 0.000212712 14.0001 14.0001
5.775 0.00250854 14.0013 14.0013
5.825 0.00636962 14.0043 14.0043
5.875 0.036964 14.0222 14.0222
5.925 0.107241 14.0749 14.0749
5.975 0.317533 14.2337 14.2337
6.025 0.741531 14.6107 14.6107
6.075 1.48633 15.3791 15.3791
6.125 2.68088 16.7879 16.7879
6.175 4.12486 18.991 18.991
6.225 5.43682 21.9421 21.9421
6.275 6.22094 25.3732 25.3732
6.325 6.33768 28.9247 28.9247
6.375 5.52639 32.0707 32.0707
6.425 4.19061 34.4938 34.4938
6.475 2.79615 36.1359 36.1359
6.525 1.65339 37.122 37.122
6.575 0.833763 37.6269 37.6269
6.625 0.369949 37.8543 37.8543
6.675 0.154283 37.9506 37.9506
6.725 0.0544169 37.9851 37.9851
6.775 0.016404 37.9956 37.9956
6.825 0.00493915 37.9988 37.9988
6.875 0.00118002 37.9996 37.9996
6.925 0.000581519 38 38
6.975 0 38 38
7.025 0 38 38
7.075 0 38 38
7.125 0 38 38
7.175 0 38 38
7.225 0 38 38
7.275 0 38 38
7.325 0 38 38
7.375 0 38 38
7.425 0 38 38
7.475 0 38 38
7.525 0 38 38
7.575 0 38 38
7.625 0 38 38
7.675 0 38 38
7.725 0 38 38
7.775 0 38 38
7.825 0.000455444 38.0004 38.0004
7.875 0.00157388 38.0018 38.0018
7.925 0.00444023 38.0057 38.0057
7.975 0.0127157 38.017 38.017
8.025 0.0452512 38.0578 38.0578
8.075 0.120071 38.1675 38.1675
8.125 0.287571 38.4334 38.4334
8.175 0.598589 38.9937 38.9937
8.225 1.11465 40.05 40.05
8.275 1.83275 41.8079 41.8079
8.325 2.71415 44.4428 44.4428
8.375 3.49192 47.8735 47.8735
8.425 4.06939 51.9195 51.9195
8.475 4.15197 56.0968 56.0968
8.525 3.74089 59.905 59.905
8.575 2.96504 62.9589 62.9589
8.625 2.08046 65.1268 65.1268
8.675 1.33237 66.5312 66.5312
8.725 0.734309 67.3143 67.3143
8.775 0.374662 67.7184 67.7184
8.825 0.165073 67.8984 67.8984
8.875 0.0720496 67.9779 67.9779
8.925 0.0482257 68.0317 68.0317
8.975 0.0895808 68.1328 68.1328
9.025 0.196869 68.3574 68.3574
9.075 0.421495 68.8437 68.8437
9.125 0.774329 69.7468 69.7468
9.175 1.27111 71.2456 71.2456
9.225 1.85206 73.4533 73.4533
9.275 2.38866 76.3316 76.3316
9.325 2.68887 79.6067 79.6067
9.375 2.72111 82.9567 82.9567
9.425 2.4199 85.9678 85.9678
9.475 1.87489 88.3255 88.3255
9.525 1.29706 89.9738 89.9738
9.575 0.80432 91.0067 91.0067
9.625 0.422263 91.5547 91.5547
9.675 0.211971 91.8326 91.8326
9.725 0.11087 91.9795 91.9795
