# Radial distribution function in trajectory ewald/nacl/crystal/md/NVT/trajectory.nc
# Using selection: name Na
# r   g(r)   N_ij(r)   N_ji(r)
0.025 0 0 0
0.075 0 0 0
0.125 0 0 0
0.175 0 0 0
0.225 0 0 0
0.275 0 0 0
0.325 0 0 0
0.375 0 0 0
0.425 0 0 0
0.475 0 0 0
0.525 0 0 0
0.575 0 0 0
0.625 0 0 0
0.675 0 0 0
0.725 0 0 0
0.775 0 0 0
0.825 0 0 0
0.875 0 0 0
0.925 0 0 0
0.975 0 0 0
1.025 0 0 0
1.075 0 0 0
1.125 0 0 0
1.175 0 0 0
1.225 0 0 0
1.275 0 0 0
1.325 0 0 0
1.375 0 0 0
1.425 0 0 0
1.475 0 0 0
1.525 0 0 0
1.575 0 0 0
1.625 0 0 0
1.675 0 0 0
1.725 0 0 0
1.775 0 0 0
1.825 0 0 0
1.875 0 0 0
1.925 0 0 0
1.975 0 0 0
2.025 0 0 0
2.075 0 0 0
2.125 0 0 0
2.175 0 0 0
2.225 0 0 0
2.275 0 0 0
2.325 0 0 0
2.375 0 0 0
2.425 0 0 0
2.475 0 0 0
2.525 0 0 0
2.575 0 0 0
2.625 0 0 0
2.675 0 0 0
2.725 0 0 0
2.775 0 0 0
2.825 0 0 0
2.875 0 0 0
2.925 0 0 0
2.975 0 0 0
3.025 0 0 0
3.075 0 0 0
3.125 0 0 0
3.175 0 0 0
3.225 0 0 0
3.275 0 0 0
3.325 0 0 0
3.375 0 0 0
3.425 0.00118865 0.000195313 0.000195313
3.475 0.00346406 0.00078125 0.00078125
3.525 0.00785513 0.00214844 0.00214844
3.575 0.0436397 0.00996094 0.00996094
3.625 0.141127 0.0359375 0.0359375
3.675 0.482143 0.127148 0.127148
3.725 1.07122 0.335352 0.335352
3.775 2.15651 0.76582 0.76582
3.825 3.86457 1.55781 1.55781
3.875 5.76013 2.76934 2.76934
3.925 7.60099 4.40957 4.40957
3.975 8.45494 6.28086 6.28086
4.025 8.00003 8.09629 8.09629
4.075 6.50843 9.61016 9.61016
4.125 4.46768 10.675 10.675
4.175 2.84621 11.3699 11.3699
4.225 1.41305 11.7232 11.7232
4.275 0.653856 11.8906 11.8906
4.325 0.26537 11.9602 11.9602
4.375 0.107815 11.9891 11.9891
4.425 0.0299086 11.9973 11.9973
4.475 0.00905172 11.9998 11.9998
4.525 0.000680983 12 12
4.575 0 12 12
4.625 0 12 12
4.675 0 12 12
4.725 0 12 12
4.775 0 12 12
4.825 0 12 12
4.875 0 12 12
4.925 0 12 12
4.975 0 12 12
5.025 0 12 12
5.075 0 12 12
5.125 0 12 12
5.175 0.000520659 12.0002 12.0002
5.225 0.00408593 12.0018 12.0018
5.275 0.0270597 12.0123 12.0123
5.325 0.103265 12.0533 12.0533
5.375 0.258209 12.1578 12.1578
5.425 0.577535 12.3959 12.3959
5.475 0.962423 12.8 12.8
5.525 1.49139 13.4377 13.4377
5.575 1.90576 14.2674 14.2674
5.625 2.05227 15.177 15.177
5.675 1.89764 16.033 16.033
5.725 1.56939 16.7535 16.7535
5.775 1.12968 17.2812 17.2812
5.825 0.72326 17.625 17.625
5.875 0.412866 17.8246 17.8246
5.925 0.211702 17.9287 17.9287
5.975 0.0831912 17.9703 17.9703
6.025 0.0368749 17.9891 17.9891
6.075 0.0136014 17.9961 17.9961
6.125 0.00520343 17.9988 17.9988
6.175 0.00219407 18 18
6.225 0.000359828 18.0002 18.0002
6.275 0.000708233 18.0006 18.0006
6.325 0.0017427 18.0016 18.0016
6.375 0.00548951 18.0047 18.0047
6.425 0.023982 18.0186 18.0186
6.475 0.0621922 18.0551 18.0551
6.525 0.171611 18.1574 18.1574
6.575 0.350922 18.3699 18.3699
6.625 0.790728 18.8561 18.8561
6.675 1.40764 19.7346 19.7346
6.725 2.29137 21.1861 21.1861
6.775 3.29477 23.3045 23.3045
6.825 4.25665 26.0818 26.0818
6.875 4.8245 29.276 29.276
6.925 4.87837 32.5529 32.5529
6.975 4.36128 35.525 35.525
7.025 3.54899 37.9783 37.9783
7.075 2.4973 39.7293 39.7293
7.125 1.54664 40.8291 40.8291
7.175 0.857513 41.4475 41.4475
7.225 0.434062 41.7648 41.7648
7.275 0.20049 41.9135 41.9135
7.325 0.0719844 41.9676 41.9676
7.375 0.0294814 41.99 41.99
7.425 0.0103697 41.998 41.998
7.475 0.00723685 42.0037 42.0037
7.525 0.0209305 42.0203 42.0203
7.575 0.0434972 42.0553 42.0553
7.625 0.106722 42.1422 42.1422
7.675 0.221324 42.3248 42.3248
7.725 0.454694 42.7049 42.7049
7.775 0.72289 43.317 43.317
7.825 1.09215 44.2537 44.2537
7.875 1.45066 45.5139 45.5139
7.925 1.73724 47.0422 47.0422
7.975 1.85342 48.6934 48.6934
8.025 1.71457 50.24 50.24
8.075 1.4338 51.5496 51.5496
8.125 1.07171 52.5406 52.5406
8.175 0.716888 53.2117 53.2117
8.225 0.423353 53.6129 53.6129
8.275 0.221751 53.8256 53.8256
8.325 0.110855 53.9332 53.9332
8.375 0.0473131 53.9797 53.9797
8.425 0.0227872 54.0023 54.0023
8.475 0.0265959 54.0291 54.0291
8.525 0.0613953 54.0916 54.0916
8.575 0.176735 54.2736 54.2736
8.625 0.374312 54.6637 54.6637
8.675 0.70111 55.4027 55.4027
8.725 1.21896 56.7025 56.7025
8.775 1.88092 58.7313 58.7313
8.825 2.46499 61.4203 61.4203
8.875 2.92164 64.6437 64.6437
8.925 3.04479 68.041 68.041
8.975 2.72655 71.1174 71.1174
9.025 2.23369 73.6658 73.6658
9.075 1.63163 75.548 75.548
9.125 1.01915 76.7367 76.7367
9.175 0.569797 77.4086 77.4086
9.225 0.291485 77.7561 77.7561
9.275 0.137449 77.9217 77.9217
9.325 0.0574062 77.9916 77.9916
9.375 0.0463249 78.0486 78.0486
9.425 0.0698507 78.1355 78.1355
9.475 0.12534 78.2932 78.2932
9.525 0.223925 78.5777 78.5777
9.575 0.366533 79.0484 79.0484
9.625 0.496089 79.6922 79.6922
