# Radial distribution function in trajectory ewald/nacl/molten/mc/NVT/trajectory.nc
# Using selection: name Cl
# r   g(r)   N_ij(r)   N_ji(r)
0.025 0 0 0
0.075 0 0 0
0.125 0 0 0
0.175 0 0 0
0.225 0 0 0
0.275 0 0 0
0.325 0 0 0
0.375 0 0 0
0.425 0 0 0
0.475 0 0 0
0.525 0 0 0
0.575 0 0 0
0.625 0 0 0
0.675 0 0 0
0.725 0 0 0
0.775 0 0 0
0.825 0 0 0
0.875 0 0 0
0.925 0 0 0
0.975 0 0 0
1.025 0 0 0
1.075 0 0 0
1.125 0 0 0
1.175 0 0 0
1.225 0 0 0
1.275 0 0 0
1.325 0 0 0
1.375 0 0 0
1.425 0 0 0
1.475 0 0 0
1.525 0 0 0
1.575 0 0 0
1.625 0 0 0
1.675 0 0 0
1.725 0 0 0
1.775 0 0 0
1.825 0 0 0
1.875 0 0 0
1.925 0 0 0
1.975 0 0 0
2.025 0 0 0
2.075 0 0 0
2.125 0 0 0
2.175 0 0 0
2.225 0 0 0
2.275 0 0 0
2.325 0 0 0
2.375 0 0 0
2.425 0 0 0
2.475 0 0 0
2.525 0 0 0
2.575 0 0 0
2.625 0 0 0
2.675 0 0 0
2.725 0 0 0
2.775 0 0 0
2.825 0 0 0
2.875 0.00024019 1.95312e-05 1.95312e-05
2.925 0.00185639 0.000175781 0.000175781
2.975 0.00448629 0.000566406 0.000566406
3.025 0.0227808 0.00261719 0.00261719
3.075 0.0430422 0.00662109 0.00662109
3.125 0.0807089 0.014375 0.014375
3.175 0.145345 0.0287891 0.0287891
3.225 0.229635 0.0522852 0.0522852
3.275 0.310784 0.0850781 0.0850781
3.325 0.450376 0.134063 0.134063
3.375 0.609856 0.202402 0.202402
3.425 0.746022 0.288496 0.288496
3.475 0.889773 0.394199 0.394199
3.525 1.04574 0.522031 0.522031
3.575 1.16706 0.66877 0.66877
3.625 1.30732 0.837773 0.837773
3.675 1.43869 1.02893 1.02893
3.725 1.53897 1.239 1.239
3.775 1.62525 1.46686 1.46686
3.825 1.6958 1.71094 1.71094
3.875 1.74024 1.96801 1.96801
3.925 1.76887 2.23609 2.23609
3.975 1.80569 2.51678 2.51678
4.025 1.78599 2.80143 2.80143
4.075 1.77877 3.09201 3.09201
4.125 1.77978 3.38994 3.38994
4.175 1.73581 3.6876 3.6876
4.225 1.68952 3.9843 3.9843
4.275 1.719 4.29336 4.29336
4.325 1.6538 4.5977 4.5977
4.375 1.59827 4.89865 4.89865
4.425 1.57858 5.20273 5.20273
4.475 1.53368 5.50488 5.50488
4.525 1.49028 5.80508 5.80508
4.575 1.38248 6.08975 6.08975
4.625 1.37651 6.37941 6.37941
4.675 1.35476 6.6707 6.6707
4.725 1.29983 6.95619 6.95619
4.775 1.26535 7.24002 7.24002
4.825 1.2315 7.52207 7.52207
4.875 1.22182 7.80773 7.80773
4.925 1.18625 8.0908 8.0908
4.975 1.17087 8.3759 8.3759
5.025 1.11789 8.65359 8.65359
5.075 1.09782 8.93176 8.93176
5.125 1.07718 9.2101 9.2101
5.175 1.05973 9.4893 9.4893
5.225 1.04376 9.76963 9.76963
5.275 1.0195 10.0487 10.0487
5.325 1.0071 10.3296 10.3296
5.375 0.966871 10.6045 10.6045
5.425 0.954392 10.8808 10.8808
5.475 0.948233 11.1604 11.1604
5.525 0.904873 11.4321 11.4321
5.575 0.894527 11.7057 11.7057
5.625 0.870601 11.9767 11.9767
5.675 0.833752 12.2408 12.2408
5.725 0.809379 12.5018 12.5018
5.775 0.804532 12.7658 12.7658
5.825 0.78446 13.0276 13.0276
5.875 0.774788 13.2907 13.2907
5.925 0.765556 13.5551 13.5551
5.975 0.753242 13.8196 13.8196
6.025 0.737401 14.083 14.083
6.075 0.729186 14.3477 14.3477
6.125 0.715742 14.6119 14.6119
6.175 0.722629 14.883 14.883
6.225 0.716959 15.1563 15.1563
6.275 0.72131 15.4357 15.4357
6.325 0.717345 15.718 15.718
6.375 0.722062 16.0067 16.0067
6.425 0.729239 16.3029 16.3029
6.475 0.727349 16.6029 16.6029
6.525 0.750565 16.9172 16.9172
6.575 0.764635 17.2424 17.2424
6.625 0.762907 17.5719 17.5719
6.675 0.78641 17.9166 17.9166
6.725 0.804391 18.2745 18.2745
6.775 0.822535 18.6459 18.6459
6.825 0.827704 19.0252 19.0252
6.875 0.857712 19.424 19.424
6.925 0.866526 19.8328 19.8328
6.975 0.893976 20.2607 20.2607
7.025 0.90495 20.7 20.7
7.075 0.941425 21.1636 21.1636
7.125 0.955438 21.6408 21.6408
7.175 0.969202 22.1317 22.1317
7.225 0.983978 22.637 22.637
7.275 1.02001 23.1681 23.1681
7.325 1.0559 23.7254 23.7254
7.375 1.06938 24.2976 24.2976
7.425 1.07951 24.8831 24.8831
7.475 1.09816 25.4868 25.4868
7.525 1.10924 26.1047 26.1047
7.575 1.12527 26.7399 26.7399
7.625 1.13535 27.3893 27.3893
7.675 1.15074 28.0562 28.0562
7.725 1.16423 28.7397 28.7397
7.775 1.15417 29.4261 29.4261
7.825 1.16495 30.1278 30.1278
7.875 1.17943 30.8474 30.8474
7.925 1.18698 31.5808 31.5808
7.975 1.18176 32.3202 32.3202
8.025 1.16387 33.0576 33.0576
8.075 1.1826 33.8162 33.8162
8.125 1.16733 34.5743 34.5743
8.175 1.17437 35.3464 35.3464
8.225 1.17325 36.1272 36.1272
8.275 1.17147 36.9164 36.9164
8.325 1.15154 37.7015 37.7015
8.375 1.15144 38.4961 38.4961
8.425 1.13726 39.2902 39.2902
8.475 1.12598 40.0858 40.0858
8.525 1.12243 40.8883 40.8883
8.575 1.10948 41.6909 41.6909
8.625 1.09519 42.4924 42.4924
8.675 1.07564 43.2888 43.2888
8.725 1.07484 44.0937 44.0937
8.775 1.07405 44.9073 44.9073
8.825 1.03245 45.6984 45.6984
8.875 1.02974 46.4963 46.4963
8.925 1.01948 47.2952 47.2952
8.975 1.01806 48.102 48.102
9.025 1.00114 48.9042 48.9042
9.075 0.99122 49.7073 49.7073
