# Radial distribution function in trajectory ewald/nacl/molten/mc/NVT/trajectory.nc
# Using selection: pairs: name(#1) Na and name(#2) Cl
# r   g(r)   N_ij(r)   N_ji(r)
0.025 0 0 0
0.075 0 0 0
0.125 0 0 0
0.175 0 0 0
0.225 0 0 0
0.275 0 0 0
0.325 0 0 0
0.375 0 0 0
0.425 0 0 0
0.475 0 0 0
0.525 0 0 0
0.575 0 0 0
0.625 0 0 0
0.675 0 0 0
0.725 0 0 0
0.775 0 0 0
0.825 0 0 0
0.875 0 0 0
0.925 0 0 0
0.975 0 0 0
1.025 0 0 0
1.075 0 0 0
1.125 0 0 0
1.175 0 0 0
1.225 0 0 0
1.275 0 0 0
1.325 0 0 0
1.375 0 0 0
1.425 0 0 0
1.475 0 0 0
1.525 0 0 0
1.575 0 0 0
1.625 0 0 0
1.675 0 0 0
1.725 0 0 0
1.775 0 0 0
1.825 0 0 0
1.875 0 0 0
1.925 0 0 0
1.975 0 0 0
2.025 0 0 0
2.075 0 0 0
2.125 0 0 0
2.175 0 0 0
2.225 0.00501281 0.000244141 0.000244141
2.275 0.0375919 0.0021582 0.0021582
2.325 0.190062 0.0122656 0.0122656
2.375 0.581804 0.0445508 0.0445508
2.425 1.23327 0.115898 0.115898
2.475 2.02061 0.237666 0.237666
2.525 2.92024 0.42083 0.42083
2.575 3.5439 0.652002 0.652002
2.625 3.83919 0.912256 0.912256
2.675 4.01011 1.19455 1.19455
2.725 3.91163 1.4803 1.4803
2.775 3.65669 1.75732 1.75732
2.825 3.36658 2.02164 2.02164
2.875 3.0557 2.27012 2.27012
2.925 2.72507 2.49948 2.49948
2.975 2.41295 2.70958 2.70958
3.025 2.1082 2.89937 2.89937
3.075 1.91202 3.07723 3.07723
3.125 1.70363 3.2409 3.2409
3.175 1.51411 3.39105 3.39105
3.225 1.34164 3.52833 3.52833
3.275 1.20677 3.65566 3.65566
3.325 1.08607 3.77379 3.77379
3.375 1.01222 3.88722 3.88722
3.425 0.915942 3.99292 3.99292
3.475 0.873004 4.09663 4.09663
3.525 0.797045 4.19406 4.19406
3.575 0.76178 4.28984 4.28984
3.625 0.723158 4.38333 4.38333
3.675 0.679359 4.47359 4.47359
3.725 0.633415 4.56006 4.56006
3.775 0.614727 4.64624 4.64624
3.825 0.594215 4.73177 4.73177
3.875 0.564171 4.81511 4.81511
3.925 0.560391 4.90004 4.90004
3.975 0.554424 4.98622 4.98622
4.025 0.53712 5.07183 5.07183
4.075 0.541834 5.16034 5.16034
4.125 0.53327 5.24961 5.24961
4.175 0.532647 5.34095 5.34095
4.225 0.519558 5.43219 5.43219
4.275 0.536426 5.52863 5.52863
4.325 0.523724 5.62501 5.62501
4.375 0.535418 5.72583 5.72583
4.425 0.541992 5.83023 5.83023
4.475 0.553246 5.93923 5.93923
4.525 0.557279 6.05148 6.05148
4.575 0.580071 6.17093 6.17093
4.625 0.579755 6.29293 6.29293
4.675 0.593036 6.42044 6.42044
4.725 0.607363 6.55384 6.55384
4.775 0.620527 6.69303 6.69303
4.825 0.648368 6.84152 6.84152
4.875 0.660114 6.99586 6.99586
4.925 0.679723 7.15806 7.15806
4.975 0.699979 7.3285 7.3285
5.025 0.721854 7.50781 7.50781
5.075 0.760309 7.70046 7.70046
5.125 0.786287 7.90363 7.90363
5.175 0.800857 8.11463 8.11463
5.225 0.844288 8.34139 8.34139
5.275 0.868243 8.57906 8.57906
5.325 0.910652 8.8331 8.8331
5.375 0.936291 9.09921 9.09921
5.425 0.961677 9.37765 9.37765
5.475 0.99837 9.67206 9.67206
5.525 1.03742 9.9836 9.9836
5.575 1.06291 10.3086 10.3086
5.625 1.09486 10.6494 10.6494
5.675 1.12225 11.005 11.005
5.725 1.14853 11.3753 11.3753
5.775 1.18379 11.7637 11.7637
5.825 1.21344 12.1687 12.1687
5.875 1.24723 12.5923 12.5923
5.925 1.24227 13.0213 13.0213
5.975 1.26725 13.4664 13.4664
6.025 1.29779 13.9298 13.9298
6.075 1.29629 14.4005 14.4005
6.125 1.30551 14.8823 14.8823
6.175 1.30994 15.3737 15.3737
6.225 1.31531 15.8751 15.8751
6.275 1.31846 16.3858 16.3858
6.325 1.30462 16.8993 16.8993
6.375 1.29831 17.4184 17.4184
6.425 1.28104 17.9386 17.9386
6.475 1.26768 18.4615 18.4615
6.525 1.25254 18.9861 18.9861
6.575 1.2512 19.5183 19.5183
6.625 1.23024 20.0495 20.0495
6.675 1.20312 20.5768 20.5768
6.725 1.18784 21.1053 21.1053
6.775 1.16633 21.632 21.632
6.825 1.16203 22.1645 22.1645
6.875 1.12139 22.6859 22.6859
6.925 1.10766 23.2085 23.2085
6.975 1.08179 23.7263 23.7263
7.025 1.06524 24.2434 24.2434
7.075 1.05343 24.7622 24.7622
7.125 1.02579 25.2745 25.2745
7.175 1.00599 25.784 25.784
7.225 0.991566 26.2932 26.2932
7.275 0.972713 26.7996 26.7996
7.325 0.959589 27.3062 27.3062
7.375 0.937424 27.8078 27.8078
7.425 0.939084 28.3171 28.3171
7.475 0.922921 28.8244 28.8244
7.525 0.904456 29.3283 29.3283
7.575 0.894009 29.8329 29.8329
7.625 0.889322 30.3416 30.3416
7.675 0.877132 30.8499 30.8499
7.725 0.873716 31.3629 31.3629
7.775 0.869526 31.88 31.88
7.825 0.868371 32.403 32.403
7.875 0.858084 32.9266 32.9266
7.925 0.855525 33.4552 33.4552
7.975 0.852853 33.9888 33.9888
8.025 0.861372 34.5345 34.5345
8.075 0.861364 35.0871 35.0871
8.125 0.851577 35.6401 35.6401
8.175 0.853105 36.201 36.201
8.225 0.855559 36.7704 36.7704
8.275 0.868591 37.3555 37.3555
8.325 0.865322 37.9455 37.9455
8.375 0.864347 38.542 38.542
8.425 0.873039 39.1516 39.1516
8.475 0.876907 39.7712 39.7712
8.525 0.888669 40.4066 40.4066
8.575 0.887097 41.0483 41.0483
8.625 0.902275 41.7086 41.7086
8.675 0.914803 42.3859 42.3859
8.725 0.91388 43.0703 43.0703
8.775 0.920293 43.7675 43.7675
