# Radial distribution function in trajectory ewald/nacl/molten/mc/NVT/trajectory.nc
# Using selection: name Na
# r   g(r)   N_ij(r)   N_ji(r)
0.025 0 0 0
0.075 0 0 0
0.125 0 0 0
0.175 0 0 0
0.225 0 0 0
0.275 0 0 0
0.325 0 0 0
0.375 0 0 0
0.425 0 0 0
0.475 0 0 0
0.525 0 0 0
0.575 0 0 0
0.625 0 0 0
0.675 0 0 0
0.725 0 0 0
0.775 0 0 0
0.825 0 0 0
0.875 0 0 0
0.925 0 0 0
0.975 0 0 0
1.025 0 0 0
1.075 0 0 0
1.125 0 0 0
1.175 0 0 0
1.225 0 0 0
1.275 0 0 0
1.325 0 0 0
1.375 0 0 0
1.425 0 0 0
1.475 0 0 0
1.525 0 0 0
1.575 0 0 0
1.625 0 0 0
1.675 0 0 0
1.725 0 0 0
1.775 0 0 0
1.825 0 0 0
1.875 0 0 0
1.925 0 0 0
1.975 0 0 0
2.025 0 0 0
2.075 0 0 0
2.125 0 0 0
2.175 0 0 0
2.225 0.00080205 3.90625e-05 3.90625e-05
2.275 0.00230155 0.00015625 0.00015625
2.325 0.00110181 0.000214844 0.000214844
2.375 0.00246378 0.000351562 0.000351562
2.425 0.00573927 0.000683594 0.000683594
2.475 0.0136123 0.00150391 0.00150391
2.525 0.0143241 0.00240234 0.00240234
2.575 0.0293429 0.00431641 0.00431641
2.625 0.03371 0.00660156 0.00660156
2.675 0.0460566 0.00984375 0.00984375
2.725 0.0609583 0.0142969 0.0142969
2.775 0.0915237 0.0212305 0.0212305
2.825 0.113687 0.0301562 0.0301562
2.875 0.166932 0.0437305 0.0437305
2.925 0.187031 0.0594727 0.0594727
2.975 0.238895 0.0802734 0.0802734
3.025 0.29051 0.106426 0.106426
3.075 0.346857 0.138691 0.138691
3.125 0.420215 0.179063 0.179063
3.175 0.48665 0.227324 0.227324
3.225 0.55872 0.284492 0.284492
3.275 0.618422 0.349746 0.349746
3.325 0.725307 0.428633 0.428633
3.375 0.79182 0.517363 0.517363
3.425 0.898679 0.621074 0.621074
3.475 0.993843 0.739141 0.739141
3.525 1.02289 0.86418 0.86418
3.575 1.10508 1.00313 1.00313
3.625 1.20761 1.15924 1.15924
3.675 1.23994 1.32398 1.32398
3.725 1.34252 1.50725 1.50725
3.775 1.40053 1.70359 1.70359
3.825 1.40079 1.90521 1.90521
3.875 1.45955 2.12082 2.12082
3.925 1.50172 2.34842 2.34842
3.975 1.52663 2.58572 2.58572
4.025 1.53305 2.83006 2.83006
4.075 1.53476 3.08078 3.08078
4.125 1.53208 3.33725 3.33725
4.175 1.51907 3.59773 3.59773
4.225 1.49934 3.86104 3.86104
4.275 1.51129 4.13275 4.13275
4.325 1.46382 4.40213 4.40213
4.375 1.46115 4.67727 4.67727
4.425 1.42476 4.95172 4.95172
4.475 1.42106 5.23168 5.23168
4.525 1.3781 5.50928 5.50928
4.575 1.35753 5.78881 5.78881
4.625 1.33994 6.07078 6.07078
4.675 1.30589 6.35156 6.35156
4.725 1.26701 6.62984 6.62984
4.775 1.22712 6.9051 6.9051
4.825 1.25145 7.19172 7.19172
4.875 1.21088 7.47482 7.47482
4.925 1.20189 7.76162 7.76162
4.975 1.20656 8.05541 8.05541
5.025 1.16553 8.34494 8.34494
5.075 1.16604 8.64039 8.64039
5.125 1.16229 8.94072 8.94072
5.175 1.14854 9.24332 9.24332
5.225 1.10957 9.54133 9.54133
5.275 1.09763 9.8418 9.8418
5.325 1.05478 10.136 10.136
5.375 1.06947 10.44 10.44
5.425 1.02752 10.7375 10.7375
5.475 1.00632 11.0343 11.0343
5.525 0.983764 11.3297 11.3297
5.575 0.953805 11.6213 11.6213
5.625 0.932782 11.9117 11.9117
5.675 0.903103 12.1978 12.1978
5.725 0.877645 12.4808 12.4808
5.775 0.870133 12.7663 12.7663
5.825 0.821732 13.0406 13.0406
5.875 0.823105 13.3201 13.3201
5.925 0.797848 13.5956 13.5956
5.975 0.797953 13.8759 13.8759
6.025 0.781154 14.1548 14.1548
6.075 0.759902 14.4307 14.4307
6.125 0.741143 14.7043 14.7043
6.175 0.76751 14.9922 14.9922
6.225 0.758714 15.2814 15.2814
6.275 0.748436 15.5713 15.5713
6.325 0.767567 15.8734 15.8734
6.375 0.743019 16.1705 16.1705
6.425 0.771369 16.4838 16.4838
6.475 0.77082 16.8017 16.8017
6.525 0.785211 17.1306 17.1306
6.575 0.777034 17.4611 17.4611
6.625 0.803979 17.8082 17.8082
6.675 0.788816 18.154 18.154
6.725 0.814531 18.5164 18.5164
6.775 0.842734 18.8969 18.8969
6.825 0.839382 19.2816 19.2816
6.875 0.854268 19.6788 19.6788
6.925 0.864622 20.0867 20.0867
6.975 0.908218 20.5214 20.5214
7.025 0.908007 20.9622 20.9622
7.075 0.93857 21.4244 21.4244
7.125 0.942142 21.8949 21.8949
7.175 0.947182 22.3746 22.3746
7.225 0.980023 22.8779 22.8779
7.275 1.00546 23.4014 23.4014
7.325 1.01261 23.936 23.936
7.375 1.02594 24.4849 24.4849
7.425 1.03529 25.0464 25.0464
7.475 1.0508 25.624 25.624
7.525 1.06374 26.2166 26.2166
7.575 1.07655 26.8243 26.8243
7.625 1.09205 27.449 27.449
7.675 1.12003 28.098 28.098
7.725 1.11623 28.7533 28.7533
7.775 1.12326 29.4213 29.4213
7.825 1.1417 30.1091 30.1091
7.875 1.1397 30.8044 30.8044
7.925 1.14073 31.5092 31.5092
7.975 1.13843 32.2215 32.2215
8.025 1.13985 32.9437 32.9437
8.075 1.14289 33.6769 33.6769
8.125 1.14096 34.4179 34.4179
8.175 1.1509 35.1745 35.1745
8.225 1.14388 35.9358 35.9358
8.275 1.14433 36.7067 36.7067
8.325 1.13862 37.483 37.483
8.375 1.11442 38.252 38.252
8.425 1.12263 39.0359 39.0359
8.475 1.12321 39.8296 39.8296
8.525 1.11972 40.6302 40.6302
8.575 1.1141 41.4361 41.4361
8.625 1.10133 42.2421 42.2421
8.675 1.08065 43.0421 43.0421
8.725 1.0877 43.8567 43.8567
