# Radial distribution function in trajectory ewald/nacl/molten/md/NVT/trajectory.nc
# Using selection: name Cl
# r   g(r)   N_ij(r)   N_ji(r)
0.025 0 0 0
0.075 0 0 0
0.125 0 0 0
0.175 0 0 0
0.225 0 0 0
0.275 0 0 0
0.325 0 0 0
0.375 0 0 0
0.425 0 0 0
0.475 0 0 0
0.525 0 0 0
0.575 0 0 0
0.625 0 0 0
0.675 0 0 0
0.725 0 0 0
0.775 0 0 0
0.825 0 0 0
0.875 0 0 0
0.925 0 0 0
0.975 0 0 0
1.025 0 0 0
1.075 0 0 0
1.125 0 0 0
1.175 0 0 0
1.225 0 0 0
1.275 0 0 0
1.325 0 0 0
1.375 0 0 0
1.425 0 0 0
1.475 0 0 0
1.525 0 0 0
1.575 0 0 0
1.625 0 0 0
1.675 0 0 0
1.725 0 0 0
1.775 0 0 0
1.825 0 0 0
1.875 0 0 0
1.925 0 0 0
1.975 0 0 0
2.025 0 0 0
2.075 0 0 0
2.125 0 0 0
2.175 0 0 0
2.225 0 0 0
2.275 0 0 0
2.325 0 0 0
2.375 0 0 0
2.425 0 0 0
2.475 0 0 0
2.525 0 0 0
2.575 0 0 0
2.625 0 0 0
2.675 0 0 0
2.725 0 0 0
2.775 0 0 0
2.825 0 0 0
2.875 0 0 0
2.925 0.00464098 0.000390625 0.000390625
2.975 0.00897258 0.00117187 0.00117187
3.025 0.0195264 0.00292969 0.00292969
3.075 0.0356936 0.00625 0.00625
3.125 0.0813188 0.0140625 0.0140625
3.175 0.159525 0.0298828 0.0298828
3.225 0.219518 0.0523438 0.0523438
3.275 0.357245 0.0900391 0.0900391
3.325 0.492038 0.143555 0.143555
3.375 0.629203 0.214062 0.214062
3.425 0.744668 0.3 0.3
3.475 0.899309 0.406836 0.406836
3.525 1.06411 0.536914 0.536914
3.575 1.193 0.686914 0.686914
3.625 1.29176 0.853906 0.853906
3.675 1.45089 1.04668 1.04668
3.725 1.52666 1.25508 1.25508
3.775 1.61466 1.48145 1.48145
3.825 1.65007 1.71895 1.71895
3.875 1.7532 1.97793 1.97793
3.925 1.75263 2.24355 2.24355
3.975 1.80808 2.52461 2.52461
4.025 1.74138 2.80215 2.80215
4.075 1.75391 3.08867 3.08867
4.125 1.78982 3.38828 3.38828
4.175 1.69823 3.67949 3.67949
4.225 1.6794 3.97441 3.97441
4.275 1.70118 4.28027 4.28027
4.325 1.66738 4.58711 4.58711
4.375 1.56207 4.88125 4.88125
4.425 1.5513 5.18008 5.18008
4.475 1.48907 5.47344 5.47344
4.525 1.49028 5.77363 5.77363
4.575 1.4171 6.06543 6.06543
4.625 1.38662 6.35723 6.35723
4.675 1.3435 6.64609 6.64609
4.725 1.32055 6.93613 6.93613
4.775 1.30436 7.22871 7.22871
4.825 1.2135 7.50664 7.50664
4.875 1.17036 7.78027 7.78027
4.925 1.20811 8.06855 8.06855
4.975 1.17833 8.35547 8.35547
5.025 1.14713 8.64043 8.64043
5.075 1.09535 8.91797 8.91797
5.125 1.09071 9.1998 9.1998
5.175 1.10606 9.49121 9.49121
5.225 1.01955 9.76504 9.76504
5.275 1.08521 10.0621 10.0621
5.325 0.989314 10.3381 10.3381
5.375 0.963435 10.6119 10.6119
5.425 0.96532 10.8914 10.8914
5.475 0.912667 11.1605 11.1605
5.525 0.910531 11.434 11.434
5.575 0.902576 11.71 11.71
5.625 0.875307 11.9824 11.9824
5.675 0.851937 12.2523 12.2523
5.725 0.814709 12.515 12.515
5.775 0.809592 12.7807 12.7807
5.825 0.75538 13.0328 13.0328
5.875 0.775939 13.2963 13.2963
5.925 0.745367 13.5537 13.5537
5.975 0.750739 13.8174 13.8174
6.025 0.730127 14.0781 14.0781
6.075 0.736448 14.3455 14.3455
6.125 0.712302 14.6084 14.6084
6.175 0.742466 14.8869 14.8869
6.225 0.690625 15.1502 15.1502
6.275 0.734117 15.4346 15.4346
6.325 0.708164 15.7133 15.7133
6.375 0.748881 16.0127 16.0127
6.425 0.750737 16.3176 16.3176
6.475 0.764758 16.633 16.633
6.525 0.749819 16.9471 16.9471
6.575 0.732029 17.2584 17.2584
6.625 0.769421 17.5906 17.5906
6.675 0.778434 17.9318 17.9318
6.725 0.777876 18.2779 18.2779
6.775 0.804067 18.641 18.641
6.825 0.857539 19.034 19.034
6.875 0.853092 19.4307 19.4307
6.925 0.895878 19.8533 19.8533
6.975 0.913278 20.2904 20.2904
7.025 0.899921 20.7273 20.7273
7.075 0.957846 21.199 21.199
7.125 0.924504 21.6607 21.6607
7.175 0.982623 22.1584 22.1584
7.225 1.00596 22.675 22.675
7.275 0.970049 23.1801 23.1801
7.325 1.06674 23.7432 23.7432
7.375 1.0516 24.3059 24.3059
7.425 1.08034 24.8918 24.8918
7.475 1.08867 25.4902 25.4902
7.525 1.0718 26.0873 26.0873
7.575 1.12897 26.7246 26.7246
7.625 1.15109 27.383 27.383
7.675 1.11525 28.0293 28.0293
7.725 1.16373 28.7125 28.7125
7.775 1.10875 29.3719 29.3719
7.825 1.14715 30.0629 30.0629
7.875 1.18673 30.7869 30.7869
7.925 1.2012 31.5291 31.5291
7.975 1.18712 32.2719 32.2719
8.025 1.15357 33.0027 33.0027
8.075 1.22976 33.7916 33.7916
8.125 1.18249 34.5596 34.5596
8.175 1.16272 35.324 35.324
8.225 1.17387 36.1053 36.1053
8.275 1.19017 36.907 36.907
8.325 1.15214 37.6926 37.6926
8.375 1.15682 38.4908 38.4908
8.425 1.15208 39.2953 39.2953
8.475 1.12056 40.0871 40.0871
8.525 1.10117 40.8744 40.8744
8.575 1.12509 41.6883 41.6883
8.625 1.0918 42.4873 42.4873
8.675 1.09059 43.2947 43.2947
8.725 1.06118 44.0895 44.0895
8.775 1.03571 44.874 44.874
8.825 1.07397 45.6969 45.6969
8.875 1.06367 46.5211 46.5211
8.925 1.0301 47.3283 47.3283
8.975 0.968623 48.0959 48.0959
9.025 1.00204 48.8988 48.8988
9.075 0.975358 49.6891 49.6891
9.125 1.00022 50.5084 50.5084
