# Radial distribution function in trajectory ewald/nacl/molten/md/NVT/trajectory.nc
# Using selection: pairs: name(#1) Na and name(#2) Cl
# r   g(r)   N_ij(r)   N_ji(r)
0.025 0 0 0
0.075 0 0 0
0.125 0 0 0
0.175 0 0 0
0.225 0 0 0
0.275 0 0 0
0.325 0 0 0
0.375 0 0 0
0.425 0 0 0
0.475 0 0 0
0.525 0 0 0
0.575 0 0 0
0.625 0 0 0
0.675 0 0 0
0.725 0 0 0
0.775 0 0 0
0.825 0 0 0
0.875 0 0 0
0.925 0 0 0
0.975 0 0 0
1.025 0 0 0
1.075 0 0 0
1.125 0 0 0
1.175 0 0 0
1.225 0 0 0
1.275 0 0 0
1.325 0 0 0
1.375 0 0 0
1.425 0 0 0
1.475 0 0 0
1.525 0 0 0
1.575 0 0 0
1.625 0 0 0
1.675 0 0 0
1.725 0 0 0
1.775 0 0 0
1.825 0 0 0
1.875 0 0 0
1.925 0 0 0
1.975 0 0 0
2.025 0 0 0
2.075 0 0 0
2.125 0 0 0
2.175 0 0 0
2.225 0.0120307 0.000585937 0.000585937
2.275 0.044113 0.00283203 0.00283203
2.325 0.216689 0.0143555 0.0143555
2.375 0.584268 0.0467773 0.0467773
2.425 1.27446 0.120508 0.120508
2.475 2.14879 0.25 0.25
2.525 2.8944 0.431543 0.431543
2.575 3.6469 0.669434 0.669434
2.625 3.868 0.931641 0.931641
2.675 3.82603 1.20098 1.20098
2.725 3.7484 1.4748 1.4748
2.775 3.55009 1.74375 1.74375
2.825 3.36459 2.00791 2.00791
2.875 2.87508 2.2417 2.2417
2.925 2.78459 2.47607 2.47607
2.975 2.33063 2.679 2.679
3.025 2.12947 2.8707 2.8707
3.075 1.92115 3.04941 3.04941
3.125 1.70871 3.21357 3.21357
3.175 1.51943 3.36426 3.36426
3.225 1.43164 3.51074 3.51074
3.275 1.17447 3.63467 3.63467
3.325 1.07835 3.75195 3.75195
3.375 0.984764 3.8623 3.8623
3.425 0.888524 3.96484 3.96484
3.475 0.846699 4.06543 4.06543
3.525 0.810067 4.16445 4.16445
3.575 0.738635 4.25732 4.25732
3.625 0.757681 4.35527 4.35527
3.675 0.724709 4.45156 4.45156
3.725 0.670329 4.54307 4.54307
3.775 0.585122 4.6251 4.6251
3.825 0.58553 4.70937 4.70937
3.875 0.608199 4.79922 4.79922
3.925 0.583781 4.8877 4.8877
3.975 0.578611 4.97764 4.97764
4.025 0.517145 5.06006 5.06006
4.075 0.544583 5.14902 5.14902
4.125 0.537295 5.23896 5.23896
4.175 0.558103 5.33467 5.33467
4.225 0.541635 5.42979 5.42979
4.275 0.552938 5.5292 5.5292
4.325 0.559332 5.63213 5.63213
4.375 0.54299 5.73438 5.73438
4.425 0.568303 5.84385 5.84385
4.475 0.571537 5.95645 5.95645
4.525 0.545887 6.06641 6.06641
4.575 0.578601 6.18555 6.18555
4.625 0.619989 6.31602 6.31602
4.675 0.600894 6.44521 6.44521
4.725 0.613588 6.57998 6.57998
4.775 0.628233 6.7209 6.7209
4.825 0.643848 6.86836 6.86836
4.875 0.668718 7.02471 7.02471
4.925 0.701045 7.19199 7.19199
4.975 0.727532 7.36914 7.36914
5.025 0.743397 7.55381 7.55381
5.075 0.738841 7.74102 7.74102
5.125 0.789878 7.94512 7.94512
5.175 0.795816 8.15479 8.15479
5.225 0.86465 8.38701 8.38701
5.275 0.872238 8.62578 8.62578
5.325 0.903896 8.87793 8.87793
5.375 0.945224 9.14658 9.14658
5.425 0.996688 9.43516 9.43516
5.475 0.984196 9.72539 9.72539
5.525 0.998657 10.0253 10.0253
5.575 1.03544 10.3419 10.3419
5.625 1.10119 10.6847 10.6847
5.675 1.15215 11.0497 11.0497
5.725 1.11969 11.4107 11.4107
5.775 1.16528 11.7931 11.7931
5.825 1.19392 12.1916 12.1916
5.875 1.22315 12.6069 12.6069
5.925 1.23172 13.0323 13.0323
5.975 1.23344 13.4655 13.4655
6.025 1.30931 13.9331 13.9331
6.075 1.30855 14.4082 14.4082
6.125 1.28542 14.8826 14.8826
6.175 1.30452 15.372 15.372
6.225 1.29928 15.8673 15.8673
6.275 1.30739 16.3737 16.3737
6.325 1.32154 16.8938 16.8938
6.375 1.29235 17.4105 17.4105
6.425 1.25788 17.9214 17.9214
6.475 1.23806 18.432 18.432
6.525 1.26485 18.9618 18.9618
6.575 1.23122 19.4854 19.4854
6.625 1.22605 20.0148 20.0148
6.675 1.20374 20.5425 20.5425
6.725 1.1644 21.0605 21.0605
6.775 1.16587 21.587 21.587
6.825 1.12094 22.1007 22.1007
6.875 1.10784 22.6158 22.6158
6.925 1.08217 23.1264 23.1264
6.975 1.09957 23.6526 23.6526
7.025 1.055 24.1648 24.1648
7.075 1.04391 24.6789 24.6789
7.125 1.03753 25.1971 25.1971
7.175 0.9913 25.6991 25.6991
7.225 0.992269 26.2087 26.2087
7.275 0.986179 26.7222 26.7222
7.325 0.955556 27.2266 27.2266
7.375 0.956332 27.7383 27.7383
7.425 0.953938 28.2557 28.2557
7.475 0.927895 28.7657 28.7657
7.525 0.92437 29.2807 29.2807
7.575 0.898541 29.7879 29.7879
7.625 0.883039 30.293 30.293
7.675 0.896175 30.8123 30.8123
7.725 0.895424 31.338 31.338
7.775 0.88887 31.8666 31.8666
7.825 0.8816 32.3977 32.3977
7.875 0.866119 32.9261 32.9261
7.925 0.875455 33.467 33.467
7.975 0.880432 34.0179 34.0179
8.025 0.84622 34.554 34.554
8.075 0.868047 35.1108 35.1108
8.125 0.83033 35.6501 35.6501
8.175 0.867884 36.2207 36.2207
8.225 0.853402 36.7887 36.7887
8.275 0.871969 37.3761 37.3761
8.325 0.862385 37.9641 37.9641
8.375 0.869102 38.5638 38.5638
8.425 0.86469 39.1676 39.1676
8.475 0.87746 39.7876 39.7876
8.525 0.887275 40.422 40.422
8.575 0.901798 41.0743 41.0743
8.625 0.897645 41.7313 41.7313
8.675 0.91041 42.4053 42.4053
8.725 0.918522 43.0932 43.0932
8.775 0.952432 43.8146 43.8146
