# Radial distribution function in trajectory ewald/nacl/molten/md/NVT/trajectory.nc
# Using selection: name Na
# r   g(r)   N_ij(r)   N_ji(r)
0.025 0 0 0
0.075 0 0 0
0.125 0 0 0
0.175 0 0 0
0.225 0 0 0
0.275 0 0 0
0.325 0 0 0
0.375 0 0 0
0.425 0 0 0
0.475 0 0 0
0.525 0 0 0
0.575 0 0 0
0.625 0 0 0
0.675 0 0 0
0.725 0 0 0
0.775 0 0 0
0.825 0 0 0
0.875 0 0 0
0.925 0 0 0
0.975 0 0 0
1.025 0 0 0
1.075 0 0 0
1.125 0 0 0
1.175 0 0 0
1.225 0 0 0
1.275 0 0 0
1.325 0 0 0
1.375 0 0 0
1.425 0 0 0
1.475 0 0 0
1.525 0 0 0
1.575 0 0 0
1.625 0 0 0
1.675 0 0 0
1.725 0 0 0
1.775 0 0 0
1.825 0 0 0
1.875 0 0 0
1.925 0 0 0
1.975 0 0 0
2.025 0 0 0
2.075 0 0 0
2.125 0 0 0
2.175 0 0 0
2.225 0.00401025 0.000195312 0.000195312
2.275 0.00383591 0.000390625 0.000390625
2.325 0.0073454 0.00078125 0.00078125
2.375 0.00351969 0.000976562 0.000976562
2.425 0.00337604 0.00117187 0.00117187
2.475 0.0259281 0.00273437 0.00273437
2.525 0.0124557 0.00351563 0.00351563
2.575 0.0329359 0.00566406 0.00566406
2.625 0.0633863 0.00996094 0.00996094
2.675 0.0527154 0.0136719 0.0136719
2.725 0.0855556 0.0199219 0.0199219
2.775 0.134063 0.0300781 0.0300781
2.825 0.136822 0.0408203 0.0408203
2.875 0.213769 0.0582031 0.0582031
2.925 0.206524 0.0755859 0.0755859
2.975 0.269177 0.0990234 0.0990234
3.025 0.325441 0.12832 0.12832
3.075 0.411526 0.166602 0.166602
3.125 0.39033 0.204102 0.204102
3.175 0.549475 0.258594 0.258594
3.225 0.616559 0.32168 0.32168
3.275 0.666363 0.391992 0.391992
3.325 0.732669 0.47168 0.47168
3.375 0.765153 0.557422 0.557422
3.425 0.920681 0.663672 0.663672
3.475 0.920682 0.773047 0.773047
3.525 1.00499 0.895898 0.895898
3.575 1.03766 1.02637 1.02637
3.625 1.16183 1.17656 1.17656
3.675 1.22451 1.33926 1.33926
3.725 1.30489 1.51738 1.51738
3.775 1.33742 1.70488 1.70488
3.825 1.37868 1.90332 1.90332
3.875 1.46893 2.12031 2.12031
3.925 1.39051 2.33105 2.33105
3.975 1.49899 2.56406 2.56406
4.025 1.47791 2.79961 2.79961
4.075 1.49805 3.04434 3.04434
4.125 1.48763 3.29336 3.29336
4.175 1.52966 3.55566 3.55566
4.225 1.48477 3.81641 3.81641
4.275 1.42417 4.07246 4.07246
4.325 1.44556 4.33848 4.33848
4.375 1.48116 4.61738 4.61738
4.425 1.39617 4.88633 4.88633
4.475 1.37704 5.15762 5.15762
4.525 1.40205 5.44004 5.44004
4.575 1.31181 5.71016 5.71016
4.625 1.33929 5.99199 5.99199
4.675 1.29808 6.27109 6.27109
4.725 1.2912 6.55469 6.55469
4.775 1.22077 6.82852 6.82852
4.825 1.25017 7.11484 7.11484
4.875 1.2138 7.39863 7.39863
4.925 1.25312 7.69766 7.69766
4.975 1.27699 8.00859 8.00859
5.025 1.2289 8.31387 8.31387
5.075 1.2025 8.61855 8.61855
5.125 1.16327 8.91914 8.91914
5.175 1.15128 9.22246 9.22246
5.225 1.10681 9.51973 9.51973
5.275 1.11233 9.82422 9.82422
5.325 1.07893 10.1252 10.1252
5.375 1.03078 10.4182 10.4182
5.425 1.03615 10.7182 10.7182
5.475 1.01797 11.0184 11.0184
5.525 0.985325 11.3143 11.3143
5.575 0.984338 11.6152 11.6152
5.625 0.929896 11.9047 11.9047
5.675 0.94009 12.2025 12.2025
5.725 0.904963 12.4943 12.4943
5.775 0.85662 12.7754 12.7754
5.825 0.83437 13.0539 13.0539
5.875 0.825406 13.3342 13.3342
5.925 0.830761 13.6211 13.6211
5.975 0.84194 13.9168 13.9168
6.025 0.768411 14.1912 14.1912
6.075 0.764959 14.4689 14.4689
6.125 0.751992 14.7465 14.7465
6.175 0.785682 15.0412 15.0412
6.225 0.758766 15.3305 15.3305
6.275 0.751764 15.6217 15.6217
6.325 0.795506 15.9348 15.9348
6.375 0.76256 16.2396 16.2396
6.425 0.794021 16.5621 16.5621
6.475 0.793644 16.8895 16.8895
6.525 0.79132 17.2209 17.2209
6.575 0.80964 17.5652 17.5652
6.625 0.7848 17.9041 17.9041
6.675 0.787345 18.2492 18.2492
6.725 0.849869 18.6273 18.6273
6.775 0.802336 18.9896 18.9896
6.825 0.862227 19.3848 19.3848
6.875 0.870733 19.7896 19.7896
6.925 0.877248 20.2035 20.2035
6.975 0.886753 20.6279 20.6279
7.025 0.885841 21.058 21.058
7.075 0.893989 21.4982 21.4982
7.125 0.925678 21.9605 21.9605
7.175 0.945987 22.4396 22.4396
7.225 0.977437 22.9416 22.9416
7.275 0.9723 23.4479 23.4479
7.325 1.02678 23.9898 23.9898
7.375 0.986993 24.518 24.518
7.425 1.03568 25.0797 25.0797
7.475 1.04284 25.6529 25.6529
7.525 1.06023 26.2436 26.2436
7.575 1.06808 26.8465 26.8465
7.625 1.09065 27.4703 27.4703
7.675 1.09064 28.1023 28.1023
7.725 1.03831 28.7119 28.7119
7.775 1.10021 29.3662 29.3662
7.825 1.13645 30.0508 30.0508
7.875 1.14704 30.7506 30.7506
7.925 1.12692 31.4469 31.4469
7.975 1.10191 32.1363 32.1363
8.025 1.13138 32.8531 32.8531
8.075 1.12746 33.5764 33.5764
8.125 1.12565 34.3074 34.3074
8.175 1.10895 35.0365 35.0365
8.225 1.15215 35.8033 35.8033
8.275 1.15538 36.5816 36.5816
8.325 1.12779 37.3506 37.3506
8.375 1.1087 38.1156 38.1156
8.425 1.12467 38.901 38.901
8.475 1.12719 39.6975 39.6975
8.525 1.11674 40.4959 40.4959
8.575 1.08864 41.2834 41.2834
8.625 1.10381 42.0912 42.0912
8.675 1.07345 42.8859 42.8859
