# Radial distribution function in trajectory wolf/nacl/crystal/mc/NVT/trajectory.nc
# Using selection: name Cl
# r   g(r)   N_ij(r)   N_ji(r)
0.025 0 0 0
0.075 0 0 0
0.125 0 0 0
0.175 0 0 0
0.225 0 0 0
0.275 0 0 0
0.325 0 0 0
0.375 0 0 0
0.425 0 0 0
0.475 0 0 0
0.525 0 0 0
0.575 0 0 0
0.625 0 0 0
0.675 0 0 0
0.725 0 0 0
0.775 0 0 0
0.825 0 0 0
0.875 0 0 0
0.925 0 0 0
0.975 0 0 0
1.025 0 0 0
1.075 0 0 0
1.125 0 0 0
1.175 0 0 0
1.225 0 0 0
1.275 0 0 0
1.325 0 0 0
1.375 0 0 0
1.425 0 0 0
1.475 0 0 0
1.525 0 0 0
1.575 0 0 0
1.625 0 0 0
1.675 0 0 0
1.725 0 0 0
1.775 0 0 0
1.825 0 0 0
1.875 0 0 0
1.925 0 0 0
1.975 0 0 0
2.025 0 0 0
2.075 0 0 0
2.125 0 0 0
2.175 0 0 0
2.225 0 0 0
2.275 0 0 0
2.325 0 0 0
2.375 0 0 0
2.425 0 0 0
2.475 0 0 0
2.525 0 0 0
2.575 0 0 0
2.625 0 0 0
2.675 0 0 0
2.725 0 0 0
2.775 0 0 0
2.825 0 0 0
2.875 0 0 0
2.925 0 0 0
2.975 0 0 0
3.025 0 0 0
3.075 0 0 0
3.125 0 0 0
3.175 0 0 0
3.225 0 0 0
3.275 0 0 0
3.325 0 0 0
3.375 0 0 0
3.425 0 0 0
3.475 0.000346406 5.85937e-05 5.85937e-05
3.525 0.00112216 0.000253906 0.000253906
3.575 0.0159285 0.00310547 0.00310547
3.625 0.0742772 0.0167773 0.0167773
3.675 0.262649 0.0664648 0.0664648
3.725 0.79437 0.220859 0.220859
3.775 1.88548 0.597227 0.597227
3.825 3.73258 1.36217 1.36217
3.875 6.02116 2.62859 2.62859
3.925 8.09083 4.37453 4.37453
3.975 8.98177 6.36242 6.36242
4.025 8.39353 8.26715 8.26715
4.075 6.67452 9.81965 9.81965
4.125 4.42236 10.8737 10.8737
4.175 2.55599 11.4978 11.4978
4.225 1.23191 11.8058 11.8058
4.275 0.498136 11.9333 11.9333
4.325 0.17659 11.9796 11.9796
4.375 0.0580599 11.9951 11.9951
4.425 0.0138861 11.9989 11.9989
4.475 0.00313329 11.9998 11.9998
4.525 0.000544787 12 12
4.575 6.6618e-05 12 12
4.625 0 12 12
4.675 0 12 12
4.725 0 12 12
4.775 0 12 12
4.825 0 12 12
4.875 0 12 12
4.925 0 12 12
4.975 0 12 12
5.025 0 12 12
5.075 0 12 12
5.125 0.000106173 12 12
5.175 0.000468593 12.0002 12.0002
5.225 0.00403486 12.0018 12.0018
5.275 0.0187914 12.0091 12.0091
5.325 0.0668273 12.0356 12.0356
5.375 0.208353 12.1199 12.1199
5.425 0.496282 12.3245 12.3245
5.475 0.946886 12.7221 12.7221
5.525 1.5066 13.3663 13.3663
5.575 1.96888 14.2235 14.2235
5.625 2.16694 15.1839 15.1839
5.675 2.02211 16.0961 16.0961
5.725 1.63542 16.8469 16.8469
5.775 1.12282 17.3714 17.3714
5.825 0.680152 17.6947 17.6947
5.875 0.354935 17.8663 17.8663
5.925 0.16253 17.9462 17.9462
5.975 0.0684277 17.9804 17.9804
6.025 0.0253131 17.9933 17.9933
6.075 0.0100877 17.9985 17.9985
6.125 0.00234154 17.9997 17.9997
6.175 0.000292543 17.9999 17.9999
6.225 0.000179914 18 18
6.275 0.000141647 18.0001 18.0001
6.325 0.000313686 18.0003 18.0003
6.375 0.00185271 18.0013 18.0013
6.425 0.00999814 18.0071 18.0071
6.475 0.0334574 18.0267 18.0267
6.525 0.0962526 18.0841 18.0841
6.575 0.261837 18.2427 18.2427
6.625 0.608184 18.6166 18.6166
6.675 1.23261 19.3859 19.3859
6.725 2.16521 20.7575 20.7575
6.775 3.3595 22.9175 22.9175
6.825 4.47179 25.8352 25.8352
6.875 5.18494 29.268 29.268
6.925 5.24565 32.7917 32.7917
6.975 4.6433 35.9559 35.9559
7.025 3.57185 38.425 38.425
7.075 2.40705 40.1127 40.1127
7.125 1.39401 41.104 41.104
7.175 0.719434 41.6228 41.6228
7.225 0.323957 41.8597 41.8597
7.275 0.12804 41.9546 41.9546
7.325 0.0420472 41.9862 41.9862
7.375 0.0136127 41.9966 41.9966
7.425 0.0037432 41.9995 41.9995
7.475 0.00264519 42.0015 42.0015
7.525 0.00711637 42.0072 42.0072
7.575 0.0236197 42.0262 42.0262
7.625 0.064297 42.0785 42.0785
7.675 0.165247 42.2149 42.2149
7.725 0.34997 42.5074 42.5074
7.775 0.677565 43.0811 43.0811
7.825 1.08366 44.0106 44.0106
7.875 1.53444 45.3435 45.3435
7.925 1.88215 46.9993 46.9993
7.975 2.00143 48.7823 48.7823
8.025 1.83731 50.4397 50.4397
8.075 1.49739 51.8074 51.8074
8.125 1.06573 52.7929 52.7929
8.175 0.653274 53.4044 53.4044
8.225 0.350575 53.7366 53.7366
8.275 0.165998 53.8958 53.8958
8.325 0.0710199 53.9648 53.9648
8.375 0.025068 53.9894 53.9894
8.425 0.0116883 54.001 54.001
8.475 0.0148898 54.016 54.016
8.525 0.0402906 54.057 54.057
8.575 0.116736 54.1773 54.1773
8.625 0.293526 54.4831 54.4831
8.675 0.631184 55.1485 55.1485
8.725 1.16052 56.386 56.386
8.775 1.84057 58.3712 58.3712
8.825 2.58113 61.1869 61.1869
8.875 3.08351 64.5889 64.5889
8.925 3.21913 68.1807 68.1807
8.975 2.91177 71.4661 71.4661
9.025 2.28363 74.0715 74.0715
9.075 1.57253 75.8855 75.8855
9.125 0.944116 76.9867 76.9867
9.175 0.490555 77.5651 77.5651
9.225 0.227028 77.8358 77.8358
9.275 0.0920811 77.9467 77.9467
9.325 0.0383403 77.9934 77.9934
9.375 0.0285247 78.0285 78.0285
9.425 0.0479694 78.0882 78.0882
9.475 0.0962025 78.2092 78.2092
9.525 0.191681 78.4528 78.4528
9.575 0.334138 78.8819 78.8819
