# Radial distribution function in trajectory wolf/nacl/crystal/mc/NVT/trajectory.nc
# Using selection: pairs: name(#1) Na and name(#2) Cl
# r   g(r)   N_ij(r)   N_ji(r)
0.025 0 0 0
0.075 0 0 0
0.125 0 0 0
0.175 0 0 0
0.225 0 0 0
0.275 0 0 0
0.325 0 0 0
0.375 0 0 0
0.425 0 0 0
0.475 0 0 0
0.525 0 0 0
0.575 0 0 0
0.625 0 0 0
0.675 0 0 0
0.725 0 0 0
0.775 0 0 0
0.825 0 0 0
0.875 0 0 0
0.925 0 0 0
0.975 0 0 0
1.025 0 0 0
1.075 0 0 0
1.125 0 0 0
1.175 0 0 0
1.225 0 0 0
1.275 0 0 0
1.325 0 0 0
1.375 0 0 0
1.425 0 0 0
1.475 0 0 0
1.525 0 0 0
1.575 0 0 0
1.625 0 0 0
1.675 0 0 0
1.725 0 0 0
1.775 0 0 0
1.825 0 0 0
1.875 0 0 0
1.925 0 0 0
1.975 0 0 0
2.025 0 0 0
2.075 0 0 0
2.125 0 0 0
2.175 0 0 0
2.225 0 0 0
2.275 0 0 0
2.325 0 0 0
2.375 0 0 0
2.425 0.000355665 2.92969e-05 2.92969e-05
2.475 0.00204864 0.000205078 0.000205078
2.525 0.0503013 0.00469727 0.00469727
2.575 0.430464 0.0446777 0.0446777
2.625 1.91398 0.229414 0.229414
2.675 4.70289 0.700791 0.700791
2.725 8.02377 1.53537 1.53537
2.775 9.90293 2.60355 2.60355
2.825 9.73387 3.69168 3.69168
2.875 7.77204 4.59152 4.59152
2.925 5.1994 5.21463 5.21463
2.975 3.11762 5.60113 5.60113
3.025 1.6469 5.81223 5.81223
3.075 0.792983 5.91726 5.91726
3.125 0.364308 5.96709 5.96709
3.175 0.14821 5.98802 5.98802
3.225 0.0530896 5.99575 5.99575
3.275 0.0198254 5.99873 5.99873
3.325 0.0054863 5.99958 5.99958
3.375 0.00232584 5.99995 5.99995
3.425 0.000297162 6 6
3.475 0 6 6
3.525 0 6 6
3.575 0 6 6
3.625 0 6 6
3.675 0 6 6
3.725 0 6 6
3.775 0 6 6
3.825 0 6 6
3.875 0 6 6
3.925 0 6 6
3.975 0 6 6
4.025 0 6 6
4.075 0 6 6
4.125 0 6 6
4.175 0 6 6
4.225 3.90562e-05 6.00001 6.00001
4.275 0.000419628 6.00012 6.00012
4.325 0.00175174 6.00058 6.00058
4.375 0.00590069 6.00216 6.00216
4.425 0.0183012 6.00718 6.00718
4.475 0.0517689 6.0217 6.0217
4.525 0.137252 6.06106 6.06106
4.575 0.311972 6.15253 6.15253
4.625 0.639729 6.34421 6.34421
4.675 1.12898 6.68983 6.68983
4.725 1.82966 7.26201 7.26201
4.775 2.57466 8.0843 8.0843
4.825 3.17055 9.11821 9.11821
4.875 3.42821 10.2594 10.2594
4.925 3.27167 11.371 11.371
4.975 2.73281 12.3185 12.3185
5.025 2.01379 13.0307 13.0307
5.075 1.30407 13.5012 13.5012
5.125 0.725881 13.7683 13.7683
5.175 0.36394 13.9048 13.9048
5.225 0.157768 13.9651 13.9651
5.275 0.0600324 13.9885 13.9885
5.325 0.0194974 13.9962 13.9962
5.375 0.00661207 13.9989 13.9989
5.425 0.00180035 13.9997 13.9997
5.475 0.00051168 13.9999 13.9999
5.525 0.000182713 14 14
5.575 8.97251e-05 14 14
5.625 0 14 14
5.675 6.49431e-05 14 14
5.725 0.000361611 14.0002 14.0002
5.775 0.00163055 14.001 14.001
5.825 0.0103969 14.0059 14.0059
5.875 0.037166 14.0239 14.0239
5.925 0.114927 14.0804 14.0804
5.975 0.320403 14.2406 14.2406
6.025 0.733811 14.6137 14.6137
6.075 1.50726 15.3929 15.3929
6.125 2.68753 16.8052 16.8052
6.175 4.10332 18.9968 18.9968
6.225 5.44988 21.955 21.955
6.275 6.26333 25.4095 25.4095
6.325 6.28355 28.9306 28.9306
6.375 5.50882 32.0666 32.0666
6.425 4.17103 34.4785 34.4785
6.475 2.79986 36.1227 36.1227
6.525 1.64004 37.1008 37.1008
6.575 0.851648 37.6165 37.6165
6.625 0.383911 37.8525 37.8525
6.675 0.154831 37.9492 37.9492
6.725 0.0550335 37.984 37.984
6.775 0.0174368 37.9953 37.9953
6.825 0.0055528 37.9989 37.9989
6.875 0.00125377 37.9997 37.9997
6.925 0.000334374 37.9999 37.9999
6.975 5.73212e-05 38 38
7.025 0 38 38
7.075 4.17842e-05 38 38
7.125 0 38 38
7.175 0 38 38
7.225 0 38 38
7.275 0 38 38
7.325 0 38 38
7.375 0 38 38
7.425 0 38 38
7.475 0 38 38
7.525 0 38 38
7.575 0 38 38
7.625 0 38 38
7.675 0 38 38
7.725 0 38 38
7.775 4.61321e-05 38 38
7.825 0.000284653 38.0003 38.0003
7.875 0.000764454 38.0009 38.0009
7.925 0.00328577 38.0038 38.0038
7.975 0.0131432 38.0155 38.0155
8.025 0.0407152 38.0523 38.0523
8.075 0.110085 38.1528 38.1528
8.125 0.267209 38.3999 38.3999
8.175 0.572436 38.9358 38.9358
8.225 1.09342 39.9719 39.9719
8.275 1.8311 41.7282 41.7282
8.325 2.71532 44.3642 44.3642
8.375 3.56302 47.8649 47.8649
8.425 4.08657 51.9279 51.9279
8.475 4.19236 56.1458 56.1458
8.525 3.75114 59.9644 59.9644
8.575 2.98708 63.041 63.041
8.625 2.09793 65.2271 65.2271
8.675 1.29494 66.5922 66.5922
8.725 0.718813 67.3586 67.3586
8.775 0.353113 67.7395 67.7395
8.825 0.153516 67.907 67.907
8.875 0.0674115 67.9813 67.9813
8.925 0.0509302 68.0382 68.0382
8.975 0.0846301 68.1337 68.1337
9.025 0.189157 68.3495 68.3495
9.075 0.403049 68.8144 68.8144
9.125 0.766082 69.7079 69.7079
9.175 1.27106 71.2067 71.2067
9.225 1.86017 73.4241 73.4241
9.275 2.40165 76.3181 76.3181
9.325 2.73242 79.6462 79.6462
9.375 2.73039 83.0076 83.0076
9.425 2.41088 86.0074 86.0074
9.475 1.88294 88.3753 88.3753
9.525 1.28636 90.01 90.01
