# Radial distribution function in trajectory wolf/nacl/crystal/mc/NVT/trajectory.nc
# Using selection: name Na
# r   g(r)   N_ij(r)   N_ji(r)
0.025 0 0 0
0.075 0 0 0
0.125 0 0 0
0.175 0 0 0
0.225 0 0 0
0.275 0 0 0
0.325 0 0 0
0.375 0 0 0
0.425 0 0 0
0.475 0 0 0
0.525 0 0 0
0.575 0 0 0
0.625 0 0 0
0.675 0 0 0
0.725 0 0 0
0.775 0 0 0
0.825 0 0 0
0.875 0 0 0
0.925 0 0 0
0.975 0 0 0
1.025 0 0 0
1.075 0 0 0
1.125 0 0 0
1.175 0 0 0
1.225 0 0 0
1.275 0 0 0
1.325 0 0 0
1.375 0 0 0
1.425 0 0 0
1.475 0 0 0
1.525 0 0 0
1.575 0 0 0
1.625 0 0 0
1.675 0 0 0
1.725 0 0 0
1.775 0 0 0
1.825 0 0 0
1.875 0 0 0
1.925 0 0 0
1.975 0 0 0
2.025 0 0 0
2.075 0 0 0
2.125 0 0 0
2.175 0 0 0
2.225 0 0 0
2.275 0 0 0
2.325 0 0 0
2.375 0 0 0
2.425 0 0 0
2.475 0 0 0
2.525 0 0 0
2.575 0 0 0
2.625 0 0 0
2.675 0 0 0
2.725 0 0 0
2.775 0 0 0
2.825 0 0 0
2.875 0 0 0
2.925 0 0 0
2.975 0 0 0
3.025 0 0 0
3.075 0 0 0
3.125 0 0 0
3.175 0 0 0
3.225 0 0 0
3.275 0 0 0
3.325 0 0 0
3.375 0 0 0
3.425 0.000356594 5.85937e-05 5.85937e-05
3.475 0.0040414 0.000742188 0.000742188
3.525 0.0179546 0.00386719 0.00386719
3.575 0.062623 0.0150781 0.0150781
3.625 0.193121 0.050625 0.050625
3.675 0.482143 0.141836 0.141836
3.725 1.14488 0.364355 0.364355
3.775 2.24017 0.811523 0.811523
3.825 3.93453 1.61785 1.61785
3.875 5.83358 2.84482 2.84482
3.925 7.44215 4.45078 4.45078
3.975 8.20096 6.26586 6.26586
4.025 7.81455 8.0392 8.0392
4.075 6.45754 9.54123 9.54123
4.125 4.56626 10.6296 10.6296
4.175 2.83357 11.3214 11.3214
4.225 1.51569 11.7004 11.7004
4.275 0.708179 11.8817 11.8817
4.325 0.293472 11.9586 11.9586
4.375 0.105484 11.9869 11.9869
4.425 0.0335404 11.9961 11.9961
4.475 0.0108621 11.9991 11.9991
4.525 0.00238344 11.9998 11.9998
4.575 0.000532944 11.9999 11.9999
4.625 0.000195556 12 12
4.675 0 12 12
4.725 0 12 12
4.775 0 12 12
4.825 0 12 12
4.875 0 12 12
4.925 0 12 12
4.975 0 12 12
5.025 0 12 12
5.075 0 12 12
5.125 0 12 12
5.175 0.00124958 12.0005 12.0005
5.225 0.00745683 12.0033 12.0033
5.275 0.0311186 12.0154 12.0154
5.325 0.0999705 12.0552 12.0552
5.375 0.266317 12.1629 12.1629
5.425 0.577203 12.4009 12.4009
5.475 1.01568 12.8273 12.8273
5.525 1.49199 13.4653 13.4653
5.575 1.86538 14.2774 14.2774
5.625 2.01473 15.1703 15.1703
5.675 1.88521 16.0208 16.0208
5.725 1.57786 16.7452 16.7452
5.775 1.12307 17.2698 17.2698
5.825 0.737232 17.6202 17.6202
5.875 0.405796 17.8164 17.8164
5.925 0.207531 17.9185 17.9185
5.975 0.0983453 17.9676 17.9676
6.025 0.0406008 17.9883 17.9883
6.075 0.0153394 17.9962 17.9962
6.125 0.00457158 17.9986 17.9986
6.175 0.00215751 17.9998 17.9998
6.225 0.000503759 18 18
6.275 0.000247882 18.0002 18.0002
6.325 0.00188212 18.0012 18.0012
6.375 0.00737652 18.0054 18.0054
6.425 0.0250629 18.0199 18.0199
6.475 0.0645202 18.0578 18.0578
6.525 0.163096 18.1551 18.1551
6.575 0.378112 18.384 18.384
6.625 0.774494 18.8602 18.8602
6.675 1.3887 19.7269 19.7269
6.725 2.29544 21.181 21.181
6.775 3.31132 23.31 23.31
6.825 4.22743 26.0683 26.0683
6.875 4.84143 29.2737 29.2737
6.925 4.88206 32.5531 32.5531
6.975 4.39467 35.5479 35.5479
7.025 3.50656 37.9719 37.9719
7.075 2.47791 39.7093 39.7093
7.125 1.55408 40.8144 40.8144
7.175 0.879425 41.4486 41.4486
7.225 0.432512 41.7648 41.7648
7.275 0.196275 41.9103 41.9103
7.325 0.0785591 41.9694 41.9694
7.375 0.0275843 41.9904 41.9904
7.425 0.0104455 41.9984 41.9984
7.475 0.00855944 42.0051 42.0051
7.525 0.0161534 42.0179 42.0179
7.575 0.0431327 42.0526 42.0526
7.625 0.100463 42.1344 42.1344
7.675 0.224141 42.3194 42.3194
7.725 0.430838 42.6795 42.6795
7.775 0.724273 43.2928 43.2928
7.825 1.08405 44.2226 44.2226
7.875 1.46753 45.4974 45.4974
7.925 1.75831 47.0442 47.0442
7.975 1.84878 48.6912 48.6912
8.025 1.73732 50.2585 50.2585
8.075 1.45509 51.5875 51.5875
8.125 1.07114 52.578 52.578
8.175 0.707061 53.2399 53.2399
8.225 0.410821 53.6292 53.6292
8.275 0.21497 53.8354 53.8354
8.325 0.102747 53.9351 53.9351
8.375 0.0447884 53.9791 53.9791
8.425 0.0234552 54.0024 54.0024
8.475 0.029469 54.0321 54.0321
8.525 0.0717941 54.1052 54.1052
8.575 0.171027 54.2813 54.2813
8.625 0.378023 54.6752 54.6752
8.675 0.726197 55.4407 55.4407
8.725 1.2377 56.7605 56.7605
8.775 1.8669 58.7741 58.7741
8.825 2.47881 61.4782 61.4782
8.875 2.89407 64.6713 64.6713
8.925 2.9919 68.0095 68.0095
8.975 2.73626 71.0969 71.0969
9.025 2.23155 73.6429 73.6429
9.075 1.60688 75.4965 75.4965
9.125 1.03386 76.7023 76.7023
9.175 0.580431 77.3868 77.3868
9.225 0.299432 77.7437 77.7437
9.275 0.136979 77.9087 77.9087
9.325 0.0645259 77.9873 77.9873
9.375 0.0457379 78.0437 78.0437
9.425 0.0693484 78.1299 78.1299
9.475 0.124206 78.2861 78.2861
9.525 0.216272 78.561 78.561
