# Radial distribution function in trajectory wolf/nacl/crystal/md/NVT/trajectory.nc
# Using selection: name Cl
# r   g(r)   N_ij(r)   N_ji(r)
0.025 0 0 0
0.075 0 0 0
0.125 0 0 0
0.175 0 0 0
0.225 0 0 0
0.275 0 0 0
0.325 0 0 0
0.375 0 0 0
0.425 0 0 0
0.475 0 0 0
0.525 0 0 0
0.575 0 0 0
0.625 0 0 0
0.675 0 0 0
0.725 0 0 0
0.775 0 0 0
0.825 0 0 0
0.875 0 0 0
0.925 0 0 0
0.975 0 0 0
1.025 0 0 0
1.075 0 0 0
1.125 0 0 0
1.175 0 0 0
1.225 0 0 0
1.275 0 0 0
1.325 0 0 0
1.375 0 0 0
1.425 0 0 0
1.475 0 0 0
1.525 0 0 0
1.575 0 0 0
1.625 0 0 0
1.675 0 0 0
1.725 0 0 0
1.775 0 0 0
1.825 0 0 0
1.875 0 0 0
1.925 0 0 0
1.975 0 0 0
2.025 0 0 0
2.075 0 0 0
2.125 0 0 0
2.175 0 0 0
2.225 0 0 0
2.275 0 0 0
2.325 0 0 0
2.375 0 0 0
2.425 0 0 0
2.475 0 0 0
2.525 0 0 0
2.575 0 0 0
2.625 0 0 0
2.675 0 0 0
2.725 0 0 0
2.775 0 0 0
2.825 0 0 0
2.875 0 0 0
2.925 0 0 0
2.975 0 0 0
3.025 0 0 0
3.075 0 0 0
3.125 0 0 0
3.175 0 0 0
3.225 0 0 0
3.275 0 0 0
3.325 0 0 0
3.375 0 0 0
3.425 0 0 0
3.475 0 0 0
3.525 0.00224432 0.000390625 0.000390625
3.575 0.0120009 0.00253906 0.00253906
3.625 0.0710939 0.015625 0.015625
3.675 0.272561 0.0671875 0.0671875
3.725 0.800902 0.222852 0.222852
3.775 1.92951 0.608008 0.608008
3.825 3.63489 1.35293 1.35293
3.875 6.11485 2.63906 2.63906
3.925 7.9938 4.36406 4.36406
3.975 9.03031 6.3627 6.3627
4.025 8.32794 8.25254 8.25254
4.075 6.74942 9.82246 9.82246
4.125 4.43736 10.8801 10.8801
4.175 2.53103 11.498 11.498
4.225 1.20996 11.8006 11.8006
4.275 0.505842 11.9301 11.9301
4.325 0.178901 11.977 11.977
4.375 0.056093 11.992 11.992
4.425 0.0227875 11.9982 11.9982
4.475 0.00557029 11.9998 11.9998
4.525 0 11.9998 11.9998
4.575 0.00066618 12 12
4.625 0 12 12
4.675 0 12 12
4.725 0 12 12
4.775 0 12 12
4.825 0 12 12
4.875 0 12 12
4.925 0 12 12
4.975 0 12 12
5.025 0 12 12
5.075 0 12 12
5.125 0 12 12
5.175 0.000520659 12.0002 12.0002
5.225 0.00408593 12.0018 12.0018
5.275 0.0200442 12.0096 12.0096
5.325 0.0693352 12.0371 12.0371
5.375 0.207532 12.1211 12.1211
5.425 0.490359 12.3232 12.3232
5.475 0.938234 12.7172 12.7172
5.525 1.4882 13.3535 13.3535
5.575 1.97171 14.2119 14.2119
5.625 2.18888 15.182 15.182
5.675 2.03315 16.0992 16.0992
5.725 1.64767 16.8557 16.8557
5.775 1.13888 17.3877 17.3877
5.825 0.669427 17.7059 17.7059
5.875 0.346209 17.8732 17.8732
5.925 0.147357 17.9457 17.9457
5.975 0.0671779 17.9793 17.9793
6.025 0.0280403 17.9936 17.9936
6.075 0.00868978 17.998 17.998
6.125 0.00371673 18 18
6.175 0 18 18
6.225 0 18 18
6.275 0 18 18
6.325 0.00034854 18.0002 18.0002
6.375 0.00240166 18.0016 18.0016
6.425 0.0118221 18.0084 18.0084
6.475 0.0389117 18.0312 18.0312
6.525 0.0949753 18.0879 18.0879
6.575 0.259966 18.2453 18.2453
6.625 0.603609 18.6164 18.6164
6.675 1.23333 19.3861 19.3861
6.725 2.18007 20.7672 20.7672
6.775 3.32666 22.9061 22.9061
6.825 4.49792 25.8408 25.8408
6.875 5.18411 29.273 29.273
6.925 5.25083 32.8002 32.8002
6.975 4.62897 35.9547 35.9547
7.025 3.57499 38.426 38.426
7.075 2.37919 40.0941 40.0941
7.125 1.41398 41.0996 41.0996
7.175 0.710712 41.6121 41.6121
7.225 0.32588 41.8504 41.8504
7.275 0.136734 41.9518 41.9518
7.325 0.0480762 41.9879 41.9879
7.375 0.0117925 41.9969 41.9969
7.425 0.00480545 42.0006 42.0006
7.475 0.00249546 42.0025 42.0025
7.525 0.00615603 42.0074 42.0074
7.575 0.0238141 42.0266 42.0266
7.625 0.0721873 42.0854 42.0854
7.675 0.174929 42.2297 42.2297
7.725 0.363802 42.5338 42.5338
7.775 0.667762 43.0992 43.0992
7.825 1.08282 44.0279 44.0279
7.875 1.51339 45.3426 45.3426
7.925 1.87822 46.9949 46.9949
7.975 1.99154 48.7691 48.7691
8.025 1.85551 50.443 50.443
8.075 1.49474 51.8082 51.8082
8.125 1.03348 52.7639 52.7639
8.175 0.649497 53.3719 53.3719
8.225 0.362344 53.7152 53.7152
8.275 0.181229 53.8891 53.8891
8.325 0.0750437 53.9619 53.9619
8.375 0.0266384 53.9881 53.9881
8.425 0.0117865 53.9998 53.9998
8.475 0.0149481 54.0148 54.0148
8.525 0.0422092 54.0578 54.0578
8.575 0.111502 54.1727 54.1727
8.625 0.297463 54.4826 54.4826
8.675 0.619585 55.1357 55.1357
8.725 1.12628 56.3367 56.3367
8.775 1.82225 58.3021 58.3021
8.825 2.62523 61.166 61.166
8.875 3.1215 64.61 64.61
8.925 3.22666 68.2102 68.2102
8.975 2.91454 71.4986 71.4986
9.025 2.29207 74.1137 74.1137
9.075 1.56323 75.917 75.917
9.125 0.920688 76.9908 76.9908
9.175 0.487806 77.566 77.566
9.225 0.223161 77.832 77.832
9.275 0.0970896 77.949 77.949
9.325 0.0367207 77.9938 77.9938
9.375 0.0355369 78.0375 78.0375
9.425 0.0507007 78.1006 78.1006
9.475 0.102353 78.2293 78.2293
9.525 0.18704 78.467 78.467
9.575 0.338245 78.9014 78.9014
9.625 0.526643 79.5848 79.5848
9.675 0.675835 80.4709 80.4709
9.725 0.804542 81.5367 81.5367
