# Radial distribution function in trajectory wolf/nacl/crystal/md/NVT/trajectory.nc
# Using selection: pairs: name(#1) Na and name(#2) Cl
# r   g(r)   N_ij(r)   N_ji(r)
0.025 0 0 0
0.075 0 0 0
0.125 0 0 0
0.175 0 0 0
0.225 0 0 0
0.275 0 0 0
0.325 0 0 0
0.375 0 0 0
0.425 0 0 0
0.475 0 0 0
0.525 0 0 0
0.575 0 0 0
0.625 0 0 0
0.675 0 0 0
0.725 0 0 0
0.775 0 0 0
0.825 0 0 0
0.875 0 0 0
0.925 0 0 0
0.975 0 0 0
1.025 0 0 0
1.075 0 0 0
1.125 0 0 0
1.175 0 0 0
1.225 0 0 0
1.275 0 0 0
1.325 0 0 0
1.375 0 0 0
1.425 0 0 0
1.475 0 0 0
1.525 0 0 0
1.575 0 0 0
1.625 0 0 0
1.675 0 0 0
1.725 0 0 0
1.775 0 0 0
1.825 0 0 0
1.875 0 0 0
1.925 0 0 0
1.975 0 0 0
2.025 0 0 0
2.075 0 0 0
2.125 0 0 0
2.175 0 0 0
2.225 0 0 0
2.275 0 0 0
2.325 0 0 0
2.375 0 0 0
2.425 0.00118555 9.76562e-05 9.76562e-05
2.475 0.0068288 0.000683594 0.000683594
2.525 0.0426467 0.00449219 0.00449219
2.575 0.458433 0.0470703 0.0470703
2.625 1.9416 0.234473 0.234473
2.675 4.75462 0.711035 0.711035
2.725 8.1786 1.56172 1.56172
2.775 9.71987 2.61016 2.61016
2.825 9.62432 3.68604 3.68604
2.875 7.61566 4.56777 4.56777
2.925 5.31381 5.20459 5.20459
2.975 3.16662 5.59717 5.59717
3.025 1.66854 5.81104 5.81104
3.075 0.78819 5.91543 5.91543
3.125 0.3541 5.96387 5.96387
3.175 0.157685 5.98613 5.98613
3.225 0.0563072 5.99434 5.99434
3.275 0.0253505 5.99814 5.99814
3.325 0.00819792 5.99941 5.99941
3.375 0.00367238 6 6
3.425 0 6 6
3.475 0 6 6
3.525 0 6 6
3.575 0 6 6
3.625 0 6 6
3.675 0 6 6
3.725 0 6 6
3.775 0 6 6
3.825 0 6 6
3.875 0 6 6
3.925 0 6 6
3.975 0 6 6
4.025 0 6 6
4.075 0 6 6
4.125 0.000409728 6.0001 6.0001
4.175 0 6.0001 6.0001
4.225 0.000390562 6.0002 6.0002
4.275 0.00038148 6.00029 6.00029
4.325 0.00149084 6.00068 6.00068
4.375 0.009106 6.00312 6.00312
4.425 0.0142422 6.00703 6.00703
4.475 0.0588362 6.02354 6.02354
4.525 0.125301 6.05947 6.05947
4.575 0.307109 6.14951 6.14951
4.625 0.637513 6.34053 6.34053
4.675 1.19941 6.70771 6.70771
4.725 1.8365 7.28203 7.28203
4.775 2.52567 8.08867 8.08867
4.825 3.1486 9.11543 9.11543
4.875 3.3953 10.2457 10.2457
4.925 3.28273 11.361 11.361
4.975 2.74921 12.3142 12.3142
5.025 2.01638 13.0273 13.0273
5.075 1.30824 13.4993 13.4993
5.125 0.733924 13.7693 13.7693
5.175 0.355089 13.9025 13.9025
5.225 0.159862 13.9637 13.9637
5.275 0.0603832 13.9872 13.9872
5.325 0.0181943 13.9944 13.9944
5.375 0.00917002 13.9981 13.9981
5.425 0.00331644 13.9995 13.9995
5.475 0.000697745 13.9998 13.9998
5.525 0.000228391 13.9999 13.9999
5.575 0.000224313 14 14
5.625 0 14 14
5.675 0.000216477 14.0001 14.0001
5.725 0.000850849 14.0005 14.0005
5.775 0.00355376 14.0021 14.0021
5.825 0.0113009 14.0075 14.0075
5.875 0.0389839 14.0264 14.0264
5.925 0.112603 14.0817 14.0817
5.975 0.320657 14.2421 14.2421
6.025 0.749021 14.6229 14.6229
6.075 1.50447 15.4007 15.4007
6.125 2.72046 16.8303 16.8303
6.175 4.07842 19.0086 19.0086
6.225 5.42477 21.9531 21.9531
6.275 6.28504 25.4196 25.4196
6.325 6.24357 28.9184 28.9184
6.375 5.4962 32.0472 32.0472
6.425 4.17878 34.4635 34.4635
6.475 2.80048 36.1081 36.1081
6.525 1.63718 37.0845 37.0845
6.575 0.860534 37.6056 37.6056
6.625 0.392981 37.8472 37.8472
6.675 0.155378 37.9441 37.9441
6.725 0.0593499 37.9817 37.9817
6.775 0.0182266 37.9935 37.9935
6.825 0.00763323 37.9984 37.9984
6.875 0.00147502 37.9994 37.9994
6.925 0.00043614 37.9997 37.9997
6.975 0.000286606 37.9999 37.9999
7.025 0.00014127 38 38
7.075 0 38 38
7.125 0 38 38
7.175 0 38 38
7.225 0 38 38
7.275 0 38 38
7.325 0 38 38
7.375 0 38 38
7.425 0 38 38
7.475 0 38 38
7.525 0 38 38
7.575 0 38 38
7.625 0 38 38
7.675 0 38 38
7.725 0.000233656 38.0002 38.0002
7.775 0 38.0002 38.0002
7.825 0.000683166 38.0008 38.0008
7.875 0.00157388 38.0021 38.0021
7.925 0.00566129 38.0071 38.0071
7.975 0.0176485 38.0229 38.0229
8.025 0.0449264 38.0634 38.0634
8.075 0.121461 38.1743 38.1743
8.125 0.271201 38.4251 38.4251
8.175 0.561555 38.9508 38.9508
8.225 1.10909 40.0018 40.0018
8.275 1.84233 41.7688 41.7688
8.325 2.71123 44.4009 44.4009
8.375 3.54162 47.8805 47.8805
8.425 4.07391 51.931 51.931
8.475 4.17934 56.1357 56.1357
8.525 3.76334 59.9668 59.9668
8.575 2.94333 62.9983 62.9983
8.625 2.07165 65.157 65.157
8.675 1.31643 66.5447 66.5447
8.725 0.732935 67.3263 67.3263
8.775 0.356011 67.7103 67.7103
8.825 0.16937 67.895 67.895
8.875 0.0744394 67.9771 67.9771
8.925 0.0575033 68.0413 68.0413
8.975 0.0882826 68.1409 68.1409
9.025 0.197297 68.366 68.366
9.075 0.409813 68.8388 68.8388
9.125 0.779939 69.7484 69.7484
9.175 1.26432 71.2393 71.2393
9.225 1.86066 73.4572 73.4572
9.275 2.37497 76.319 76.319
9.325 2.7369 79.6526 79.6526
9.375 2.70612 82.9842 82.9842
9.425 2.40082 85.9715 85.9715
9.475 1.87707 88.3319 88.3319
