# Radial distribution function in trajectory wolf/nacl/crystal/md/NVT/trajectory.nc
# Using selection: name Na
# r   g(r)   N_ij(r)   N_ji(r)
0.025 0 0 0
0.075 0 0 0
0.125 0 0 0
0.175 0 0 0
0.225 0 0 0
0.275 0 0 0
0.325 0 0 0
0.375 0 0 0
0.425 0 0 0
0.475 0 0 0
0.525 0 0 0
0.575 0 0 0
0.625 0 0 0
0.675 0 0 0
0.725 0 0 0
0.775 0 0 0
0.825 0 0 0
0.875 0 0 0
0.925 0 0 0
0.975 0 0 0
1.025 0 0 0
1.075 0 0 0
1.125 0 0 0
1.175 0 0 0
1.225 0 0 0
1.275 0 0 0
1.325 0 0 0
1.375 0 0 0
1.425 0 0 0
1.475 0 0 0
1.525 0 0 0
1.575 0 0 0
1.625 0 0 0
1.675 0 0 0
1.725 0 0 0
1.775 0 0 0
1.825 0 0 0
1.875 0 0 0
1.925 0 0 0
1.975 0 0 0
2.025 0 0 0
2.075 0 0 0
2.125 0 0 0
2.175 0 0 0
2.225 0 0 0
2.275 0 0 0
2.325 0 0 0
2.375 0 0 0
2.425 0 0 0
2.475 0 0 0
2.525 0 0 0
2.575 0 0 0
2.625 0 0 0
2.675 0 0 0
2.725 0 0 0
2.775 0 0 0
2.825 0 0 0
2.875 0 0 0
2.925 0 0 0
2.975 0 0 0
3.025 0 0 0
3.075 0 0 0
3.125 0 0 0
3.175 0 0 0
3.225 0 0 0
3.275 0 0 0
3.325 0 0 0
3.375 0 0 0
3.425 0 0 0
3.475 0.00230937 0.000390625 0.000390625
3.525 0.0190768 0.00371094 0.00371094
3.575 0.0654595 0.0154297 0.0154297
3.625 0.203732 0.0529297 0.0529297
3.675 0.502792 0.148047 0.148047
3.725 1.10438 0.362695 0.362695
3.775 2.27784 0.817383 0.817383
3.825 3.96083 1.6291 1.6291
3.875 5.83813 2.85703 2.85703
3.925 7.36929 4.44727 4.44727
3.975 8.20343 6.26289 6.26289
4.025 7.81498 8.03633 8.03633
4.075 6.50087 9.54844 9.54844
4.125 4.52668 10.6273 10.6273
4.175 2.78221 11.3066 11.3066
4.225 1.51382 11.6852 11.6852
4.275 0.76296 11.8805 11.8805
4.325 0.286242 11.9555 11.9555
4.375 0.115828 11.9865 11.9865
4.425 0.0348934 11.9961 11.9961
4.475 0.00905172 11.9986 11.9986
4.525 0.00272393 11.9994 11.9994
4.575 0.00133236 11.9998 11.9998
4.625 0.000651854 12 12
4.675 0 12 12
4.725 0 12 12
4.775 0 12 12
4.825 0 12 12
4.875 0 12 12
4.925 0 12 12
4.975 0 12 12
5.025 0 12 12
5.075 0 12 12
5.125 0.00106173 12.0004 12.0004
5.175 0.00260329 12.0014 12.0014
5.225 0.00817186 12.0045 12.0045
5.275 0.0355785 12.0184 12.0184
5.325 0.10179 12.0588 12.0588
5.375 0.30068 12.1805 12.1805
5.425 0.582272 12.4205 12.4205
5.475 0.989868 12.8361 12.8361
5.525 1.47815 13.4682 13.4682
5.575 1.84161 14.2699 14.2699
5.625 2.0157 15.1633 15.1633
5.675 1.89677 16.0189 16.0189
5.725 1.56684 16.7383 16.7383
5.775 1.10376 17.2539 17.2539
5.825 0.733123 17.6023 17.6023
5.875 0.43872 17.8145 17.8145
5.925 0.20773 17.9166 17.9166
5.975 0.0999857 17.9666 17.9666
6.025 0.0387955 17.9863 17.9863
6.075 0.018513 17.9959 17.9959
6.125 0.00520343 17.9986 17.9986
6.175 0.00146272 17.9994 17.9994
6.225 0.000719656 17.9998 17.9998
6.275 0.000708233 18.0002 18.0002
6.325 0.00278832 18.0018 18.0018
6.375 0.00994973 18.0074 18.0074
6.425 0.0256709 18.0223 18.0223
6.475 0.065518 18.0607 18.0607
6.525 0.181436 18.1689 18.1689
6.575 0.383499 18.4012 18.4012
6.625 0.789139 18.8863 18.8863
6.675 1.42735 19.7771 19.7771
6.725 2.28397 21.224 21.224
6.775 3.31785 23.3572 23.3572
6.825 4.21923 26.1102 26.1102
6.875 4.8009 29.2887 29.2887
6.925 4.81091 32.5203 32.5203
6.975 4.3653 35.4951 35.4951
7.025 3.4713 37.8947 37.8947
7.075 2.52767 39.667 39.667
7.125 1.56532 40.7801 40.7801
7.175 0.898141 41.4277 41.4277
7.225 0.445013 41.7531 41.7531
7.275 0.196801 41.899 41.899
7.325 0.0862773 41.9639 41.9639
7.375 0.0351213 41.9906 41.9906
7.425 0.0106226 41.9988 41.9988
7.475 0.00898367 42.0059 42.0059
7.525 0.0164982 42.0189 42.0189
7.575 0.0498152 42.059 42.059
7.625 0.101686 42.1418 42.1418
7.675 0.231503 42.3328 42.3328
7.725 0.435768 42.6971 42.6971
7.775 0.71251 43.3004 43.3004
7.825 1.06938 44.2176 44.2176
7.875 1.48282 45.5057 45.5057
7.925 1.74412 47.04 47.04
7.975 1.84772 48.6861 48.6861
8.025 1.72669 50.2437 50.2437
8.075 1.46502 51.5818 51.5818
8.125 1.06791 52.5693 52.5693
8.175 0.701031 53.2256 53.2256
8.225 0.420055 53.6236 53.6236
8.275 0.220122 53.8348 53.8348
8.325 0.101198 53.933 53.933
8.375 0.0473131 53.9795 53.9795
8.425 0.0280912 54.0074 54.0074
8.475 0.0308668 54.0385 54.0385
8.525 0.071372 54.1111 54.1111
8.575 0.17408 54.2904 54.2904
8.625 0.370188 54.6762 54.6762
8.675 0.725196 55.4406 55.4406
8.725 1.25157 56.7752 56.7752
8.775 1.88182 58.8049 58.8049
8.825 2.47699 61.507 61.507
8.875 2.88464 64.6896 64.6896
8.925 2.98842 68.024 68.024
8.975 2.69591 71.0658 71.0658
9.025 2.23677 73.6178 73.6178
9.075 1.61741 75.4836 75.4836
9.125 1.02267 76.6764 76.6764
9.175 0.588845 77.3707 77.3707
9.225 0.298203 77.7262 77.7262
9.275 0.150254 77.9072 77.9072
9.325 0.0673481 77.9893 77.9893
9.375 0.0460076 78.0459 78.0459
9.425 0.0729901 78.1367 78.1367
9.475 0.13528 78.3068 78.3068
9.525 0.217624 78.5834 78.5834
