# Radial distribution function in trajectory wolf/nacl/molten/mc/NVT/trajectory.nc
# Using selection: name Cl
# r   g(r)   N_ij(r)   N_ji(r)
0.025 0 0 0
0.075 0 0 0
0.125 0 0 0
0.175 0 0 0
0.225 0 0 0
0.275 0 0 0
0.325 0 0 0
0.375 0 0 0
0.425 0 0 0
0.475 0 0 0
0.525 0 0 0
0.575 0 0 0
0.625 0 0 0
0.675 0 0 0
0.725 0 0 0
0.775 0 0 0
0.825 0 0 0
0.875 0 0 0
0.925 0 0 0
0.975 0 0 0
1.025 0 0 0
1.075 0 0 0
1.125 0 0 0
1.175 0 0 0
1.225 0 0 0
1.275 0 0 0
1.325 0 0 0
1.375 0 0 0
1.425 0 0 0
1.475 0 0 0
1.525 0 0 0
1.575 0 0 0
1.625 0 0 0
1.675 0 0 0
1.725 0 0 0
1.775 0 0 0
1.825 0 0 0
1.875 0 0 0
1.925 0 0 0
1.975 0 0 0
2.025 0 0 0
2.075 0 0 0
2.125 0 0 0
2.175 0 0 0
2.225 0 0 0
2.275 0 0 0
2.325 0 0 0
2.375 0 0 0
2.425 0 0 0
2.475 0 0 0
2.525 0 0 0
2.575 0 0 0
2.625 0 0 0
2.675 0 0 0
2.725 0 0 0
2.775 0 0 0
2.825 0.000497536 3.90625e-05 3.90625e-05
2.875 0.000960761 0.000117187 0.000117187
2.925 0.00232049 0.0003125 0.0003125
2.975 0.00964552 0.00115234 0.00115234
3.025 0.0177908 0.00275391 0.00275391
3.075 0.0451419 0.00695313 0.00695313
3.125 0.0906705 0.0156641 0.0156641
3.175 0.163267 0.0318555 0.0318555
3.225 0.247196 0.0571484 0.0571484
3.275 0.365574 0.0957227 0.0957227
3.325 0.488446 0.148848 0.148848
3.375 0.610728 0.217285 0.217285
3.425 0.771408 0.306309 0.306309
3.475 0.924463 0.416133 0.416133
3.525 1.11061 0.551895 0.551895
3.575 1.22562 0.705996 0.705996
3.625 1.3531 0.880918 0.880918
3.675 1.465 1.07557 1.07557
3.725 1.54684 1.28672 1.28672
3.775 1.6017 1.51127 1.51127
3.825 1.67951 1.75301 1.75301
3.875 1.7093 2.00551 2.00551
3.925 1.72235 2.26654 2.26654
3.975 1.76637 2.54111 2.54111
4.025 1.77765 2.82443 2.82443
4.075 1.72509 3.10625 3.10625
4.125 1.74945 3.3991 3.3991
4.175 1.71064 3.69244 3.69244
4.225 1.70977 3.9927 3.9927
4.275 1.68347 4.29537 4.29537
4.325 1.61898 4.5933 4.5933
4.375 1.58665 4.89207 4.89207
4.425 1.5296 5.18672 5.18672
4.475 1.47232 5.47678 5.47678
4.525 1.47118 5.77313 5.77313
4.575 1.4373 6.06908 6.06908
4.625 1.38384 6.36029 6.36029
4.675 1.3415 6.64873 6.64873
4.725 1.30845 6.93611 6.93611
4.775 1.2677 7.22047 7.22047
4.825 1.23278 7.50281 7.50281
4.875 1.20921 7.78553 7.78553
4.925 1.16006 8.06234 8.06234
4.975 1.14833 8.34195 8.34195
5.025 1.11097 8.61793 8.61793
5.075 1.10576 8.89811 8.89811
5.125 1.06025 9.17207 9.17207
5.175 1.04438 9.44723 9.44723
5.225 1.03794 9.726 9.726
5.275 1.00559 10.0013 10.0013
5.325 0.992745 10.2782 10.2782
5.375 0.954914 10.5496 10.5496
5.425 0.941103 10.8221 10.8221
5.475 0.914852 11.0919 11.0919
5.525 0.913718 11.3663 11.3663
5.575 0.863611 11.6303 11.6303
5.625 0.851526 11.8954 11.8954
5.675 0.850828 12.165 12.165
5.725 0.822886 12.4303 12.4303
5.775 0.800305 12.6929 12.6929
5.825 0.787035 12.9556 12.9556
5.875 0.791412 13.2243 13.2243
5.925 0.769797 13.4902 13.4902
5.975 0.753965 13.755 13.755
6.025 0.745222 14.0211 14.0211
6.075 0.74215 14.2906 14.2906
6.125 0.733258 14.5612 14.5612
6.175 0.736999 14.8377 14.8377
6.225 0.751644 15.1242 15.1242
6.275 0.734823 15.4088 15.4088
6.325 0.747865 15.7032 15.7032
6.375 0.757577 16.0061 16.0061
6.425 0.741696 16.3073 16.3073
6.475 0.756519 16.6193 16.6193
6.525 0.759145 16.9373 16.9373
6.575 0.781259 17.2696 17.2696
6.625 0.799682 17.6148 17.6148
6.675 0.809803 17.9698 17.9698
6.725 0.819974 18.3346 18.3346
6.775 0.829023 18.709 18.709
6.825 0.852552 19.0997 19.0997
6.875 0.851034 19.4954 19.4954
6.925 0.89534 19.9178 19.9178
6.975 0.904055 20.3505 20.3505
7.025 0.930938 20.8025 20.8025
7.075 0.941822 21.2662 21.2662
7.125 0.984417 21.7579 21.7579
7.175 0.994771 22.2617 22.2617
7.225 1.01536 22.7831 22.7831
7.275 1.03761 23.3234 23.3234
7.325 1.04432 23.8746 23.8746
7.375 1.06828 24.4462 24.4462
7.425 1.08711 25.0359 25.0359
7.475 1.08775 25.6338 25.6338
7.525 1.10668 26.2503 26.2503
7.575 1.11285 26.8785 26.8785
7.625 1.12599 27.5225 27.5225
7.675 1.12583 28.175 28.175
7.725 1.13649 28.8422 28.8422
7.775 1.132 29.5154 29.5154
7.825 1.1405 30.2024 30.2024
7.875 1.14624 30.9017 30.9017
7.925 1.1469 31.6103 31.6103
7.975 1.1556 32.3334 32.3334
8.025 1.14207 33.057 33.057
8.075 1.14636 33.7923 33.7923
8.125 1.14174 34.5338 34.5338
8.175 1.14243 35.2849 35.2849
8.225 1.14285 36.0455 36.0455
8.275 1.13041 36.8071 36.8071
8.325 1.13146 37.5785 37.5785
8.375 1.1196 38.3511 38.3511
8.425 1.11706 39.1311 39.1311
8.475 1.10348 39.9108 39.9108
8.525 1.10401 40.7002 40.7002
8.575 1.11553 41.5071 41.5071
8.625 1.07675 42.2951 42.2951
8.675 1.06986 43.0872 43.0872
8.725 1.07711 43.8938 43.8938
8.775 1.06211 44.6984 44.6984
8.825 1.05202 45.5045 45.5045
8.875 1.02488 46.2986 46.2986
8.925 1.03269 47.1079 47.1079
8.975 1.03349 47.9269 47.9269
9.025 1.02081 48.7448 48.7448
