# Radial distribution function in trajectory wolf/nacl/molten/mc/NVT/trajectory.nc
# Using selection: pairs: name(#1) Na and name(#2) Cl
# r   g(r)   N_ij(r)   N_ji(r)
0.025 0 0 0
0.075 0 0 0
0.125 0 0 0
0.175 0 0 0
0.225 0 0 0
0.275 0 0 0
0.325 0 0 0
0.375 0 0 0
0.425 0 0 0
0.475 0 0 0
0.525 0 0 0
0.575 0 0 0
0.625 0 0 0
0.675 0 0 0
0.725 0 0 0
0.775 0 0 0
0.825 0 0 0
0.875 0 0 0
0.925 0 0 0
0.975 0 0 0
1.025 0 0 0
1.075 0 0 0
1.125 0 0 0
1.175 0 0 0
1.225 0 0 0
1.275 0 0 0
1.325 0 0 0
1.375 0 0 0
1.425 0 0 0
1.475 0 0 0
1.525 0 0 0
1.575 0 0 0
1.625 0 0 0
1.675 0 0 0
1.725 0 0 0
1.775 0 0 0
1.825 0 0 0
1.875 0 0 0
1.925 0 0 0
1.975 0 0 0
2.025 0 0 0
2.075 0 0 0
2.125 0 0 0
2.175 0 0 0
2.225 0.00501281 0.000244141 0.000244141
2.275 0.0466063 0.00261719 0.00261719
2.325 0.194837 0.0129785 0.0129785
2.375 0.599931 0.0462695 0.0462695
2.425 1.2461 0.118359 0.118359
2.475 2.07587 0.243457 0.243457
2.525 2.88225 0.424238 0.424238
2.575 3.48462 0.651543 0.651543
2.625 3.86411 0.913486 0.913486
2.675 3.87486 1.18626 1.18626
2.725 3.80508 1.46423 1.46423
2.775 3.5256 1.73132 1.73132
2.825 3.26097 1.98734 1.98734
2.875 2.99685 2.23104 2.23104
2.925 2.67042 2.4558 2.4558
2.975 2.37482 2.66258 2.66258
3.025 2.08857 2.8506 2.8506
3.075 1.86257 3.02386 3.02386
3.125 1.66724 3.18403 3.18403
3.175 1.49569 3.33236 3.33236
3.225 1.35051 3.47055 3.47055
3.275 1.2486 3.60229 3.60229
3.325 1.09047 3.7209 3.7209
3.375 1.0171 3.83487 3.83487
3.425 0.937689 3.94309 3.94309
3.475 0.850973 4.04418 4.04418
3.525 0.819494 4.14436 4.14436
3.575 0.774362 4.24172 4.24172
3.625 0.722025 4.33506 4.33506
3.675 0.692075 4.42701 4.42701
3.725 0.655378 4.51647 4.51647
3.775 0.636878 4.60576 4.60576
3.825 0.60005 4.69213 4.69213
3.875 0.59154 4.77951 4.77951
3.925 0.581268 4.86761 4.86761
3.975 0.571889 4.9565 4.9565
4.025 0.560281 5.0458 5.0458
4.075 0.549186 5.13552 5.13552
4.125 0.548263 5.22729 5.22729
4.175 0.540733 5.32002 5.32002
4.225 0.560487 5.41845 5.41845
4.275 0.551255 5.51756 5.51756
4.325 0.557262 5.62011 5.62011
4.375 0.54745 5.72319 5.72319
4.425 0.567594 5.83253 5.83253
4.475 0.58844 5.94846 5.94846
4.525 0.581471 6.06559 6.06559
4.575 0.600464 6.18923 6.18923
4.625 0.607645 6.3171 6.3171
4.675 0.62483 6.45145 6.45145
4.725 0.632084 6.59027 6.59027
4.775 0.655705 6.73735 6.73735
4.825 0.666148 6.88992 6.88992
4.875 0.677949 7.04843 7.04843
4.925 0.699613 7.21537 7.21537
4.975 0.736276 7.39465 7.39465
5.025 0.758729 7.58312 7.58312
5.075 0.776342 7.77983 7.77983
5.125 0.791389 7.98433 7.98433
5.175 0.827174 8.20226 8.20226
5.225 0.829272 8.42498 8.42498
5.275 0.879088 8.66563 8.66563
5.325 0.907711 8.91884 8.91884
5.375 0.928457 9.18272 9.18272
5.425 0.969671 9.46348 9.46348
5.475 0.981382 9.75288 9.75288
5.525 1.02666 10.0612 10.0612
5.575 1.04505 10.3807 10.3807
5.625 1.07242 10.7146 10.7146
5.675 1.11165 11.0668 11.0668
5.725 1.12969 11.431 11.431
5.775 1.14489 11.8067 11.8067
5.825 1.17915 12.2003 12.2003
5.875 1.20777 12.6104 12.6104
5.925 1.2156 13.0302 13.0302
5.975 1.23833 13.4651 13.4651
6.025 1.25877 13.9146 13.9146
6.075 1.25753 14.3712 14.3712
6.125 1.28175 14.8443 14.8443
6.175 1.28633 15.3268 15.3268
6.225 1.25819 15.8064 15.8064
6.275 1.27679 16.301 16.301
6.325 1.26849 16.8003 16.8003
6.375 1.28345 17.3134 17.3134
6.425 1.26548 17.8273 17.8273
6.475 1.26135 18.3476 18.3476
6.525 1.24245 18.868 18.868
6.575 1.23418 19.3929 19.3929
6.625 1.22148 19.9203 19.9203
6.675 1.19704 20.445 20.445
6.725 1.17511 20.9678 20.9678
6.775 1.17035 21.4963 21.4963
6.825 1.14193 22.0196 22.0196
6.875 1.12347 22.542 22.542
6.925 1.10828 23.0649 23.0649
6.975 1.0891 23.5861 23.5861
7.025 1.07319 24.1072 24.1072
7.075 1.06099 24.6296 24.6296
7.125 1.04183 25.15 25.15
7.175 1.0273 25.6702 25.6702
7.225 1.01372 26.1908 26.1908
7.275 0.995651 26.7092 26.7092
7.325 0.981124 27.2271 27.2271
7.375 0.96365 27.7428 27.7428
7.425 0.945602 28.2556 28.2556
7.475 0.937435 28.7709 28.7709
7.525 0.92437 29.2859 29.2859
7.575 0.916481 29.8032 29.8032
7.625 0.906259 30.3216 30.3216
7.675 0.90054 30.8434 30.8434
7.725 0.887955 31.3647 31.3647
7.775 0.881465 31.889 31.889
7.825 0.885248 32.4222 32.4222
7.875 0.879965 32.9591 32.9591
7.925 0.869118 33.4961 33.4961
7.975 0.87831 34.0456 34.0456
8.025 0.861989 34.5917 34.5917
8.075 0.866525 35.1476 35.1476
8.125 0.872945 35.7145 35.7145
8.175 0.869132 36.286 36.286
8.225 0.869572 36.8647 36.8647
8.275 0.866156 37.4482 37.4482
8.325 0.873414 38.0437 38.0437
8.375 0.875555 38.6479 38.6479
8.425 0.882172 39.2639 39.2639
8.475 0.886305 39.8901 39.8901
8.525 0.896878 40.5314 40.5314
8.575 0.898261 41.1812 41.1812
8.625 0.900033 41.8398 41.8398
8.675 0.906941 42.5113 42.5113
8.725 0.915236 43.1967 43.1967
8.775 0.923103 43.896 43.896
