# Radial distribution function in trajectory wolf/nacl/molten/mc/NVT/trajectory.nc
# Using selection: name Na
# r   g(r)   N_ij(r)   N_ji(r)
0.025 0 0 0
0.075 0 0 0
0.125 0 0 0
0.175 0 0 0
0.225 0 0 0
0.275 0 0 0
0.325 0 0 0
0.375 0 0 0
0.425 0 0 0
0.475 0 0 0
0.525 0 0 0
0.575 0 0 0
0.625 0 0 0
0.675 0 0 0
0.725 0 0 0
0.775 0 0 0
0.825 0 0 0
0.875 0 0 0
0.925 0 0 0
0.975 0 0 0
1.025 0 0 0
1.075 0 0 0
1.125 0 0 0
1.175 0 0 0
1.225 0 0 0
1.275 0 0 0
1.325 0 0 0
1.375 0 0 0
1.425 0 0 0
1.475 0 0 0
1.525 0 0 0
1.575 0 0 0
1.625 0 0 0
1.675 0 0 0
1.725 0 0 0
1.775 0 0 0
1.825 0 0 0
1.875 0 0 0
1.925 0 0 0
1.975 0 0 0
2.025 0 0 0
2.075 0 0 0
2.125 0.000439656 1.95312e-05 1.95312e-05
2.175 0.000839349 5.85937e-05 5.85937e-05
2.225 0.00240615 0.000175781 0.000175781
2.275 0.00268514 0.0003125 0.0003125
2.325 0.00440724 0.000546875 0.000546875
2.375 0.00422362 0.00078125 0.00078125
2.425 0.0104657 0.00138672 0.00138672
2.475 0.0194461 0.00255859 0.00255859
2.525 0.0242886 0.00408203 0.00408203
2.575 0.0320376 0.00617188 0.00617188
2.625 0.0498447 0.00955078 0.00955078
2.675 0.0652006 0.0141406 0.0141406
2.725 0.083684 0.0202539 0.0202539
2.775 0.121172 0.0294336 0.0294336
2.825 0.151251 0.0413086 0.0413086
2.875 0.184466 0.0563086 0.0563086
2.925 0.222767 0.0750586 0.0750586
2.975 0.262672 0.0979297 0.0979297
3.025 0.340845 0.128613 0.128613
3.075 0.396199 0.165469 0.165469
3.125 0.464737 0.210117 0.210117
3.175 0.52013 0.261699 0.261699
3.225 0.600906 0.323184 0.323184
3.275 0.683022 0.395254 0.395254
3.325 0.751705 0.477012 0.477012
3.375 0.824064 0.569355 0.569355
3.425 0.899017 0.673105 0.673105
3.475 0.970169 0.788359 0.788359
3.525 1.04861 0.916543 0.916543
3.575 1.09048 1.05365 1.05365
3.625 1.21591 1.21084 1.21084
3.675 1.21289 1.37199 1.37199
3.725 1.30932 1.55072 1.55072
3.775 1.33046 1.73725 1.73725
3.825 1.38926 1.93721 1.93721
3.875 1.42636 2.14791 2.14791
3.925 1.44669 2.36717 2.36717
3.975 1.46983 2.59564 2.59564
4.025 1.50364 2.83529 2.83529
4.075 1.49793 3.08 3.08
4.125 1.50711 3.33229 3.33229
4.175 1.48717 3.5873 3.5873
4.225 1.47231 3.84586 3.84586
4.275 1.47023 4.1102 4.1102
4.325 1.474 4.38145 4.38145
4.375 1.42225 4.64926 4.64926
4.425 1.41422 4.92168 4.92168
4.475 1.38587 5.19471 5.19471
4.525 1.38624 5.47395 5.47395
4.575 1.36882 5.7558 5.7558
4.625 1.30671 6.03078 6.03078
4.675 1.31397 6.3133 6.3133
4.725 1.30134 6.59912 6.59912
4.775 1.25995 6.88174 6.88174
4.825 1.26433 7.17131 7.17131
4.875 1.22483 7.45768 7.45768
4.925 1.22112 7.74906 7.74906
4.975 1.20223 8.0418 8.0418
5.025 1.20713 8.34166 8.34166
5.075 1.16658 8.63725 8.63725
5.125 1.1672 8.93885 8.93885
5.175 1.14802 9.24131 9.24131
5.225 1.13619 9.54646 9.54646
5.275 1.10341 9.84852 9.84852
5.325 1.0818 10.1503 10.1503
5.375 1.04679 10.4478 10.4478
5.425 1.03797 10.7483 10.7483
5.475 0.990753 11.0405 11.0405
5.525 0.971211 11.3322 11.3322
5.575 0.940582 11.6198 11.6198
5.625 0.912013 11.9037 11.9037
5.675 0.89626 12.1876 12.1876
5.725 0.883399 12.4725 12.4725
5.775 0.860965 12.7549 12.7549
5.825 0.83595 13.034 13.034
5.875 0.839153 13.3189 13.3189
5.925 0.814814 13.6003 13.6003
5.975 0.819474 13.8881 13.8881
6.025 0.794334 14.1718 14.1718
6.075 0.776848 14.4539 14.4539
6.125 0.780463 14.7419 14.7419
6.175 0.770478 15.0309 15.0309
6.225 0.775109 15.3264 15.3264
6.275 0.780755 15.6289 15.6289
6.325 0.756351 15.9265 15.9265
6.375 0.767103 16.2332 16.2332
6.425 0.773533 16.5474 16.5474
6.475 0.781853 16.8699 16.8699
6.525 0.783533 17.198 17.198
6.575 0.780387 17.5299 17.5299
6.625 0.796199 17.8737 17.8737
6.675 0.823839 18.2348 18.2348
6.725 0.803732 18.5924 18.5924
6.775 0.835338 18.9696 18.9696
6.825 0.84633 19.3575 19.3575
6.875 0.863551 19.759 19.759
6.925 0.881968 20.1751 20.1751
6.975 0.895404 20.6037 20.6037
7.025 0.906398 21.0437 21.0437
7.075 0.922665 21.4981 21.4981
7.125 0.945779 21.9704 21.9704
7.175 0.964266 22.4588 22.4588
7.225 0.96713 22.9554 22.9554
7.275 0.998483 23.4753 23.4753
7.325 1.00658 24.0067 24.0067
7.375 1.01583 24.5502 24.5502
7.425 1.035 25.1116 25.1116
7.475 1.05481 25.6914 25.6914
7.525 1.06942 26.2871 26.2871
7.575 1.08586 26.9001 26.9001
7.625 1.07819 27.5168 27.5168
7.675 1.08684 28.1466 28.1466
7.725 1.10076 28.7929 28.7929
7.775 1.10625 29.4507 29.4507
7.825 1.11995 30.1254 30.1254
7.875 1.11451 30.8053 30.8053
7.925 1.12344 31.4995 31.4995
7.975 1.13219 32.2079 32.2079
8.025 1.12888 32.9231 32.9231
8.075 1.13157 33.649 33.649
8.125 1.12258 34.378 34.378
8.175 1.13031 35.1212 35.1212
8.225 1.11526 35.8634 35.8634
8.275 1.1258 36.6218 36.6218
8.325 1.12524 37.389 37.389
8.375 1.12863 38.1678 38.1678
8.425 1.12249 38.9516 38.9516
8.475 1.1047 39.7322 39.7322
8.525 1.10931 40.5254 40.5254
8.575 1.10233 41.3228 41.3228
8.625 1.08649 42.1179 42.1179
