# Radial distribution function in trajectory wolf/nacl/molten/md/NVT/trajectory.nc
# Using selection: name Cl
# r   g(r)   N_ij(r)   N_ji(r)
0.025 0 0 0
0.075 0 0 0
0.125 0 0 0
0.175 0 0 0
0.225 0 0 0
0.275 0 0 0
0.325 0 0 0
0.375 0 0 0
0.425 0 0 0
0.475 0 0 0
0.525 0 0 0
0.575 0 0 0
0.625 0 0 0
0.675 0 0 0
0.725 0 0 0
0.775 0 0 0
0.825 0 0 0
0.875 0 0 0
0.925 0 0 0
0.975 0 0 0
1.025 0 0 0
1.075 0 0 0
1.125 0 0 0
1.175 0 0 0
1.225 0 0 0
1.275 0 0 0
1.325 0 0 0
1.375 0 0 0
1.425 0 0 0
1.475 0 0 0
1.525 0 0 0
1.575 0 0 0
1.625 0 0 0
1.675 0 0 0
1.725 0 0 0
1.775 0 0 0
1.825 0 0 0
1.875 0 0 0
1.925 0 0 0
1.975 0 0 0
2.025 0 0 0
2.075 0 0 0
2.125 0 0 0
2.175 0 0 0
2.225 0 0 0
2.275 0 0 0
2.325 0 0 0
2.375 0 0 0
2.425 0 0 0
2.475 0 0 0
2.525 0 0 0
2.575 0 0 0
2.625 0 0 0
2.675 0 0 0
2.725 0 0 0
2.775 0 0 0
2.825 0 0 0
2.875 0 0 0
2.925 0 0 0
2.975 0.00897258 0.00078125 0.00078125
3.025 0.021696 0.00273437 0.00273437
3.075 0.0419924 0.00664062 0.00664062
3.125 0.113846 0.0175781 0.0175781
3.175 0.143769 0.0318359 0.0318359
3.225 0.196612 0.0519531 0.0519531
3.275 0.399818 0.0941406 0.0941406
3.325 0.497425 0.148242 0.148242
3.375 0.630946 0.218945 0.218945
3.425 0.751438 0.305664 0.305664
3.475 0.922326 0.415234 0.415234
3.525 1.05612 0.544336 0.544336
3.575 1.22873 0.698828 0.698828
3.625 1.33708 0.87168 0.87168
3.675 1.4847 1.06895 1.06895
3.725 1.53096 1.27793 1.27793
3.775 1.60212 1.50254 1.50254
3.825 1.71249 1.74902 1.74902
3.875 1.7532 2.00801 2.00801
3.925 1.74103 2.27188 2.27188
3.975 1.78421 2.54922 2.54922
4.025 1.79407 2.83516 2.83516
4.075 1.83042 3.13418 3.13418
4.125 1.72915 3.42363 3.42363
4.175 1.71303 3.71738 3.71738
4.225 1.74725 4.02422 4.02422
4.275 1.62297 4.31602 4.31602
4.325 1.58778 4.6082 4.6082
4.375 1.54132 4.89844 4.89844
4.425 1.53001 5.19316 5.19316
4.475 1.49204 5.48711 5.48711
4.525 1.46507 5.78223 5.78223
4.575 1.39149 6.06875 6.06875
4.625 1.40519 6.36445 6.36445
4.675 1.29989 6.64395 6.64395
4.725 1.31877 6.93359 6.93359
4.775 1.29913 7.225 7.225
4.825 1.21436 7.50312 7.50312
4.875 1.11272 7.76328 7.76328
4.925 1.168 8.04199 8.04199
4.975 1.17111 8.32715 8.32715
5.025 1.14556 8.61172 8.61172
5.075 1.07993 8.88535 8.88535
5.125 1.08769 9.16641 9.16641
5.175 1.08456 9.45215 9.45215
5.225 1.05881 9.73652 9.73652
5.275 0.988894 10.0072 10.0072
5.325 1.01032 10.2891 10.2891
5.375 0.979927 10.5676 10.5676
5.425 0.971391 10.8488 10.8488
5.475 0.912004 11.1178 11.1178
5.525 0.917685 11.3934 11.3934
5.575 0.864889 11.6578 11.6578
5.625 0.807541 11.9092 11.9092
5.675 0.826046 12.1709 12.1709
5.725 0.81592 12.434 12.434
5.775 0.78459 12.6914 12.6914
5.825 0.810966 12.9621 12.9621
5.875 0.804123 13.2352 13.2352
5.925 0.795133 13.5098 13.5098
5.975 0.736837 13.7686 13.7686
6.025 0.785365 14.049 14.049
6.075 0.69395 14.301 14.301
6.125 0.686371 14.5543 14.5543
6.175 0.748194 14.835 14.835
6.225 0.725464 15.1115 15.1115
6.275 0.723024 15.3916 15.3916
6.325 0.749354 15.6865 15.6865
6.375 0.747904 15.9855 15.9855
6.425 0.759394 16.2939 16.2939
6.475 0.76902 16.6111 16.6111
6.525 0.780595 16.9381 16.9381
6.575 0.765553 17.2637 17.2637
6.625 0.785252 17.6027 17.6027
6.675 0.793138 17.9504 17.9504
6.725 0.795435 18.3043 18.3043
6.775 0.85943 18.6924 18.6924
6.825 0.827704 19.0717 19.0717
6.875 0.889215 19.4852 19.4852
6.925 0.854479 19.8883 19.8883
6.975 0.903892 20.3209 20.3209
7.025 0.950208 20.7822 20.7822
7.075 0.94436 21.2473 21.2473
7.125 0.962439 21.7279 21.7279
7.175 0.979152 22.2238 22.2238
7.225 1.01509 22.7451 22.7451
7.275 1.02969 23.2812 23.2812
7.325 1.06267 23.8422 23.8422
7.375 1.0578 24.4082 24.4082
7.425 1.08466 24.9965 24.9965
7.475 1.12314 25.6139 25.6139
7.525 1.06093 26.2049 26.2049
7.575 1.10025 26.826 26.826
7.625 1.13948 27.4777 27.4777
7.675 1.10851 28.1201 28.1201
7.725 1.1491 28.7947 28.7947
7.775 1.1544 29.4812 29.4812
7.825 1.17244 30.1875 30.1875
7.875 1.15056 30.8895 30.8895
7.925 1.18034 31.6187 31.6187
7.975 1.16746 32.3492 32.3492
8.025 1.14432 33.0742 33.0742
8.075 1.14907 33.8113 33.8113
8.125 1.16505 34.568 34.568
8.175 1.17134 35.3381 35.3381
8.225 1.17856 36.1225 36.1225
8.275 1.15538 36.9008 36.9008
8.325 1.12378 37.667 37.667
8.375 1.14493 38.457 38.457
8.425 1.13614 39.2504 39.2504
8.475 1.12554 40.0457 40.0457
8.525 1.08751 40.8232 40.8232
8.575 1.11861 41.6324 41.6324
8.625 1.07552 42.4195 42.4195
8.675 1.08268 43.2211 43.2211
8.725 1.08595 44.0344 44.0344
8.775 1.03416 44.8178 44.8178
8.825 1.05154 45.6234 45.6234
8.875 1.00923 46.4055 46.4055
8.925 1.02362 47.2076 47.2076
8.975 1.00806 48.0064 48.0064
9.025 1.00374 48.8107 48.8107
9.075 1.00404 49.6242 49.6242
9.125 0.975904 50.4236 50.4236
9.175 0.966004 51.2236 51.2236
