# Radial distribution function in trajectory wolf/nacl/molten/md/NVT/trajectory.nc
# Using selection: pairs: name(#1) Na and name(#2) Cl
# r   g(r)   N_ij(r)   N_ji(r)
0.025 0 0 0
0.075 0 0 0
0.125 0 0 0
0.175 0 0 0
0.225 0 0 0
0.275 0 0 0
0.325 0 0 0
0.375 0 0 0
0.425 0 0 0
0.475 0 0 0
0.525 0 0 0
0.575 0 0 0
0.625 0 0 0
0.675 0 0 0
0.725 0 0 0
0.775 0 0 0
0.825 0 0 0
0.875 0 0 0
0.925 0 0 0
0.975 0 0 0
1.025 0 0 0
1.075 0 0 0
1.125 0 0 0
1.175 0 0 0
1.225 0 0 0
1.275 0 0 0
1.325 0 0 0
1.375 0 0 0
1.425 0 0 0
1.475 0 0 0
1.525 0 0 0
1.575 0 0 0
1.625 0 0 0
1.675 0 0 0
1.725 0 0 0
1.775 0 0 0
1.825 0 0 0
1.875 0 0 0
1.925 0 0 0
1.975 0 0 0
2.025 0 0 0
2.075 0 0 0
2.125 0 0 0
2.175 0 0 0
2.225 0.00601537 0.000292969 0.000292969
2.275 0.0345232 0.00205078 0.00205078
2.325 0.185471 0.0119141 0.0119141
2.375 0.603626 0.0454102 0.0454102
2.425 1.39431 0.126074 0.126074
2.475 2.16338 0.256445 0.256445
2.525 2.92553 0.439941 0.439941
2.575 3.57654 0.673242 0.673242
2.625 3.81902 0.932129 0.932129
2.675 3.95365 1.21045 1.21045
2.725 3.90214 1.49551 1.49551
2.775 3.48306 1.75937 1.75937
2.825 3.2713 2.01621 2.01621
2.875 2.92192 2.25381 2.25381
2.925 2.59315 2.47207 2.47207
2.975 2.3553 2.67715 2.67715
3.025 2.04811 2.86152 2.86152
3.075 1.87706 3.03613 3.03613
3.125 1.56335 3.18633 3.18633
3.175 1.53617 3.33867 3.33867
3.225 1.35624 3.47744 3.47744
3.275 1.22444 3.60664 3.60664
3.325 1.10709 3.72705 3.72705
3.375 0.973435 3.83613 3.83613
3.425 0.95876 3.94678 3.94678
3.475 0.854919 4.04834 4.04834
3.525 0.828441 4.14961 4.14961
3.575 0.755722 4.24463 4.24463
3.625 0.707823 4.33613 4.33613
3.675 0.692369 4.42812 4.42812
3.725 0.650298 4.51689 4.51689
3.775 0.569101 4.59668 4.59668
3.825 0.624882 4.68662 4.68662
3.875 0.561262 4.76953 4.76953
3.925 0.561229 4.85459 4.85459
3.975 0.581752 4.94502 4.94502
4.025 0.563099 5.03477 5.03477
4.075 0.581646 5.12979 5.12979
4.125 0.573465 5.22578 5.22578
4.175 0.524503 5.31572 5.31572
4.225 0.522728 5.40752 5.40752
4.275 0.529582 5.50273 5.50273
4.325 0.542881 5.60264 5.60264
4.375 0.575144 5.71094 5.71094
4.425 0.565769 5.81992 5.81992
4.475 0.577981 5.93379 5.93379
4.525 0.565763 6.04775 6.04775
4.575 0.583343 6.16787 6.16787
4.625 0.597714 6.29365 6.29365
4.675 0.601802 6.42305 6.42305
4.725 0.62915 6.56123 6.56123
4.775 0.670464 6.71162 6.71162
4.825 0.646833 6.85977 6.85977
4.875 0.709652 7.02568 7.02568
4.925 0.724782 7.19863 7.19863
4.975 0.734351 7.37744 7.37744
5.025 0.728851 7.5585 7.5585
5.075 0.750404 7.74863 7.74863
5.125 0.772493 7.94824 7.94824
5.175 0.849933 8.17217 8.17217
5.225 0.873013 8.40664 8.40664
5.275 0.903275 8.65391 8.65391
5.325 0.888842 8.90186 8.90186
5.375 0.935604 9.16777 9.16777
5.425 0.989605 9.4543 9.4543
5.475 0.998436 9.74873 9.74873
5.525 1.03898 10.0607 10.0607
5.575 1.04247 10.3795 10.3795
5.625 1.08676 10.7178 10.7178
5.675 1.10592 11.0682 11.0682
5.725 1.15452 11.4404 11.4404
5.775 1.16409 11.8224 11.8224
5.825 1.21089 12.2266 12.2266
5.875 1.21021 12.6375 12.6375
5.925 1.23031 13.0624 13.0624
5.975 1.29405 13.5169 13.5169
6.025 1.25981 13.9668 13.9668
6.075 1.28757 14.4343 14.4343
6.125 1.27219 14.9038 14.9038
6.175 1.26782 15.3794 15.3794
6.225 1.27648 15.866 15.866
6.275 1.29101 16.3661 16.3661
6.325 1.28532 16.872 16.872
6.375 1.27378 17.3813 17.3813
6.425 1.27279 17.8981 17.8981
6.475 1.2435 18.411 18.411
6.525 1.22382 18.9236 18.9236
6.575 1.26911 19.4634 19.4634
6.625 1.21226 19.9868 19.9868
6.675 1.19082 20.5088 20.5088
6.725 1.1835 21.0354 21.0354
6.775 1.14771 21.5536 21.5536
6.825 1.13117 22.072 22.072
6.875 1.13578 22.6001 22.6001
6.925 1.07348 23.1065 23.1065
6.975 1.0812 23.624 23.624
7.025 1.0536 24.1355 24.1355
7.075 1.02071 24.6382 24.6382
7.125 1.03185 25.1535 25.1535
7.175 1.01097 25.6655 25.6655
7.225 1.00197 26.1801 26.1801
7.275 0.970987 26.6856 26.6856
7.325 0.968322 27.1968 27.1968
7.375 0.960347 27.7106 27.7106
7.425 0.935933 28.2183 28.2183
7.475 0.905333 28.7159 28.7159
7.525 0.909294 29.2225 29.2225
7.575 0.898022 29.7294 29.7294
7.625 0.906942 30.2481 30.2481
7.675 0.906286 30.7733 30.7733
7.725 0.875795 31.2875 31.2875
7.775 0.881974 31.812 31.812
7.825 0.865226 32.3332 32.3332
7.875 0.855235 32.855 32.855
7.925 0.872294 33.3939 33.3939
7.975 0.882461 33.9461 33.9461
8.025 0.859939 34.4909 34.4909
8.075 0.857239 35.0408 35.0408
8.125 0.865817 35.6031 35.6031
8.175 0.857635 36.167 36.167
8.225 0.87057 36.7464 36.7464
8.275 0.875883 37.3364 37.3364
8.325 0.880289 37.9366 37.9366
8.375 0.856506 38.5276 38.5276
8.425 0.900352 39.1563 39.1563
8.475 0.900954 39.793 39.793
8.525 0.908856 40.4428 40.4428
8.575 0.888838 41.0857 41.0857
8.625 0.918728 41.7581 41.7581
8.675 0.933362 42.4491 42.4491
8.725 0.936387 43.1504 43.1504
8.775 0.94199 43.864 43.864
