# Radial distribution function in trajectory wolf/nacl/molten/md/NVT/trajectory.nc
# Using selection: name Na
# r   g(r)   N_ij(r)   N_ji(r)
0.025 0 0 0
0.075 0 0 0
0.125 0 0 0
0.175 0 0 0
0.225 0 0 0
0.275 0 0 0
0.325 0 0 0
0.375 0 0 0
0.425 0 0 0
0.475 0 0 0
0.525 0 0 0
0.575 0 0 0
0.625 0 0 0
0.675 0 0 0
0.725 0 0 0
0.775 0 0 0
0.825 0 0 0
0.875 0 0 0
0.925 0 0 0
0.975 0 0 0
1.025 0 0 0
1.075 0 0 0
1.125 0 0 0
1.175 0 0 0
1.225 0 0 0
1.275 0 0 0
1.325 0 0 0
1.375 0 0 0
1.425 0 0 0
1.475 0 0 0
1.525 0 0 0
1.575 0 0 0
1.625 0 0 0
1.675 0 0 0
1.725 0 0 0
1.775 0 0 0
1.825 0 0 0
1.875 0 0 0
1.925 0 0 0
1.975 0 0 0
2.025 0 0 0
2.075 0 0 0
2.125 0 0 0
2.175 0 0 0
2.225 0 0 0
2.275 0.00383591 0.000195312 0.000195312
2.325 0.0036727 0.000390625 0.000390625
2.375 0 0.000390625 0.000390625
2.425 0.00675208 0.00078125 0.00078125
2.475 0.0226871 0.00214844 0.00214844
2.525 0.0186836 0.00332031 0.00332031
2.575 0.0389242 0.00585938 0.00585938
2.625 0.0518615 0.009375 0.009375
2.675 0.0610388 0.0136719 0.0136719
2.725 0.0855556 0.0199219 0.0199219
2.775 0.118594 0.0289063 0.0289063
2.825 0.154236 0.0410156 0.0410156
2.875 0.172937 0.0550781 0.0550781
2.925 0.220446 0.0736328 0.0736328
2.975 0.291609 0.0990234 0.0990234
3.025 0.38402 0.133594 0.133594
3.075 0.367434 0.167773 0.167773
3.125 0.477748 0.213672 0.213672
3.175 0.579017 0.271094 0.271094
3.225 0.673824 0.340039 0.340039
3.275 0.653406 0.408984 0.408984
3.325 0.849394 0.501367 0.501367
3.375 0.836614 0.595117 0.595117
3.425 0.918988 0.701172 0.701172
3.475 0.951919 0.814258 0.814258
3.525 1.10725 0.949609 0.949609
3.575 1.19921 1.10039 1.10039
3.625 1.23888 1.26055 1.26055
3.675 1.25538 1.42734 1.42734
3.725 1.28629 1.60293 1.60293
3.775 1.36946 1.79492 1.79492
3.825 1.41803 1.99902 1.99902
3.875 1.38828 2.2041 2.2041
3.925 1.38278 2.41367 2.41367
3.975 1.47511 2.64297 2.64297
4.025 1.41296 2.86816 2.86816
4.075 1.45501 3.10586 3.10586
4.125 1.51563 3.35957 3.35957
4.175 1.43398 3.60547 3.60547
4.225 1.43138 3.85684 3.85684
4.275 1.45133 4.11777 4.11777
4.325 1.42646 4.38027 4.38027
4.375 1.41063 4.6459 4.6459
4.425 1.34243 4.90449 4.90449
4.475 1.382 5.17676 5.17676
4.525 1.34484 5.44766 5.44766
4.575 1.32035 5.71953 5.71953
4.625 1.33558 6.00059 6.00059
4.675 1.33259 6.28711 6.28711
4.725 1.30899 6.57461 6.57461
4.775 1.27127 6.85977 6.85977
4.825 1.28429 7.15391 7.15391
4.875 1.24304 7.44453 7.44453
4.925 1.10743 7.70879 7.70879
4.975 1.14865 7.98848 7.98848
5.025 1.19903 8.28633 8.28633
5.075 1.2025 8.59102 8.59102
5.125 1.10281 8.87598 8.87598
5.175 1.13571 9.1752 9.1752
5.225 1.06536 9.46133 9.46133
5.275 1.09663 9.76152 9.76152
5.325 1.08593 10.0645 10.0645
5.375 1.04865 10.3625 10.3625
5.425 1.0375 10.6629 10.6629
5.475 0.989495 10.9547 10.9547
5.525 1.04061 11.2672 11.2672
5.575 0.944734 11.5561 11.5561
5.625 0.936798 11.8477 11.8477
5.675 0.94872 12.1482 12.1482
5.725 0.900723 12.4387 12.4387
5.775 0.894123 12.732 12.732
5.825 0.854849 13.0174 13.0174
5.875 0.844962 13.3043 13.3043
5.925 0.821713 13.5881 13.5881
5.975 0.771315 13.859 13.859
6.025 0.784818 14.1393 14.1393
6.075 0.782711 14.4234 14.4234
6.125 0.801737 14.7193 14.7193
6.175 0.765896 15.0066 15.0066
6.225 0.757229 15.2953 15.2953
6.275 0.780503 15.5977 15.5977
6.325 0.739429 15.8887 15.8887
6.375 0.810922 16.2129 16.2129
6.425 0.810854 16.5422 16.5422
6.475 0.780858 16.8643 16.8643
6.525 0.788056 17.1943 17.1943
6.575 0.83398 17.549 17.549
6.625 0.826415 17.9059 17.9059
6.675 0.832349 18.2707 18.2707
6.725 0.809044 18.6307 18.6307
6.775 0.838669 19.0094 19.0094
6.825 0.821737 19.3859 19.3859
6.875 0.882914 19.7965 19.7965
6.925 0.851995 20.1984 20.1984
6.975 0.904708 20.6314 20.6314
7.025 0.940955 21.0883 21.0883
7.075 0.930875 21.5467 21.5467
7.125 0.974953 22.0336 22.0336
7.175 0.950614 22.515 22.515
7.225 0.938644 22.9971 22.9971
7.275 1.00193 23.5188 23.5188
7.325 1.01716 24.0557 24.0557
7.375 1.00123 24.5914 24.5914
7.425 1.04217 25.1566 25.1566
7.475 1.07517 25.7477 25.7477
7.525 1.07846 26.3484 26.3484
7.575 1.05528 26.9441 26.9441
7.625 1.09099 27.5682 27.5682
7.675 1.04683 28.1748 28.1748
7.725 1.08422 28.8113 28.8113
7.775 1.10415 29.468 29.468
7.825 1.11829 30.1416 30.1416
7.875 1.13455 30.8338 30.8338
7.925 1.15189 31.5455 31.5455
7.975 1.11939 32.2459 32.2459
8.025 1.1024 32.9443 32.9443
8.075 1.09792 33.6486 33.6486
8.125 1.1452 34.3924 34.3924
8.175 1.12084 35.1293 35.1293
8.225 1.11459 35.8711 35.8711
8.275 1.1345 36.6354 36.6354
8.325 1.10573 37.3893 37.3893
8.375 1.12682 38.1668 38.1668
8.425 1.12243 38.9506 38.9506
8.475 1.11393 39.7377 39.7377
8.525 1.09817 40.5229 40.5229
8.575 1.06893 41.2961 41.2961
8.625 1.099 42.1004 42.1004
8.675 1.03783 42.8687 42.8687
8.725 1.07109 43.6709 43.6709
8.775 1.04706 44.4641 44.4641
