# Radial distribution function in trajectory ewald/nacl/crystal/md/NVT/trajectory.nc
# Using selection: name Cl
# r   g(r)   N_ij(r)   N_ji(r)
0.025 0 0 0
0.075 0 0 0
0.125 0 0 0
0.175 0 0 0
0.225 0 0 0
0.275 0 0 0
0.325 0 0 0
0.375 0 0 0
0.425 0 0 0
0.475 0 0 0
0.525 0 0 0
0.575 0 0 0
0.625 0 0 0
0.675 0 0 0
0.725 0 0 0
0.775 0 0 0
0.825 0 0 0
0.875 0 0 0
0.925 0 0 0
0.975 0 0 0
1.025 0 0 0
1.075 0 0 0
1.125 0 0 0
1.175 0 0 0
1.225 0 0 0
1.275 0 0 0
1.325 0 0 0
1.375 0 0 0
1.425 0 0 0
1.475 0 0 0
1.525 0 0 0
1.575 0 0 0
1.625 0 0 0
1.675 0 0 0
1.725 0 0 0
1.775 0 0 0
1.825 0 0 0
1.875 0 0 0
1.925 0 0 0
1.975 0 0 0
2.025 0 0 0
2.075 0 0 0
2.125 0 0 0
2.175 0 0 0
2.225 0 0 0
2.275 0 0 0
2.325 0 0 0
2.375 0 0 0
2.425 0 0 0
2.475 0 0 0
2.525 0 0 0
2.575 0 0 0
2.625 0 0 0
2.675 0 0 0
2.725 0 0 0
2.775 0 0 0
2.825 0 0 0
2.875 0 0 0
2.925 0 0 0
2.975 0 0 0
3.025 0 0 0
3.075 0 0 0
3.125 0 0 0
3.175 0 0 0
3.225 0 0 0
3.275 0 0 0
3.325 0 0 0
3.375 0 0 0
3.425 4.7534e-05 7.81055e-06 7.81055e-06
3.475 0.000288599 5.66265e-05 5.66265e-05
3.525 0.00199695 0.000404196 0.000404196
3.575 0.0137867 0.00287233 0.00287233
3.625 0.0632472 0.0145139 0.0145139
3.675 0.246358 0.0611195 0.0611195
3.725 0.752298 0.207337 0.207337
3.775 1.84572 0.575768 0.575768
3.825 3.67842 1.32961 1.32961
3.875 6.00808 2.59329 2.59329
3.925 8.12328 4.34623 4.34623
3.975 9.11582 6.36379 6.36379
4.025 8.52957 8.29938 8.29938
4.075 6.69922 9.85763 9.85763
4.125 4.42974 10.9134 10.9134
4.175 2.48152 11.5193 11.5193
4.225 1.18013 11.8144 11.8144
4.275 0.480293 11.9373 11.9373
4.325 0.169101 11.9817 11.9817
4.375 0.0507405 11.9953 11.9953
4.425 0.013427 11.9989 11.9989
4.475 0.00304897 11.9998 11.9998
4.525 0.000605924 12 12
4.575 9.9902e-05 12 12
4.625 1.30338e-05 12 12
4.675 0 12 12
4.725 0 12 12
4.775 0 12 12
4.825 0 12 12
4.875 0 12 12
4.925 0 12 12
4.975 0 12 12
5.025 0 12 12
5.075 0 12 12
5.125 4.24588e-05 12 12
5.175 0.000385191 12.0002 12.0002
5.225 0.00286454 12.0013 12.0013
5.275 0.0160263 12.0075 12.0075
5.325 0.0659503 12.0337 12.0337
5.375 0.20074 12.1149 12.1149
5.425 0.487196 12.3158 12.3158
5.475 0.944566 12.7124 12.7124
5.525 1.49868 13.3532 13.3532
5.575 1.97535 14.2132 14.2132
5.625 2.18545 15.1818 15.1818
5.675 2.04733 16.1054 16.1054
5.725 1.64099 16.8587 16.8587
5.775 1.12851 17.3859 17.3859
5.825 0.672949 17.7058 17.7058
5.875 0.34941 17.8747 17.8747
5.925 0.158947 17.9528 17.9528
5.975 0.0634048 17.9846 17.9846
6.025 0.0214551 17.9955 17.9955
6.075 0.00651571 17.9988 17.9988
6.125 0.00165725 17.9997 17.9997
6.175 0.000449673 17.9999 17.9999
6.225 0.000115116 18 18
6.275 9.55876e-05 18.0001 18.0001
6.325 0.000421628 18.0003 18.0003
6.375 0.00195515 18.0014 18.0014
6.425 0.00820588 18.0062 18.0062
6.475 0.0283452 18.0228 18.0228
6.525 0.0903251 18.0767 18.0767
6.575 0.247271 18.2264 18.2264
6.625 0.587384 18.5875 18.5875
6.675 1.20344 19.3386 19.3386
6.725 2.15038 20.7008 20.7008
6.775 3.33839 22.8472 22.8472
6.825 4.49308 25.7788 25.7788
6.875 5.24237 29.2496 29.2496
6.925 5.32475 32.8265 32.8265
6.975 4.68784 36.0211 36.0211
7.025 3.58571 38.4998 38.4998
7.075 2.38174 40.1697 40.1697
7.125 1.3798 41.1509 41.1509
7.175 0.694561 41.6517 41.6517
7.225 0.302368 41.8728 41.8728
7.275 0.116734 41.9594 41.9594
7.325 0.038919 41.9886 41.9886
7.375 0.0114231 41.9973 41.9973
7.425 0.00319104 41.9998 41.9998
7.475 0.00201583 42.0014 42.0014
7.525 0.00599694 42.0061 42.0061
7.575 0.020854 42.0229 42.0229
7.625 0.0607492 42.0723 42.0723
7.675 0.155679 42.2008 42.2008
7.725 0.345383 42.4895 42.4895
7.775 0.656865 43.0457 43.0457
7.825 1.08291 43.9745 43.9745
7.875 1.53863 45.3111 45.3111
7.925 1.89295 46.9764 46.9764
7.975 2.02311 48.7787 48.7787
8.025 1.87855 50.4733 50.4733
8.075 1.51182 51.8542 51.8542
8.125 1.0559 52.8305 52.8305
8.175 0.64333 53.4328 53.4328
8.225 0.340973 53.7559 53.7559
8.275 0.157575 53.907 53.907
8.325 0.063735 53.9689 53.9689
8.375 0.0231021 53.9916 53.9916
8.425 0.00950148 54.001 54.001
8.475 0.0127337 54.0139 54.0139
8.525 0.0384085 54.053 54.053
8.575 0.111552 54.1679 54.1679
8.625 0.280819 54.4605 54.4605
8.675 0.612575 55.1062 55.1062
8.725 1.14698 56.3293 56.3293
8.775 1.85069 58.3254 58.3254
8.825 2.58217 61.1423 61.1423
8.875 3.11148 64.5752 64.5752
8.925 3.24506 68.1959 68.1959
8.975 2.93557 71.5081 71.5081
9.025 2.30205 74.1345 74.1345
9.075 1.56915 75.9447 75.9447
9.125 0.928777 77.0279 77.0279
9.175 0.479455 77.5933 77.5933
9.225 0.216047 77.8508 77.8508
9.275 0.0853948 77.9537 77.9537
9.325 0.0331975 77.9941 77.9941
9.375 0.0238434 78.0235 78.0235
9.425 0.0422499 78.0761 78.0761
9.475 0.0918944 78.1916 78.1916
