# Radial distribution function in trajectory ewald/nacl/crystal/md/NVT/trajectory.nc
# Using selection: pairs: name(#1) Na and name(#2) Cl
# r   g(r)   N_ij(r)   N_ji(r)
0.025 0 0 0
0.075 0 0 0
0.125 0 0 0
0.175 0 0 0
0.225 0 0 0
0.275 0 0 0
0.325 0 0 0
0.375 0 0 0
0.425 0 0 0
0.475 0 0 0
0.525 0 0 0
0.575 0 0 0
0.625 0 0 0
0.675 0 0 0
0.725 0 0 0
0.775 0 0 0
0.825 0 0 0
0.875 0 0 0
0.925 0 0 0
0.975 0 0 0
1.025 0 0 0
1.075 0 0 0
1.125 0 0 0
1.175 0 0 0
1.225 0 0 0
1.275 0 0 0
1.325 0 0 0
1.375 0 0 0
1.425 0 0 0
1.475 0 0 0
1.525 0 0 0
1.575 0 0 0
1.625 0 0 0
1.675 0 0 0
1.725 0 0 0
1.775 0 0 0
1.825 0 0 0
1.875 0 0 0
1.925 0 0 0
1.975 0 0 0
2.025 0 0 0
2.075 0 0 0
2.125 0 0 0
2.175 0 0 0
2.225 0 0 0
2.275 0 0 0
2.325 0 0 0
2.375 0 0 0
2.425 2.37051e-05 1.95264e-06 1.95264e-06
2.475 0.00244638 0.000211861 0.000211861
2.525 0.0494141 0.00462482 0.00462482
2.575 0.422715 0.0438855 0.0438855
2.625 1.821 0.219647 0.219647
2.675 4.68587 0.689319 0.689319
2.725 7.99792 1.52121 1.52121
2.775 10.04 2.60418 2.60418
2.825 9.77002 3.69634 3.69634
2.875 7.77643 4.5967 4.5967
2.925 5.27602 5.22898 5.22898
2.975 3.10945 5.61447 5.61447
3.025 1.63073 5.8235 5.8235
3.075 0.77589 5.92626 5.92626
3.125 0.331464 5.9716 5.9716
3.175 0.128737 5.98978 5.98978
3.225 0.0467769 5.99659 5.99659
3.275 0.0157978 5.99897 5.99897
3.325 0.00484817 5.99972 5.99972
3.375 0.00127277 5.99992 5.99992
3.425 0.000386213 5.99999 5.99999
3.475 5.77199e-05 6 6
3.525 2.8047e-05 6 6
3.575 0 6 6
3.625 0 6 6
3.675 0 6 6
3.725 0 6 6
3.775 0 6 6
3.825 0 6 6
3.875 0 6 6
3.925 0 6 6
3.975 0 6 6
4.025 0 6 6
4.075 0 6 6
4.125 1.22888e-05 6 6
4.175 2.39924e-05 6.00001 6.00001
4.225 6.24743e-05 6.00002 6.00002
4.275 0.000381384 6.00012 6.00012
4.325 0.00134887 6.00048 6.00048
4.375 0.00497427 6.00181 6.00181
4.425 0.0161146 6.00623 6.00623
4.475 0.0481396 6.01973 6.01973
4.525 0.128269 6.05652 6.05652
4.575 0.299027 6.14419 6.14419
4.625 0.619152 6.3297 6.3297
4.675 1.1277 6.67494 6.67494
4.725 1.8199 7.24406 7.24406
4.775 2.5697 8.06477 8.06477
4.825 3.20044 9.10843 9.10843
4.875 3.46924 10.2633 10.2633
4.925 3.30681 11.3868 11.3868
4.975 2.75907 12.3434 12.3434
5.025 2.0113 13.0548 13.0548
5.075 1.28102 13.5169 13.5169
5.125 0.714908 13.7799 13.7799
5.175 0.349413 13.911 13.911
5.225 0.149334 13.9681 13.9681
5.275 0.0560346 13.99 13.99
5.325 0.0180079 13.9971 13.9971
5.375 0.00539207 13.9993 13.9993
5.425 0.00133335 13.9998 13.9998
5.475 0.000288329 14 14
5.525 6.85002e-05 14 14
5.575 6.7277e-06 14 14
5.625 2.20288e-05 14 14
5.675 6.70911e-05 14 14
5.725 0.000357267 14.0002 14.0002
5.775 0.00189765 14.0011 14.0011
5.825 0.0082353 14.005 14.005
5.875 0.0319366 14.0204 14.0204
5.925 0.105106 14.0721 14.0721
5.975 0.297731 14.221 14.221
6.025 0.715958 14.5851 14.5851
6.075 1.48531 15.3529 15.3529
6.125 2.66167 16.7516 16.7516
6.175 4.10425 18.9437 18.9437
6.225 5.48173 21.9192 21.9192
6.275 6.32574 25.4081 25.4081
6.325 6.35008 28.9665 28.9665
6.375 5.53549 32.1177 32.1177
6.425 4.19508 34.5434 34.5434
6.475 2.7836 36.1782 36.1782
6.525 1.61374 37.1405 37.1405
6.575 0.821892 37.6382 37.6382
6.625 0.367174 37.864 37.864
6.675 0.144621 37.9542 37.9542
6.725 0.0504471 37.9862 37.9862
6.775 0.015794 37.9963 37.9963
6.825 0.00420471 37.9991 37.9991
6.875 0.00107945 37.9998 37.9998
6.925 0.000220922 37.9999 37.9999
6.975 6.16049e-05 38 38
7.025 1.27112e-05 38 38
7.075 1.39246e-06 38 38
7.125 0 38 38
7.175 0 38 38
7.225 0 38 38
7.275 0 38 38
7.325 0 38 38
7.375 0 38 38
7.425 0 38 38
7.475 0 38 38
7.525 0 38 38
7.575 0 38 38
7.625 0 38 38
7.675 1.18326e-06 38 38
7.725 1.16799e-05 38 38
7.775 3.34374e-05 38 38
7.825 0.000179855 38.0002 38.0002
7.875 0.000769883 38.0009 38.0009
7.925 0.00309628 38.0036 38.0036
7.975 0.011472 38.0138 38.0138
8.025 0.0354419 38.0458 38.0458
8.075 0.100287 38.1374 38.1374
8.125 0.248906 38.3675 38.3675
8.175 0.549105 38.8816 38.8816
8.225 1.06408 39.8899 39.8899
8.275 1.81602 41.6318 41.6318
8.325 2.7236 44.2758 44.2758
8.375 3.5822 47.7953 47.7953
8.425 4.15491 51.9263 51.9263
8.475 4.2349 56.187 56.187
8.525 3.79707 60.0524 60.0524
8.575 3.00159 63.1439 63.1439
8.625 2.08769 65.3193 65.3193
8.675 1.28097 66.6696 66.6696
8.725 0.691897 67.4074 67.4074
8.775 0.331457 67.7649 67.7649
8.825 0.141377 67.9191 67.9191
8.875 0.0602074 67.9856 67.9856
8.925 0.0433818 68.034 68.034
8.975 0.0777359 68.1217 68.1217
9.025 0.181917 68.3292 68.3292
9.075 0.392793 68.7824 68.7824
9.125 0.751116 69.6584 69.6584
9.175 1.2623 71.1468 71.1468
9.225 1.86278 73.3673 73.3673
9.275 2.41836 76.2815 76.2815
9.325 2.75701 79.6395 79.6395
9.375 2.76171 83.0395 83.0395
