# Radial distribution function in trajectory ewald/nacl/crystal/md/NVT/trajectory.nc
# Using selection: name Na
# r   g(r)   N_ij(r)   N_ji(r)
0.025 0 0 0
0.075 0 0 0
0.125 0 0 0
0.175 0 0 0
0.225 0 0 0
0.275 0 0 0
0.325 0 0 0
0.375 0 0 0
0.425 0 0 0
0.475 0 0 0
0.525 0 0 0
0.575 0 0 0
0.625 0 0 0
0.675 0 0 0
0.725 0 0 0
0.775 0 0 0
0.825 0 0 0
0.875 0 0 0
0.925 0 0 0
0.975 0 0 0
1.025 0 0 0
1.075 0 0 0
1.125 0 0 0
1.175 0 0 0
1.225 0 0 0
1.275 0 0 0
1.325 0 0 0
1.375 0 0 0
1.425 0 0 0
1.475 0 0 0
1.525 0 0 0
1.575 0 0 0
1.625 0 0 0
1.675 0 0 0
1.725 0 0 0
1.775 0 0 0
1.825 0 0 0
1.875 0 0 0
1.925 0 0 0
1.975 0 0 0
2.025 0 0 0
2.075 0 0 0
2.125 0 0 0
2.175 0 0 0
2.225 0 0 0
2.275 0 0 0
2.325 0 0 0
2.375 0 0 0
2.425 0 0 0
2.475 0 0 0
2.525 0 0 0
2.575 0 0 0
2.625 0 0 0
2.675 0 0 0
2.725 0 0 0
2.775 0 0 0
2.825 0 0 0
2.875 0 0 0
2.925 0 0 0
2.975 0 0 0
3.025 0 0 0
3.075 0 0 0
3.125 0 0 0
3.175 0 0 0
3.225 0 0 0
3.275 0 0 0
3.325 1.2609e-05 1.95264e-06 1.95264e-06
3.375 3.67146e-05 7.81055e-06 7.81055e-06
3.425 0.000499107 8.98213e-05 8.98213e-05
3.475 0.00300143 0.000597507 0.000597507
3.525 0.0118022 0.00265168 0.00265168
3.575 0.0472936 0.0111183 0.0111183
3.625 0.157662 0.0401384 0.0401384
3.675 0.439487 0.12328 0.12328
3.725 1.07167 0.331571 0.331571
3.775 2.20565 0.77185 0.77185
3.825 3.8972 1.57053 1.57053
3.875 5.85062 2.80109 2.80109
3.925 7.55582 4.43157 4.43157
3.975 8.37982 6.28624 6.28624
4.025 7.93433 8.08676 8.08676
4.075 6.4741 9.59264 9.59264
4.125 4.56033 10.6796 10.6796
4.175 2.76991 11.3559 11.3559
4.225 1.46064 11.7211 11.7211
4.275 0.673906 11.8936 11.8936
4.325 0.267852 11.9638 11.9638
4.375 0.0940961 11.989 11.989
4.425 0.0293957 11.9971 11.9971
4.475 0.00787999 11.9993 11.9993
4.525 0.00189947 11.9998 11.9998
4.575 0.000452889 12 12
4.625 0.000130338 12 12
4.675 1.91348e-05 12 12
4.725 0 12 12
4.775 0 12 12
4.825 0 12 12
4.875 0 12 12
4.925 0 12 12
4.975 0 12 12
5.025 0 12 12
5.075 1.08249e-05 12 12
5.125 9.55322e-05 12 12
5.175 0.00101503 12.0004 12.0004
5.225 0.0061529 12.0028 12.0028
5.275 0.0279797 12.0137 12.0137
5.325 0.0963026 12.0519 12.0519
5.375 0.256561 12.1558 12.1558
5.425 0.560907 12.387 12.387
5.475 0.998149 12.8061 12.8061
5.525 1.49515 13.4454 13.4454
5.575 1.88811 14.2674 14.2674
5.625 2.04276 15.1727 15.1727
5.675 1.91849 16.0382 16.0382
5.725 1.57194 16.7599 16.7599
5.775 1.13524 17.2902 17.2902
5.825 0.718868 17.6319 17.6319
5.875 0.403231 17.8268 17.8268
5.925 0.204545 17.9274 17.9274
5.975 0.090523 17.9727 17.9727
6.025 0.0350224 17.9905 17.9905
6.075 0.0125026 17.997 17.997
6.125 0.00428432 17.9992 17.9992
6.175 0.00116622 17.9998 17.9998
6.225 0.000330959 18 18
6.275 0.000400052 18.0002 18.0002
6.325 0.00152622 18.0011 18.0011
6.375 0.0055293 18.0042 18.0042
6.425 0.0186371 18.015 18.015
6.475 0.0566605 18.0483 18.0483
6.525 0.149297 18.1373 18.1373
6.575 0.351518 18.3502 18.3502
6.625 0.738432 18.8042 18.8042
6.675 1.37578 19.6628 19.6628
6.725 2.26369 21.0968 21.0968
6.775 3.31282 23.2268 23.2268
6.825 4.28804 26.0246 26.0246
6.875 4.89427 29.2649 29.2649
6.925 4.9642 32.5996 32.5996
6.975 4.44671 35.6298 35.6298
7.025 3.52166 38.0643 38.0643
7.075 2.47051 39.7965 39.7965
7.125 1.53229 40.8861 40.8861
7.175 0.841512 41.4929 41.4929
7.225 0.41029 41.7929 41.7929
7.275 0.176845 41.924 41.924
7.325 0.0681862 41.9752 41.9752
7.375 0.0232024 41.9929 41.9929
7.425 0.00811413 41.9992 41.9992
7.475 0.00578055 42.0037 42.0037
7.525 0.0133159 42.0143 42.0143
7.575 0.0365067 42.0436 42.0436
7.625 0.0922447 42.1187 42.1187
7.675 0.206918 42.2895 42.2895
7.725 0.409342 42.6316 42.6316
7.775 0.711548 43.2341 43.2341
7.825 1.09291 44.1715 44.1715
7.875 1.48756 45.4637 45.4637
7.925 1.78143 47.0309 47.0309
7.975 1.88573 48.7108 48.7108
8.025 1.76539 50.3034 50.3034
8.075 1.46613 51.6425 51.6425
8.125 1.07017 52.6321 52.6321
8.175 0.69608 53.2837 53.2837
8.225 0.398081 53.6609 53.6609
8.275 0.203286 53.8559 53.8559
8.325 0.0922887 53.9455 53.9455
8.375 0.0385048 53.9833 53.9833
8.425 0.0193938 54.0026 54.0026
8.475 0.0261254 54.0289 54.0289
8.525 0.064704 54.0948 54.0948
8.575 0.162587 54.2622 54.2622
8.625 0.364738 54.6423 54.6423
8.675 0.710726 55.3915 55.3915
8.725 1.23012 56.7032 56.7032
8.775 1.86168 58.7111 58.7111
8.825 2.48478 61.4218 61.4218
8.875 2.92571 64.6497 64.6497
8.925 3.03218 68.0329 68.0329
8.975 2.77293 71.1616 71.1616
9.025 2.24442 73.7223 73.7223
9.075 1.60414 75.5728 75.5728
9.125 1.01474 76.7563 76.7563
9.175 0.567238 77.4252 77.4252
9.225 0.283037 77.7626 77.7626
9.275 0.127938 77.9167 77.9167
9.325 0.0578279 77.9872 77.9872
9.375 0.0404004 78.0369 78.0369
