# Radial distribution function in trajectory ewald/nacl/molten/md/NVT/trajectory.nc
# Using selection: name Cl
# r   g(r)   N_ij(r)   N_ji(r)
0.025 0 0 0
0.075 0 0 0
0.125 0 0 0
0.175 0 0 0
0.225 0 0 0
0.275 0 0 0
0.325 0 0 0
0.375 0 0 0
0.425 0 0 0
0.475 0 0 0
0.525 0 0 0
0.575 0 0 0
0.625 0 0 0
0.675 0 0 0
0.725 0 0 0
0.775 0 0 0
0.825 0 0 0
0.875 0 0 0
0.925 0 0 0
0.975 0 0 0
1.025 0 0 0
1.075 0 0 0
1.125 0 0 0
1.175 0 0 0
1.225 0 0 0
1.275 0 0 0
1.325 0 0 0
1.375 0 0 0
1.425 0 0 0
1.475 0 0 0
1.525 0 0 0
1.575 0 0 0
1.625 0 0 0
1.675 0 0 0
1.725 0 0 0
1.775 0 0 0
1.825 0 0 0
1.875 0 0 0
1.925 0 0 0
1.975 0 0 0
2.025 0 0 0
2.075 0 0 0
2.125 0 0 0
2.175 0 0 0
2.225 0 0 0
2.275 0 0 0
2.325 0 0 0
2.375 0 0 0
2.425 0 0 0
2.475 0 0 0
2.525 0 0 0
2.575 0 0 0
2.625 0 0 0
2.675 0 0 0
2.725 0 0 0
2.775 0 0 0
2.825 4.97411e-05 3.90527e-06 3.90527e-06
2.875 0.000336182 3.12422e-05 3.12422e-05
2.925 0.0025983 0.000249938 0.000249938
2.975 0.00735568 0.000890402 0.000890402
3.025 0.0213436 0.0028118 0.0028118
3.075 0.0479853 0.00727552 0.00727552
3.125 0.0900381 0.0159257 0.0159257
3.175 0.15472 0.0312695 0.0312695
3.225 0.247573 0.0566011 0.0566011
3.275 0.356341 0.0942011 0.0942011
3.325 0.484734 0.146922 0.146922
3.375 0.627966 0.217291 0.217291
3.425 0.775446 0.306781 0.306781
3.475 0.929328 0.417183 0.417183
3.525 1.07271 0.548312 0.548312
3.575 1.21497 0.701075 0.701075
3.625 1.32879 0.872854 0.872854
3.675 1.44469 1.0648 1.0648
3.725 1.54346 1.2755 1.2755
3.775 1.60956 1.50115 1.50115
3.825 1.67722 1.74256 1.74256
3.875 1.72911 1.99798 1.99798
3.925 1.74882 2.26303 2.26303
3.975 1.77168 2.53843 2.53843
4.025 1.76553 2.81981 2.81981
4.075 1.77187 3.10927 3.10927
4.125 1.75146 3.40246 3.40246
4.175 1.71756 3.69699 3.69699
4.225 1.7012 3.99574 3.99574
4.275 1.66128 4.29442 4.29442
4.325 1.62233 4.59297 4.59297
4.375 1.5809 4.89065 4.89065
4.425 1.54374 5.18803 5.18803
4.475 1.49961 5.48346 5.48346
4.525 1.45737 5.77703 5.77703
4.575 1.41225 6.06782 6.06782
4.625 1.37796 6.3578 6.3578
4.675 1.33875 6.64565 6.64565
4.725 1.30462 6.93219 6.93219
4.775 1.26538 7.21602 7.21602
4.825 1.23068 7.49789 7.49789
4.875 1.20915 7.78059 7.78059
4.925 1.16992 8.05975 8.05975
4.975 1.15719 8.34152 8.34152
5.025 1.12597 8.62122 8.62122
5.075 1.10704 8.90172 8.90172
5.125 1.0881 9.18289 9.18289
5.175 1.06626 9.46381 9.46381
5.225 1.0502 9.74587 9.74587
5.275 1.01691 10.0242 10.0242
5.325 1.00179 10.3037 10.3037
5.375 0.972366 10.5801 10.5801
5.425 0.953675 10.8562 10.8562
5.475 0.93074 11.1307 11.1307
5.525 0.905641 11.4026 11.4026
5.575 0.88256 11.6725 11.6725
5.625 0.863169 11.9412 11.9412
5.675 0.837506 12.2065 12.2065
5.725 0.822759 12.4718 12.4718
5.775 0.807753 12.7368 12.7368
5.825 0.786358 12.9993 12.9993
5.875 0.775739 13.2627 13.2627
5.925 0.761514 13.5257 13.5257
5.975 0.750402 13.7893 13.7893
6.025 0.745019 14.0553 14.0553
6.075 0.731822 14.321 14.321
6.125 0.734149 14.592 14.592
6.175 0.730387 14.866 14.866
6.225 0.72874 15.1438 15.1438
6.275 0.725349 15.4248 15.4248
6.325 0.731752 15.7128 15.7128
6.375 0.735024 16.0066 16.0066
6.425 0.74052 16.3074 16.3074
6.475 0.750582 16.617 16.617
6.525 0.758512 16.9347 16.9347
6.575 0.769636 17.262 17.262
6.625 0.783301 17.6002 17.6002
6.675 0.797479 17.9498 17.9498
6.725 0.812905 18.3114 18.3114
6.775 0.8293 18.6859 18.6859
6.825 0.844972 19.0731 19.0731
6.875 0.865825 19.4757 19.4757
6.925 0.88133 19.8915 19.8915
6.975 0.902728 20.3236 20.3236
7.025 0.919195 20.7699 20.7699
7.075 0.943383 21.2344 21.2344
7.125 0.961807 21.7148 21.7148
7.175 0.985508 22.2139 22.2139
7.225 1.00304 22.729 22.729
7.275 1.01763 23.2588 23.2588
7.325 1.04375 23.8098 23.8098
7.375 1.05703 24.3754 24.3754
7.425 1.07774 24.9599 24.9599
7.475 1.09031 25.5592 25.5592
7.525 1.10392 26.1742 26.1742
7.575 1.11901 26.8059 26.8059
7.625 1.13165 27.4532 27.4532
7.675 1.13743 28.1123 28.1123
7.725 1.14706 28.7857 28.7857
7.775 1.15633 29.4734 29.4734
7.825 1.16023 30.1723 30.1723
7.875 1.16451 30.8828 30.8828
7.925 1.16803 31.6044 31.6044
7.975 1.16629 32.3342 32.3342
8.025 1.16469 33.0721 33.0721
8.075 1.17149 33.8236 33.8236
8.125 1.16115 34.5777 34.5777
8.175 1.15853 35.3394 35.3394
8.225 1.15221 36.1062 36.1062
8.275 1.14792 36.8795 36.8795
8.325 1.14114 37.6576 37.6576
8.375 1.13436 38.4403 38.4403
8.425 1.12339 39.2248 39.2248
8.475 1.11423 40.0121 40.0121
8.525 1.10399 40.8014 40.8014
8.575 1.10018 41.5973 41.5973
8.625 1.08586 42.3919 42.3919
8.675 1.07594 43.1885 43.1885
8.725 1.06777 43.9882 43.9882
8.775 1.05465 44.7871 44.7871
8.825 1.04149 45.5851 45.5851
8.875 1.03676 46.3884 46.3884
8.925 1.02379 47.1907 47.1907
8.975 1.01504 47.9951 47.9951
9.025 1.00376 48.7994 48.7994
