# Radial distribution function in trajectory ewald/nacl/molten/md/NVT/trajectory.nc
# Using selection: pairs: name(#1) Na and name(#2) Cl
# r   g(r)   N_ij(r)   N_ji(r)
0.025 0 0 0
0.075 0 0 0
0.125 0 0 0
0.175 0 0 0
0.225 0 0 0
0.275 0 0 0
0.325 0 0 0
0.375 0 0 0
0.425 0 0 0
0.475 0 0 0
0.525 0 0 0
0.575 0 0 0
0.625 0 0 0
0.675 0 0 0
0.725 0 0 0
0.775 0 0 0
0.825 0 0 0
0.875 0 0 0
0.925 0 0 0
0.975 0 0 0
1.025 0 0 0
1.075 0 0 0
1.125 0 0 0
1.175 0 0 0
1.225 0 0 0
1.275 0 0 0
1.325 0 0 0
1.375 0 0 0
1.425 0 0 0
1.475 0 0 0
1.525 0 0 0
1.575 0 0 0
1.625 0 0 0
1.675 0 0 0
1.725 0 0 0
1.775 0 0 0
1.825 0 0 0
1.875 0 0 0
1.925 0 0 0
1.975 0 0 0
2.025 0 0 0
2.075 0 0 0
2.125 0 0 0
2.175 0.000314677 1.46448e-05 1.46448e-05
2.225 0.00493137 0.000254819 0.000254819
2.275 0.0434692 0.00246813 0.00246813
2.325 0.20338 0.0132838 0.0132838
2.375 0.599939 0.0465753 0.0465753
2.425 1.28084 0.120675 0.120675
2.475 2.12016 0.248442 0.248442
2.525 2.93087 0.432273 0.432273
2.575 3.53215 0.662678 0.662678
2.625 3.88186 0.925824 0.925824
2.675 3.96064 1.20464 1.20464
2.725 3.86354 1.48688 1.48688
2.775 3.60744 1.76017 1.76017
2.825 3.30315 2.0195 2.0195
2.875 2.98613 2.26232 2.26232
2.925 2.66402 2.48655 2.48655
2.975 2.35951 2.69199 2.69199
3.025 2.10294 2.8813 2.8813
3.075 1.87194 3.05544 3.05544
3.125 1.67123 3.216 3.216
3.175 1.4902 3.36378 3.36378
3.225 1.33999 3.50089 3.50089
3.275 1.22104 3.62973 3.62973
3.325 1.10496 3.74991 3.74991
3.375 1.01302 3.86343 3.86343
3.425 0.930349 3.97079 3.97079
3.475 0.870698 4.07423 4.07423
3.525 0.807484 4.17294 4.17294
3.575 0.762335 4.26879 4.26879
3.625 0.719858 4.36185 4.36185
3.675 0.683687 4.45269 4.45269
3.725 0.652918 4.54181 4.54181
3.775 0.627721 4.62982 4.62982
3.825 0.608853 4.71745 4.71745
3.875 0.588794 4.80443 4.80443
3.925 0.574932 4.89156 4.89156
3.975 0.562745 4.97904 4.97904
4.025 0.551424 5.06692 5.06692
4.075 0.54471 5.15591 5.15591
4.125 0.542503 5.24672 5.24672
4.175 0.54484 5.34015 5.34015
4.225 0.538375 5.4347 5.4347
4.275 0.538736 5.53156 5.53156
4.325 0.541727 5.63125 5.63125
4.375 0.546878 5.73422 5.73422
4.425 0.553392 5.84082 5.84082
4.475 0.557959 5.95075 5.95075
4.525 0.568763 6.06532 6.06532
4.575 0.578039 6.18434 6.18434
4.625 0.590128 6.30853 6.30853
4.675 0.602147 6.43799 6.43799
4.725 0.620956 6.57438 6.57438
4.775 0.633517 6.71648 6.71648
4.825 0.651919 6.86579 6.86579
4.875 0.670113 7.02247 7.02247
4.925 0.690036 7.18712 7.18712
4.975 0.711264 7.36031 7.36031
5.025 0.735095 7.54292 7.54292
5.075 0.762581 7.73614 7.73614
5.125 0.785108 7.93901 7.93901
5.175 0.816173 8.15404 8.15404
5.225 0.84387 8.38068 8.38068
5.275 0.874631 8.62011 8.62011
5.325 0.905532 8.87271 8.87271
5.375 0.934305 9.13826 9.13826
5.425 0.972123 9.41972 9.41972
5.475 1.00032 9.71471 9.71471
5.525 1.03264 10.0248 10.0248
5.575 1.06313 10.3499 10.3499
5.625 1.09581 10.691 10.691
5.675 1.12706 11.0481 11.0481
5.725 1.1561 11.4209 11.4209
5.775 1.18018 11.8081 11.8081
5.825 1.20879 12.2116 12.2116
5.875 1.22747 12.6284 12.6284
5.925 1.2456 13.0585 13.0585
5.975 1.25993 13.5011 13.5011
6.025 1.2758 13.9567 13.9567
6.075 1.28474 14.4231 14.4231
6.125 1.28966 14.8991 14.8991
6.175 1.29767 15.3859 15.3859
6.225 1.29694 15.8803 15.8803
6.275 1.29239 16.3809 16.3809
6.325 1.28685 16.8874 16.8874
6.375 1.28025 17.3993 17.3993
6.425 1.27085 17.9154 17.9154
6.475 1.2585 18.4345 18.4345
6.525 1.24361 18.9553 18.9553
6.575 1.23093 19.4788 19.4788
6.625 1.21003 20.0013 20.0013
6.675 1.19216 20.5239 20.5239
6.725 1.17299 21.0458 21.0458
6.775 1.1554 21.5675 21.5675
6.825 1.13798 22.089 22.089
6.875 1.11589 22.6079 22.6079
6.925 1.09834 23.126 23.126
6.975 1.07781 23.6419 23.6419
7.025 1.06253 24.1578 24.1578
7.075 1.04046 24.6701 24.6701
7.125 1.02711 25.1831 25.1831
7.175 1.00974 25.6945 25.6945
7.225 0.991419 26.2036 26.2036
7.275 0.979012 26.7134 26.7134
7.325 0.964708 27.2226 27.2226
7.375 0.948106 27.7299 27.7299
7.425 0.938059 28.2387 28.2387
7.475 0.92858 28.7491 28.7491
7.525 0.915876 29.2593 29.2593
7.575 0.909477 29.7727 29.7727
7.625 0.900118 30.2876 30.2876
7.675 0.892337 30.8047 30.8047
7.725 0.885172 31.3243 31.3243
7.775 0.881036 31.8483 31.8483
7.825 0.877166 32.3767 32.3767
7.875 0.872209 32.9088 32.9088
7.925 0.86778 33.445 33.445
7.975 0.867093 33.9875 33.9875
8.025 0.865103 34.5356 34.5356
8.075 0.864243 35.09 35.09
8.125 0.865351 35.652 35.652
8.175 0.864238 36.2202 36.2202
8.225 0.866888 36.7972 36.7972
8.275 0.869 37.3826 37.3826
8.325 0.872258 37.9773 37.9773
8.375 0.877888 38.5831 38.5831
8.425 0.879546 39.1972 39.1972
8.475 0.888689 39.8252 39.8252
8.525 0.893649 40.4641 40.4641
8.575 0.898287 41.1139 41.1139
8.625 0.908135 41.7785 41.7785
8.675 0.913294 42.4547 42.4547
8.725 0.921305 43.1447 43.1447
