# Radial distribution function in trajectory ewald/nacl/molten/md/NVT/trajectory.nc
# Using selection: name Na
# r   g(r)   N_ij(r)   N_ji(r)
0.025 0 0 0
0.075 0 0 0
0.125 0 0 0
0.175 0 0 0
0.225 0 0 0
0.275 0 0 0
0.325 0 0 0
0.375 0 0 0
0.425 0 0 0
0.475 0 0 0
0.525 0 0 0
0.575 0 0 0
0.625 0 0 0
0.675 0 0 0
0.725 0 0 0
0.775 0 0 0
0.825 0 0 0
0.875 0 0 0
0.925 0 0 0
0.975 0 0 0
1.025 0 0 0
1.075 0 0 0
1.125 0 0 0
1.175 0 0 0
1.225 0 0 0
1.275 0 0 0
1.325 0 0 0
1.375 0 0 0
1.425 0 0 0
1.475 0 0 0
1.525 0 0 0
1.575 0 0 0
1.625 0 0 0
1.675 0 0 0
1.725 0 0 0
1.775 0 0 0
1.825 0 0 0
1.875 0 0 0
1.925 0 0 0
1.975 0 0 0
2.025 0 0 0
2.075 0.000368788 1.56211e-05 1.56211e-05
2.125 0.000219773 2.53843e-05 2.53843e-05
2.175 0.000671312 5.66265e-05 5.66265e-05
2.225 0.00112259 0.0001113 0.0001113
2.275 0.00233932 0.000230411 0.000230411
2.325 0.00378193 0.000431533 0.000431533
2.375 0.00587641 0.000757623 0.000757623
2.425 0.0106994 0.00137661 0.00137661
2.475 0.0145809 0.0022553 0.0022553
2.525 0.0219477 0.0036319 0.0036319
2.575 0.0320596 0.00572318 0.00572318
2.625 0.0444745 0.00873805 0.00873805
2.675 0.0605243 0.0129987 0.0129987
2.725 0.0801616 0.0188547 0.0188547
2.775 0.106115 0.0268937 0.0268937
2.825 0.138927 0.0378011 0.0378011
2.875 0.175775 0.0520944 0.0520944
2.925 0.220322 0.0706386 0.0706386
2.975 0.266441 0.0938379 0.0938379
3.025 0.325164 0.12311 0.12311
3.075 0.378761 0.158343 0.158343
3.125 0.443626 0.200963 0.200963
3.175 0.51811 0.252345 0.252345
3.225 0.590202 0.312734 0.312734
3.275 0.661681 0.382553 0.382553
3.325 0.742576 0.463318 0.463318
3.375 0.824433 0.555703 0.555703
3.425 0.902904 0.659901 0.659901
3.475 0.975564 0.775796 0.775796
3.525 1.05496 0.904756 0.904756
3.575 1.1187 1.04541 1.04541
3.625 1.19527 1.19993 1.19993
3.675 1.24592 1.36547 1.36547
3.725 1.29734 1.54257 1.54257
3.775 1.34531 1.73117 1.73117
3.825 1.38796 1.93095 1.93095
3.875 1.42031 2.14076 2.14076
3.925 1.45892 2.36187 2.36187
3.975 1.46295 2.58927 2.58927
4.025 1.47545 2.82443 2.82443
4.075 1.48466 3.06697 3.06697
4.125 1.47866 3.31449 3.31449
4.175 1.48227 3.56867 3.56867
4.225 1.47756 3.82814 3.82814
4.275 1.46154 4.09092 4.09092
4.325 1.43988 4.35589 4.35589
4.375 1.43332 4.62579 4.62579
4.425 1.40834 4.89708 4.89708
4.475 1.37924 5.1688 5.1688
4.525 1.36139 5.44303 5.44303
4.575 1.34358 5.71969 5.71969
4.625 1.32241 5.99797 5.99797
4.675 1.29928 6.27733 6.27733
4.725 1.28352 6.55924 6.55924
4.775 1.26069 6.84202 6.84202
4.825 1.24868 7.12801 7.12801
4.875 1.23214 7.41608 7.41608
4.925 1.2189 7.70694 7.70694
4.975 1.20909 8.00134 8.00134
5.025 1.1948 8.29815 8.29815
5.075 1.17952 8.59701 8.59701
5.125 1.16352 8.89766 8.89766
5.175 1.14855 9.20026 9.20026
5.225 1.12317 9.50192 9.50192
5.275 1.10867 9.80541 9.80541
5.325 1.08134 10.1071 10.1071
5.375 1.06109 10.4086 10.4086
5.425 1.03601 10.7086 10.7086
5.475 1.01034 11.0065 11.0065
5.525 0.989435 11.3037 11.3037
5.575 0.96024 11.5973 11.5973
5.625 0.932518 11.8876 11.8876
5.675 0.909268 12.1756 12.1756
5.725 0.889803 12.4626 12.4626
5.775 0.864964 12.7463 12.7463
5.825 0.84909 13.0298 13.0298
5.875 0.832336 13.3124 13.3124
5.925 0.816346 13.5943 13.5943
5.975 0.806771 13.8777 13.8777
6.025 0.791096 14.1602 14.1602
6.075 0.787055 14.446 14.446
6.125 0.77968 14.7337 14.7337
6.175 0.775257 15.0245 15.0245
6.225 0.771524 15.3187 15.3187
6.275 0.772409 15.6179 15.6179
6.325 0.7751 15.9229 15.9229
6.375 0.772581 16.2318 16.2318
6.425 0.775715 16.5468 16.5468
6.475 0.780862 16.8689 16.8689
6.525 0.790763 17.2001 17.2001
6.575 0.796509 17.5389 17.5389
6.625 0.805514 17.8867 17.8867
6.675 0.812576 18.2429 18.2429
6.725 0.826576 18.6106 18.6106
6.775 0.841763 18.9907 18.9907
6.825 0.854521 19.3823 19.3823
6.875 0.865145 19.7846 19.7846
6.925 0.879922 20.1997 20.1997
6.975 0.893067 20.6272 20.6272
7.025 0.911207 21.0696 21.0696
7.075 0.92299 21.5241 21.5241
7.125 0.943079 21.9951 21.9951
7.175 0.956572 22.4795 22.4795
7.225 0.973208 22.9793 22.9793
7.275 0.984538 23.4919 23.4919
7.325 1.00241 24.0211 24.0211
7.375 1.0154 24.5644 24.5644
7.425 1.02631 25.121 25.121
7.475 1.04203 25.6938 25.6938
7.525 1.05046 26.279 26.279
7.575 1.0642 26.8797 26.8797
7.625 1.07528 27.4948 27.4948
7.675 1.08677 28.1246 28.1246
7.725 1.09232 28.7658 28.7658
7.775 1.10337 29.422 29.422
7.825 1.10871 30.0899 30.0899
7.875 1.11602 30.7708 30.7708
7.925 1.12017 31.4629 31.4629
7.975 1.12778 32.1685 32.1685
8.025 1.13017 32.8845 32.8845
8.075 1.13106 33.6101 33.6101
8.125 1.13356 34.3463 34.3463
8.175 1.12969 35.089 35.089
8.225 1.13081 35.8416 35.8416
8.275 1.12643 36.6004 36.6004
8.325 1.12438 37.3671 37.3671
8.375 1.11939 38.1395 38.1395
8.425 1.11628 38.919 38.919
8.475 1.11137 39.7043 39.7043
8.525 1.10414 40.4937 40.4937
8.575 1.09954 41.2891 41.2891
