# Radial distribution function in trajectory wolf/nacl/crystal/md/NVT/trajectory.nc
# Using selection: name Cl
# r   g(r)   N_ij(r)   N_ji(r)
0.025 0 0 0
0.075 0 0 0
0.125 0 0 0
0.175 0 0 0
0.225 0 0 0
0.275 0 0 0
0.325 0 0 0
0.375 0 0 0
0.425 0 0 0
0.475 0 0 0
0.525 0 0 0
0.575 0 0 0
0.625 0 0 0
0.675 0 0 0
0.725 0 0 0
0.775 0 0 0
0.825 0 0 0
0.875 0 0 0
0.925 0 0 0
0.975 0 0 0
1.025 0 0 0
1.075 0 0 0
1.125 0 0 0
1.175 0 0 0
1.225 0 0 0
1.275 0 0 0
1.325 0 0 0
1.375 0 0 0
1.425 0 0 0
1.475 0 0 0
1.525 0 0 0
1.575 0 0 0
1.625 0 0 0
1.675 0 0 0
1.725 0 0 0
1.775 0 0 0
1.825 0 0 0
1.875 0 0 0
1.925 0 0 0
1.975 0 0 0
2.025 0 0 0
2.075 0 0 0
2.125 0 0 0
2.175 0 0 0
2.225 0 0 0
2.275 0 0 0
2.325 0 0 0
2.375 0 0 0
2.425 0 0 0
2.475 0 0 0
2.525 0 0 0
2.575 0 0 0
2.625 0 0 0
2.675 0 0 0
2.725 0 0 0
2.775 0 0 0
2.825 0 0 0
2.875 0 0 0
2.925 0 0 0
2.975 0 0 0
3.025 0 0 0
3.075 0 0 0
3.125 0 0 0
3.175 0 0 0
3.225 0 0 0
3.275 0 0 0
3.325 0 0 0
3.375 0 0 0
3.425 3.56505e-05 5.85791e-06 5.85791e-06
3.475 0.000415583 7.61528e-05 7.61528e-05
3.525 0.00269252 0.000544786 0.000544786
3.575 0.0169498 0.00357918 0.00357918
3.625 0.0744072 0.017275 0.017275
3.675 0.273752 0.0690628 0.0690628
3.725 0.802129 0.224965 0.224965
3.775 1.92176 0.608574 0.608574
3.825 3.73738 1.3745 1.3745
3.875 6.02289 2.64129 2.64129
3.925 8.03261 4.37466 4.37466
3.975 8.9544 6.3565 6.3565
4.025 8.39803 8.26224 8.26224
4.075 6.64172 9.80711 9.80711
4.125 4.44046 10.8655 10.8655
4.175 2.54294 11.4863 11.4863
4.225 1.24369 11.7973 11.7973
4.275 0.518256 11.93 11.93
4.325 0.185884 11.9787 11.9787
4.375 0.0586571 11.9944 11.9944
4.425 0.0156625 11.9987 11.9987
4.475 0.0037242 11.9998 11.9998
4.525 0.000680813 12 12
4.575 0.000126543 12 12
4.625 1.30338e-05 12 12
4.675 6.37826e-06 12 12
4.725 0 12 12
4.775 0 12 12
4.825 0 12 12
4.875 0 12 12
4.925 0 12 12
4.975 0 12 12
5.025 0 12 12
5.075 5.41244e-06 12 12
5.125 4.24588e-05 12 12
5.175 0.000468476 12.0002 12.0002
5.225 0.00341601 12.0015 12.0015
5.275 0.0167728 12.008 12.008
5.325 0.0678676 12.035 12.035
5.375 0.205999 12.1184 12.1184
5.425 0.490919 12.3207 12.3207
5.475 0.946706 12.7182 12.7182
5.525 1.50037 13.3598 13.3598
5.575 1.96911 14.217 14.217
5.625 2.1738 15.1805 15.1805
5.675 2.0355 16.0987 16.0987
5.725 1.63395 16.8489 16.8489
5.775 1.13126 17.3773 17.3773
5.825 0.678211 17.6997 17.6997
5.875 0.352763 17.8702 17.8702
5.925 0.16291 17.9503 17.9503
5.975 0.0655797 17.9831 17.9831
6.025 0.0230641 17.9949 17.9949
6.075 0.00749023 17.9987 17.9987
6.125 0.00183561 17.9997 17.9997
6.175 0.000456984 17.9999 17.9999
6.225 0.000111519 18 18
6.275 0.000162853 18.0001 18.0001
6.325 0.000634184 18.0004 18.0004
6.375 0.00265832 18.002 18.002
6.425 0.0103401 18.0079 18.0079
6.475 0.0348422 18.0284 18.0284
6.525 0.105075 18.0911 18.0911
6.575 0.2731 18.2564 18.2564
6.625 0.625157 18.6408 18.6408
6.675 1.25663 19.4251 19.4251
6.725 2.19182 20.8136 20.8136
6.775 3.33687 22.959 22.959
6.825 4.43198 25.8507 25.8507
6.875 5.1423 29.2553 29.2553
6.925 5.22141 32.7627 32.7627
6.975 4.61585 35.9082 35.9082
7.025 3.5668 38.3738 38.3738
7.075 2.41322 40.0659 40.0659
7.125 1.42491 41.0791 41.0791
7.175 0.734854 41.609 41.609
7.225 0.334002 41.8532 41.8532
7.275 0.132022 41.9511 41.9511
7.325 0.0460247 41.9857 41.9857
7.375 0.0139399 41.9963 41.9963
7.425 0.0042682 41.9996 41.9996
7.475 0.00292645 42.0019 42.0019
7.525 0.00767096 42.008 42.008
7.575 0.0241021 42.0274 42.0274
7.625 0.0698027 42.0842 42.0842
7.675 0.170372 42.2248 42.2248
7.725 0.362448 42.5277 42.5277
7.775 0.67499 43.0993 43.0993
7.825 1.08611 44.0308 44.0308
7.875 1.52503 45.3556 45.3556
7.925 1.86141 46.9932 46.9932
7.975 1.98361 48.7603 48.7603
8.025 1.84173 50.4217 50.4217
8.075 1.49848 51.7903 51.7903
8.125 1.06306 52.7734 52.7734
8.175 0.660004 53.3912 53.3912
8.225 0.35766 53.7301 53.7301
8.275 0.170553 53.8937 53.8937
8.325 0.0714567 53.9631 53.9631
8.375 0.0267749 53.9894 53.9894
8.425 0.0115597 54.0009 54.0009
8.475 0.0151753 54.0161 54.0161
8.525 0.0425248 54.0594 54.0594
8.575 0.120881 54.1839 54.1839
8.625 0.298168 54.4946 54.4946
8.675 0.63203 55.1609 55.1609
8.725 1.16529 56.4035 56.4035
8.775 1.85322 58.4023 58.4023
8.825 2.56247 61.1977 61.1977
8.875 3.06831 64.583 64.583
8.925 3.20286 68.1566 68.1566
8.975 2.90444 71.4337 71.4337
9.025 2.29339 74.0502 74.0502
9.075 1.57799 75.8706 75.8706
9.125 0.946515 76.9745 76.9745
9.175 0.498837 77.5627 77.5627
9.225 0.22848 77.8351 77.8351
9.275 0.0937158 77.948 77.948
9.325 0.0389095 77.9954 77.9954
9.375 0.0290346 78.0312 78.0312
9.425 0.0491281 78.0923 78.0923
9.475 0.102357 78.221 78.221
9.525 0.197558 78.4721 78.4721
