# Radial distribution function in trajectory wolf/nacl/crystal/md/NVT/trajectory.nc
# Using selection: pairs: name(#1) Na and name(#2) Cl
# r   g(r)   N_ij(r)   N_ji(r)
0.025 0 0 0
0.075 0 0 0
0.125 0 0 0
0.175 0 0 0
0.225 0 0 0
0.275 0 0 0
0.325 0 0 0
0.375 0 0 0
0.425 0 0 0
0.475 0 0 0
0.525 0 0 0
0.575 0 0 0
0.625 0 0 0
0.675 0 0 0
0.725 0 0 0
0.775 0 0 0
0.825 0 0 0
0.875 0 0 0
0.925 0 0 0
0.975 0 0 0
1.025 0 0 0
1.075 0 0 0
1.125 0 0 0
1.175 0 0 0
1.225 0 0 0
1.275 0 0 0
1.325 0 0 0
1.375 0 0 0
1.425 0 0 0
1.475 0 0 0
1.525 0 0 0
1.575 0 0 0
1.625 0 0 0
1.675 0 0 0
1.725 0 0 0
1.775 0 0 0
1.825 0 0 0
1.875 0 0 0
1.925 0 0 0
1.975 0 0 0
2.025 0 0 0
2.075 0 0 0
2.125 0 0 0
2.175 0 0 0
2.225 0 0 0
2.275 0 0 0
2.325 0 0 0
2.375 0 0 0
2.425 8.29678e-05 6.83423e-06 6.83423e-06
2.475 0.00252603 0.000223577 0.000223577
2.525 0.051524 0.00482497 0.00482497
2.575 0.435749 0.0452963 0.0452963
2.625 1.86857 0.22565 0.22565
2.675 4.71372 0.698113 0.698113
2.725 8.0195 1.53225 1.53225
2.775 9.97219 2.6079 2.6079
2.825 9.67273 3.68919 3.68919
2.875 7.74493 4.5859 4.5859
2.925 5.25901 5.21615 5.21615
2.975 3.11631 5.60249 5.60249
3.025 1.66261 5.81559 5.81559
3.075 0.793883 5.92074 5.92074
3.125 0.351342 5.9688 5.9688
3.175 0.139261 5.98847 5.98847
3.225 0.0522721 5.99608 5.99608
3.275 0.0178903 5.99877 5.99877
3.325 0.00581907 5.99967 5.99967
3.375 0.00152366 5.99991 5.99991
3.425 0.000392155 5.99998 5.99998
3.475 0.000103896 6 6
3.525 2.24376e-05 6 6
3.575 0 6 6
3.625 0 6 6
3.675 0 6 6
3.725 0 6 6
3.775 0 6 6
3.825 0 6 6
3.875 0 6 6
3.925 0 6 6
3.975 0 6 6
4.025 0 6 6
4.075 0 6 6
4.125 0 6 6
4.175 1.59949e-05 6 6
4.225 0.00010933 6.00003 6.00003
4.275 0.000369943 6.00013 6.00013
4.325 0.00159853 6.00054 6.00054
4.375 0.00589557 6.00213 6.00213
4.425 0.0193112 6.00742 6.00742
4.475 0.0544603 6.0227 6.0227
4.525 0.138127 6.06231 6.06231
4.575 0.318488 6.15569 6.15569
4.625 0.643284 6.34843 6.34843
4.675 1.1527 6.70132 6.70132
4.725 1.82727 7.27275 7.27275
4.775 2.56338 8.09144 8.09144
4.825 3.15156 9.11916 9.11916
4.875 3.4165 10.2565 10.2565
4.925 3.25904 11.3638 11.3638
4.975 2.72904 12.3099 12.3099
5.025 2.01318 13.022 13.022
5.075 1.29972 13.4908 13.4908
5.125 0.739274 13.7628 13.7628
5.175 0.369919 13.9016 13.9016
5.225 0.161597 13.9634 13.9634
5.275 0.0630107 13.988 13.988
5.325 0.0216041 13.9965 13.9965
5.375 0.00629196 13.9991 13.9991
5.425 0.00166491 13.9998 13.9998
5.475 0.000427843 14 14
5.525 8.67669e-05 14 14
5.575 1.79405e-05 14 14
5.625 3.08403e-05 14 14
5.675 9.08977e-05 14.0001 14.0001
5.725 0.000452964 14.0003 14.0003
5.775 0.00239297 14.0014 14.0014
5.825 0.0101087 14.0062 14.0062
5.875 0.0371264 14.0241 14.0241
5.925 0.11816 14.0822 14.0822
5.975 0.319374 14.2419 14.2419
6.025 0.753798 14.6252 14.6252
6.075 1.53478 15.4186 15.4186
6.125 2.69041 16.8324 16.8324
6.175 4.1014 19.023 19.023
6.225 5.42571 21.9681 21.9681
6.275 6.24068 25.4101 25.4101
6.325 6.25406 28.9147 28.9147
6.375 5.46865 32.0278 32.0278
6.425 4.19076 34.4511 34.4511
6.475 2.80857 36.1005 36.1005
6.525 1.65349 37.0866 37.0866
6.575 0.858952 37.6067 37.6067
6.625 0.393051 37.8483 37.8483
6.675 0.1591 37.9476 37.9476
6.725 0.0571404 37.9838 37.9838
6.775 0.0182281 37.9956 37.9956
6.825 0.00509952 37.9989 37.9989
6.875 0.00129327 37.9997 37.9997
6.925 0.000316849 38 38
6.975 5.58742e-05 38 38
7.025 9.88645e-06 38 38
7.075 2.78492e-06 38 38
7.125 1.37298e-06 38 38
7.175 0 38 38
7.225 0 38 38
7.275 0 38 38
7.325 0 38 38
7.375 0 38 38
7.425 0 38 38
7.475 0 38 38
7.525 0 38 38
7.575 0 38 38
7.625 0 38 38
7.675 1.18326e-06 38 38
7.725 1.16799e-05 38 38
7.775 5.41916e-05 38.0001 38.0001
7.825 0.000267506 38.0003 38.0003
7.875 0.00105985 38.0012 38.0012
7.925 0.00427265 38.005 38.005
7.975 0.0143673 38.0178 38.0178
8.025 0.043085 38.0566 38.0566
8.075 0.1151 38.1618 38.1618
8.125 0.276936 38.4178 38.4178
8.175 0.585735 38.9662 38.9662
8.225 1.10413 40.0124 40.0124
8.275 1.84348 41.7806 41.7806
8.325 2.71423 44.4156 44.4156
8.375 3.53815 47.8918 47.8918
8.425 4.07277 51.9411 51.9411
8.475 4.14697 56.1133 56.1133
8.525 3.7305 59.911 59.911
8.575 2.97772 62.9779 62.9779
8.625 2.10219 65.1684 65.1684
8.675 1.31812 66.5579 66.5579
8.725 0.732392 67.3389 67.3389
8.775 0.360753 67.728 67.728
8.825 0.159965 67.9025 67.9025
8.875 0.0716334 67.9815 67.9815
8.925 0.0517426 68.0392 68.0392
8.975 0.0892781 68.14 68.14
9.025 0.198829 68.3668 68.3668
9.075 0.416541 68.8473 68.8473
9.125 0.776089 69.7525 69.7525
9.175 1.27683 71.2581 71.2581
9.225 1.85654 73.4712 73.4712
9.275 2.38517 76.3453 76.3453
9.325 2.70379 79.6385 79.6385
9.375 2.70765 82.972 82.972
