# Radial distribution function in trajectory wolf/nacl/crystal/md/NVT/trajectory.nc
# Using selection: name Na
# r   g(r)   N_ij(r)   N_ji(r)
0.025 0 0 0
0.075 0 0 0
0.125 0 0 0
0.175 0 0 0
0.225 0 0 0
0.275 0 0 0
0.325 0 0 0
0.375 0 0 0
0.425 0 0 0
0.475 0 0 0
0.525 0 0 0
0.575 0 0 0
0.625 0 0 0
0.675 0 0 0
0.725 0 0 0
0.775 0 0 0
0.825 0 0 0
0.875 0 0 0
0.925 0 0 0
0.975 0 0 0
1.025 0 0 0
1.075 0 0 0
1.125 0 0 0
1.175 0 0 0
1.225 0 0 0
1.275 0 0 0
1.325 0 0 0
1.375 0 0 0
1.425 0 0 0
1.475 0 0 0
1.525 0 0 0
1.575 0 0 0
1.625 0 0 0
1.675 0 0 0
1.725 0 0 0
1.775 0 0 0
1.825 0 0 0
1.875 0 0 0
1.925 0 0 0
1.975 0 0 0
2.025 0 0 0
2.075 0 0 0
2.125 0 0 0
2.175 0 0 0
2.225 0 0 0
2.275 0 0 0
2.325 0 0 0
2.375 0 0 0
2.425 0 0 0
2.475 0 0 0
2.525 0 0 0
2.575 0 0 0
2.625 0 0 0
2.675 0 0 0
2.725 0 0 0
2.775 0 0 0
2.825 0 0 0
2.875 0 0 0
2.925 0 0 0
2.975 0 0 0
3.025 0 0 0
3.075 0 0 0
3.125 0 0 0
3.175 0 0 0
3.225 0 0 0
3.275 0 0 0
3.325 1.2609e-05 1.95264e-06 1.95264e-06
3.375 0.000159097 2.73369e-05 2.73369e-05
3.425 0.000998213 0.000191358 0.000191358
3.475 0.00398267 0.000865018 0.000865018
3.525 0.0156278 0.00358504 0.00358504
3.575 0.0595751 0.0142503 0.0142503
3.625 0.183546 0.0480349 0.0480349
3.675 0.49574 0.141818 0.141818
3.725 1.14327 0.364024 0.364024
3.775 2.29576 0.822289 0.822289
3.825 3.94451 1.63066 1.63066
3.875 5.83412 2.85775 2.85775
3.925 7.43501 4.46217 4.46217
3.975 8.19006 6.27483 6.27483
4.025 7.77264 8.03866 8.03866
4.075 6.3983 9.52691 9.52691
4.125 4.55806 10.6133 10.6133
4.175 2.83989 11.3067 11.3067
4.225 1.5367 11.6909 11.6909
4.275 0.72595 11.8768 11.8768
4.325 0.304704 11.9566 11.9566
4.375 0.110541 11.9862 11.9862
4.425 0.0358458 11.9961 11.9961
4.475 0.0103303 11.999 11.999
4.525 0.00283218 11.9998 11.9998
4.575 0.000652693 12 12
4.625 0.000117304 12 12
4.675 1.27565e-05 12 12
4.725 0 12 12
4.775 0 12 12
4.825 0 12 12
4.875 0 12 12
4.925 0 12 12
4.975 0 12 12
5.025 0 12 12
5.075 5.41244e-06 12 12
5.125 0.000132684 12.0001 12.0001
5.175 0.00113996 12.0005 12.0005
5.225 0.00710774 12.0032 12.0032
5.275 0.0316519 12.0155 12.0155
5.325 0.101986 12.056 12.056
5.375 0.271051 12.1657 12.1657
5.425 0.574226 12.4025 12.4025
5.475 1.00816 12.8258 12.8258
5.525 1.48787 13.4619 13.4619
5.575 1.87063 14.2763 14.2763
5.625 2.02026 15.1717 15.1717
5.675 1.8913 16.0249 16.0249
5.725 1.56036 16.7413 16.7413
5.775 1.12999 17.2692 17.2692
5.825 0.726629 17.6145 17.6145
5.875 0.41733 17.8163 17.8163
5.925 0.21232 17.9207 17.9207
5.975 0.096013 17.9687 17.9687
6.025 0.0397189 17.9889 17.9889
6.075 0.0143157 17.9963 17.9963
6.125 0.00513524 17.999 17.999
6.175 0.00139289 17.9997 17.9997
6.225 0.000478452 18 18
6.275 0.00062663 18.0003 18.0003
6.325 0.00219177 18.0016 18.0016
6.375 0.00762851 18.0059 18.0059
6.425 0.0234526 18.0195 18.0195
6.475 0.0671574 18.0589 18.0589
6.525 0.171869 18.1614 18.1614
6.575 0.389681 18.3974 18.3974
6.625 0.787646 18.8816 18.8816
6.675 1.42518 19.7711 19.7711
6.725 2.3015 21.2291 21.2291
6.775 3.30189 23.352 23.352
6.825 4.21727 26.1037 26.1037
6.875 4.78996 29.2749 29.2749
6.925 4.84892 32.5321 32.5321
6.975 4.36709 35.5081 35.5081
7.025 3.48949 37.9203 37.9203
7.075 2.48518 39.6628 39.6628
7.125 1.57972 40.7861 40.7861
7.175 0.889568 41.4276 41.4276
7.225 0.450975 41.7573 41.7573
7.275 0.201649 41.9068 41.9068
7.325 0.0818104 41.9683 41.9683
7.375 0.0291869 41.9906 41.9906
7.425 0.0106553 41.9988 41.9988
7.475 0.00807829 42.0051 42.0051
7.525 0.0166516 42.0183 42.0183
7.575 0.0435908 42.0534 42.0534
7.625 0.105216 42.139 42.139
7.675 0.224456 42.3242 42.3242
7.725 0.428173 42.6822 42.6822
7.775 0.727183 43.2979 43.2979
7.825 1.09702 44.2388 44.2388
7.875 1.46891 45.5148 45.5148
7.925 1.7406 47.0461 47.0461
7.975 1.84418 48.689 48.689
8.025 1.73119 50.2507 50.2507
8.075 1.44415 51.5697 51.5697
8.125 1.07279 52.5617 52.5617
8.175 0.710681 53.227 53.227
8.225 0.416944 53.6221 53.6221
8.275 0.22026 53.8334 53.8334
8.325 0.104049 53.9344 53.9344
8.375 0.0454827 53.9791 53.9791
8.425 0.0243291 54.0033 54.0033
8.475 0.0309464 54.0344 54.0344
8.525 0.0736655 54.1094 54.1094
8.575 0.178514 54.2932 54.2932
8.625 0.384933 54.6944 54.6944
8.675 0.736427 55.4706 55.4706
8.725 1.24665 56.8 56.8
8.775 1.86389 58.8103 58.8103
8.825 2.45909 61.4929 61.4929
8.875 2.87728 64.6674 64.6674
8.925 2.97798 67.9902 67.9902
8.975 2.73315 71.074 71.074
9.025 2.22511 73.6126 73.6126
9.075 1.60743 75.4669 75.4669
9.125 1.03474 76.6738 76.6738
9.175 0.593065 77.3731 77.3731
9.225 0.303541 77.7349 77.7349
9.275 0.14074 77.9045 77.9045
9.325 0.0672383 77.9864 77.9864
9.375 0.0491634 78.0469 78.0469
9.425 0.0700185 78.1341 78.1341
