# Radial distribution function in trajectory wolf/nacl/molten/md/NVT/trajectory.nc
# Using selection: name Cl
# r   g(r)   N_ij(r)   N_ji(r)
0.025 0 0 0
0.075 0 0 0
0.125 0 0 0
0.175 0 0 0
0.225 0 0 0
0.275 0 0 0
0.325 0 0 0
0.375 0 0 0
0.425 0 0 0
0.475 0 0 0
0.525 0 0 0
0.575 0 0 0
0.625 0 0 0
0.675 0 0 0
0.725 0 0 0
0.775 0 0 0
0.825 0 0 0
0.875 0 0 0
0.925 0 0 0
0.975 0 0 0
1.025 0 0 0
1.075 0 0 0
1.125 0 0 0
1.175 0 0 0
1.225 0 0 0
1.275 0 0 0
1.325 0 0 0
1.375 0 0 0
1.425 0 0 0
1.475 0 0 0
1.525 0 0 0
1.575 0 0 0
1.625 0 0 0
1.675 0 0 0
1.725 0 0 0
1.775 0 0 0
1.825 0 0 0
1.875 0 0 0
1.925 0 0 0
1.975 0 0 0
2.025 0 0 0
2.075 0 0 0
2.125 0 0 0
2.175 0 0 0
2.225 0 0 0
2.275 0 0 0
2.325 0 0 0
2.375 0 0 0
2.425 0 0 0
2.475 0 0 0
2.525 0 0 0
2.575 0 0 0
2.625 0 0 0
2.675 0 0 0
2.725 0 0 0
2.775 0 0 0
2.825 0.000124353 9.76318e-06 9.76318e-06
2.875 0.000480261 4.88159e-05 4.88159e-05
2.925 0.0024823 0.000257748 0.000257748
2.975 0.00787147 0.000943124 0.000943124
3.025 0.0212134 0.0028528 0.0028528
3.075 0.0504203 0.00754304 0.00754304
3.125 0.0957697 0.0167439 0.0167439
3.175 0.165018 0.0331089 0.0331089
3.225 0.260493 0.0597624 0.0597624
3.275 0.373477 0.0991705 0.0991705
3.325 0.498109 0.153346 0.153346
3.375 0.643056 0.225407 0.225407
3.425 0.797374 0.317427 0.317427
3.475 0.950465 0.43034 0.43034
3.525 1.09498 0.564191 0.564191
3.575 1.22685 0.718447 0.718447
3.625 1.34975 0.892937 0.892937
3.675 1.46112 1.08707 1.08707
3.725 1.55333 1.29911 1.29911
3.775 1.61905 1.52609 1.52609
3.825 1.67931 1.7678 1.7678
3.875 1.72018 2.02191 2.02191
3.925 1.7448 2.28634 2.28634
3.975 1.766 2.56086 2.56086
4.025 1.7636 2.84194 2.84194
4.075 1.75335 3.12837 3.12837
4.125 1.7305 3.41805 3.41805
4.175 1.72373 3.71363 3.71363
4.225 1.68247 4.0091 4.0091
4.275 1.65334 4.30635 4.30635
4.325 1.6054 4.60178 4.60178
4.375 1.57045 4.8975 4.8975
4.425 1.53193 5.1926 5.1926
4.475 1.49815 5.48775 5.48775
4.525 1.44444 5.77871 5.77871
4.575 1.40299 6.0676 6.0676
4.625 1.36975 6.35585 6.35585
4.675 1.32847 6.64148 6.64148
4.725 1.28969 6.92475 6.92475
4.775 1.2583 7.20699 7.20699
4.825 1.22664 7.48793 7.48793
4.875 1.19898 7.76826 7.76826
4.925 1.17439 8.04849 8.04849
4.975 1.14783 8.32798 8.32798
5.025 1.12625 8.60775 8.60775
5.075 1.09865 8.88613 8.88613
5.125 1.08736 9.1671 9.1671
5.175 1.0639 9.4474 9.4474
5.225 1.04176 9.72719 9.72719
5.275 1.0199 10.0064 10.0064
5.325 0.99986 10.2853 10.2853
5.375 0.971926 10.5615 10.5615
5.425 0.948826 10.8363 10.8363
5.475 0.926906 11.1096 11.1096
5.525 0.906688 11.3819 11.3819
5.575 0.880388 11.6511 11.6511
5.625 0.864487 11.9202 11.9202
5.675 0.842375 12.1871 12.1871
5.725 0.821615 12.452 12.452
5.775 0.804831 12.716 12.716
5.825 0.786791 12.9787 12.9787
5.875 0.777315 13.2426 13.2426
5.925 0.76744 13.5077 13.5077
5.975 0.757023 13.7735 13.7735
6.025 0.749492 14.0412 14.0412
6.075 0.744557 14.3115 14.3115
6.125 0.733599 14.5823 14.5823
6.175 0.733447 14.8574 14.8574
6.225 0.732115 15.1365 15.1365
6.275 0.734332 15.421 15.421
6.325 0.735741 15.7105 15.7105
6.375 0.741671 16.0071 16.0071
6.425 0.748597 16.3111 16.3111
6.475 0.755302 16.6226 16.6226
6.525 0.763258 16.9423 16.9423
6.575 0.776349 17.2725 17.2725
6.625 0.787539 17.6125 17.6125
6.675 0.80111 17.9637 17.9637
6.725 0.816513 18.327 18.327
6.775 0.830693 18.7021 18.7021
6.825 0.852135 19.0926 19.0926
6.875 0.869583 19.4969 19.4969
6.925 0.888092 19.9159 19.9159
6.975 0.905681 20.3494 20.3494
7.025 0.925714 20.7988 20.7988
7.075 0.943518 21.2634 21.2634
7.125 0.965615 21.7457 21.7457
7.175 0.98518 22.2446 22.2446
7.225 1.00413 22.7603 22.7603
7.275 1.02291 23.2929 23.2929
7.325 1.04322 23.8436 23.8436
7.375 1.05925 24.4104 24.4104
7.425 1.07761 24.9948 24.9948
7.475 1.08759 25.5927 25.5927
7.525 1.10153 26.2063 26.2063
7.575 1.11558 26.836 26.836
7.625 1.12879 27.4817 27.4817
7.675 1.13618 28.1401 28.1401
7.725 1.14115 28.81 28.81
7.775 1.15058 29.4943 29.4943
7.825 1.15423 30.1896 30.1896
7.875 1.15692 30.8954 30.8954
7.925 1.16316 31.6141 31.6141
7.975 1.16463 32.3428 32.3428
8.025 1.16536 33.0811 33.0811
8.075 1.15933 33.8248 33.8248
8.125 1.15956 34.5779 34.5779
8.175 1.15265 35.3357 35.3357
8.225 1.15088 36.1017 36.1017
8.275 1.14518 36.8731 36.8731
8.325 1.13845 37.6493 37.6493
8.375 1.13223 38.4306 38.4306
8.425 1.12009 39.2128 39.2128
8.475 1.11454 40.0003 40.0003
8.525 1.1052 40.7905 40.7905
8.575 1.09348 41.5815 41.5815
8.625 1.08377 42.3746 42.3746
8.675 1.07339 43.1693 43.1693
8.725 1.06393 43.9661 43.9661
8.775 1.05547 44.7656 44.7656
8.825 1.04184 45.5639 45.5639
8.875 1.03367 46.3648 46.3648
8.925 1.02196 47.1657 47.1657
8.975 1.01272 47.9682 47.9682
9.025 1.00182 48.771 48.771
