# Radial distribution function in trajectory wolf/nacl/molten/md/NVT/trajectory.nc
# Using selection: pairs: name(#1) Na and name(#2) Cl
# r   g(r)   N_ij(r)   N_ji(r)
0.025 0 0 0
0.075 0 0 0
0.125 0 0 0
0.175 0 0 0
0.225 0 0 0
0.275 0 0 0
0.325 0 0 0
0.375 0 0 0
0.425 0 0 0
0.475 0 0 0
0.525 0 0 0
0.575 0 0 0
0.625 0 0 0
0.675 0 0 0
0.725 0 0 0
0.775 0 0 0
0.825 0 0 0
0.875 0 0 0
0.925 0 0 0
0.975 0 0 0
1.025 0 0 0
1.075 0 0 0
1.125 0 0 0
1.175 0 0 0
1.225 0 0 0
1.275 0 0 0
1.325 0 0 0
1.375 0 0 0
1.425 0 0 0
1.475 0 0 0
1.525 0 0 0
1.575 0 0 0
1.625 0 0 0
1.675 0 0 0
1.725 0 0 0
1.775 0 0 0
1.825 0 0 0
1.875 0 0 0
1.925 0 0 0
1.975 0 0 0
2.025 0 0 0
2.075 0 0 0
2.125 2.19773e-05 9.76318e-07 9.76318e-07
2.175 0.000167828 8.78687e-06 8.78687e-06
2.225 0.00483114 0.00024408 0.00024408
2.275 0.0410148 0.00233242 0.00233242
2.325 0.199671 0.0129509 0.0129509
2.375 0.593376 0.0458782 0.0458782
2.425 1.25844 0.118682 0.118682
2.475 2.10488 0.245528 0.245528
2.525 2.90437 0.427697 0.427697
2.575 3.51103 0.656724 0.656724
2.625 3.85814 0.918263 0.918263
2.675 3.93361 1.19517 1.19517
2.725 3.80775 1.47334 1.47334
2.775 3.57626 1.74426 1.74426
2.825 3.27768 2.0016 2.0016
2.875 2.96906 2.24303 2.24303
2.925 2.64409 2.46558 2.46558
2.975 2.35974 2.67105 2.67105
3.025 2.10043 2.86013 2.86013
3.075 1.87185 3.03426 3.03426
3.125 1.66141 3.19387 3.19387
3.175 1.49946 3.34257 3.34257
3.225 1.34146 3.47983 3.47983
3.275 1.21532 3.60807 3.60807
3.325 1.10853 3.72864 3.72864
3.375 1.01265 3.84211 3.84211
3.425 0.937074 3.95025 3.95025
3.475 0.868759 4.05346 4.05346
3.525 0.814233 4.15299 4.15299
3.575 0.767289 4.24947 4.24947
3.625 0.723121 4.34295 4.34295
3.675 0.690395 4.43468 4.43468
3.725 0.658304 4.52454 4.52454
3.775 0.633069 4.61329 4.61329
3.825 0.609437 4.70101 4.70101
3.875 0.598001 4.78935 4.78935
3.925 0.575879 4.87663 4.87663
3.975 0.56755 4.96485 4.96485
4.025 0.557494 5.0537 5.0537
4.075 0.553047 5.14405 5.14405
4.125 0.54616 5.23548 5.23548
4.175 0.540712 5.3282 5.3282
4.225 0.539993 5.42303 5.42303
4.275 0.547299 5.52143 5.52143
4.325 0.549881 5.62262 5.62262
4.375 0.554479 5.72703 5.72703
4.425 0.558942 5.8347 5.8347
4.475 0.565328 5.94607 5.94607
4.525 0.570702 6.06103 6.06103
4.575 0.58462 6.18141 6.18141
4.625 0.593941 6.3064 6.3064
4.675 0.609775 6.43751 6.43751
4.725 0.623525 6.57446 6.57446
4.775 0.639436 6.71789 6.71789
4.825 0.6559 6.86811 6.86811
4.875 0.674059 7.0257 7.0257
4.925 0.698432 7.19236 7.19236
4.975 0.721384 7.36802 7.36802
5.025 0.739642 7.55175 7.55175
5.075 0.769821 7.74681 7.74681
5.125 0.796715 7.95268 7.95268
5.175 0.821349 8.16907 8.16907
5.225 0.846637 8.39646 8.39646
5.275 0.877548 8.63668 8.63668
5.325 0.907726 8.8899 8.8899
5.375 0.940265 9.15714 9.15714
5.425 0.971101 9.43831 9.43831
5.475 1.00495 9.73466 9.73466
5.525 1.03369 10.0451 10.0451
5.575 1.06822 10.3717 10.3717
5.625 1.09399 10.7122 10.7122
5.675 1.12657 11.0692 11.0692
5.725 1.15275 11.4409 11.4409
5.775 1.17758 11.8272 11.8272
5.825 1.2002 12.2279 12.2279
5.875 1.22021 12.6422 12.6422
5.925 1.24169 13.071 13.071
5.975 1.26068 13.5138 13.5138
6.025 1.27083 13.9676 13.9676
6.075 1.28341 14.4336 14.4336
6.125 1.28764 14.9088 14.9088
6.175 1.28889 15.3923 15.3923
6.225 1.29264 15.8851 15.8851
6.275 1.28503 16.3829 16.3829
6.325 1.28091 16.887 16.887
6.375 1.27571 17.3971 17.3971
6.425 1.26364 17.9102 17.9102
6.475 1.25123 18.4263 18.4263
6.525 1.23641 18.9442 18.9442
6.575 1.22284 19.4643 19.4643
6.625 1.20478 19.9845 19.9845
6.675 1.18569 20.5042 20.5042
6.725 1.16969 21.0246 21.0246
6.775 1.15028 21.544 21.544
6.825 1.13421 22.0638 22.0638
6.875 1.11229 22.581 22.581
6.925 1.09459 23.0974 23.0974
6.975 1.07573 23.6123 23.6123
7.025 1.0587 24.1263 24.1263
7.075 1.03902 24.6379 24.6379
7.125 1.02334 25.149 25.149
7.175 1.00508 25.658 25.658
7.225 0.990867 26.1669 26.1669
7.275 0.977101 26.6756 26.6756
7.325 0.963513 27.1842 27.1842
7.375 0.949121 27.6921 27.6921
7.425 0.941414 28.2027 28.2027
7.475 0.929555 28.7137 28.7137
7.525 0.920278 29.2263 29.2263
7.575 0.909762 29.7399 29.7399
7.625 0.899649 30.2545 30.2545
7.675 0.893791 30.7724 30.7724
7.725 0.887196 31.2933 31.2933
7.775 0.883635 31.8188 31.8188
7.825 0.8791 32.3483 32.3483
7.875 0.87333 32.8811 32.8811
7.925 0.871822 33.4198 33.4198
7.975 0.867948 33.9629 33.9629
8.025 0.870364 34.5143 34.5143
8.075 0.867655 35.0709 35.0709
8.125 0.867753 35.6344 35.6344
8.175 0.868311 36.2053 36.2053
8.225 0.870325 36.7846 36.7846
8.275 0.872985 37.3726 37.3726
8.325 0.875922 37.9699 37.9699
8.375 0.88078 38.5776 38.5776
8.425 0.886429 39.1966 39.1966
8.475 0.890469 39.8258 39.8258
8.525 0.897414 40.4675 40.4675
8.575 0.903537 41.1211 41.1211
8.625 0.91127 41.788 41.788
8.675 0.915898 42.466 42.466
