# Radial distribution function in trajectory wolf/nacl/molten/md/NVT/trajectory.nc
# Using selection: name Na
# r   g(r)   N_ij(r)   N_ji(r)
0.025 0 0 0
0.075 0 0 0
0.125 0 0 0
0.175 0 0 0
0.225 0 0 0
0.275 0 0 0
0.325 0 0 0
0.375 0 0 0
0.425 0 0 0
0.475 0 0 0
0.525 0 0 0
0.575 0 0 0
0.625 0 0 0
0.675 0 0 0
0.725 0 0 0
0.775 0 0 0
0.825 0 0 0
0.875 0 0 0
0.925 0 0 0
0.975 0 0 0
1.025 0 0 0
1.075 0 0 0
1.125 0 0 0
1.175 0 0 0
1.225 0 0 0
1.275 0 0 0
1.325 0 0 0
1.375 0 0 0
1.425 0 0 0
1.475 0 0 0
1.525 0 0 0
1.575 0 0 0
1.625 0 0 0
1.675 0 0 0
1.725 0 0 0
1.775 0 0 0
1.825 0 0 0
1.875 0 0 0
1.925 0 0 0
1.975 0 0 0
2.025 0 0 0
2.075 0.000184394 7.81055e-06 7.81055e-06
2.125 0.000615365 3.51475e-05 3.51475e-05
2.175 0.00134262 9.76318e-05 9.76318e-05
2.225 0.00156361 0.000173785 0.000173785
2.275 0.00348981 0.000351475 0.000351475
2.325 0.0043327 0.000581886 0.000581886
2.375 0.00858589 0.00105833 0.00105833
2.425 0.0117119 0.00173589 0.00173589
2.475 0.0171407 0.00276884 0.00276884
2.525 0.0275514 0.00449692 0.00449692
2.575 0.0390342 0.00704316 0.00704316
2.625 0.0530007 0.010636 0.010636
2.675 0.0716195 0.0156777 0.0156777
2.725 0.0975357 0.0228029 0.0228029
2.775 0.125472 0.0323083 0.0323083
2.825 0.158774 0.044774 0.044774
2.875 0.197915 0.0608676 0.0608676
2.925 0.240389 0.0811008 0.0811008
2.975 0.290953 0.106434 0.106434
3.025 0.356377 0.138516 0.138516
3.075 0.418497 0.177446 0.177446
3.125 0.483726 0.223919 0.223919
3.175 0.549968 0.27846 0.27846
3.225 0.628313 0.342748 0.342748
3.275 0.704189 0.417052 0.417052
3.325 0.776471 0.501504 0.501504
3.375 0.859179 0.597782 0.597782
3.425 0.928504 0.704935 0.704935
3.475 1.00492 0.824317 0.824317
3.525 1.06984 0.955095 0.955095
3.575 1.13759 1.09813 1.09813
3.625 1.20493 1.2539 1.2539
3.675 1.25395 1.4205 1.4205
3.725 1.29591 1.5974 1.5974
3.775 1.34946 1.78659 1.78659
3.825 1.38099 1.98536 1.98536
3.875 1.41091 2.19378 2.19378
3.925 1.43974 2.41198 2.41198
3.975 1.45707 2.63848 2.63848
4.025 1.46696 2.87228 2.87228
4.075 1.46367 3.11139 3.11139
4.125 1.46545 3.3567 3.3567
4.175 1.46142 3.6073 3.6073
4.225 1.44668 3.86136 3.86136
4.275 1.43965 4.12019 4.12019
4.325 1.42148 4.38178 4.38178
4.375 1.4077 4.64685 4.64685
4.425 1.384 4.91345 4.91345
4.475 1.36916 5.18319 5.18319
4.525 1.34246 5.45361 5.45361
4.575 1.32538 5.72652 5.72652
4.625 1.30348 6.00082 6.00082
4.675 1.28773 6.27769 6.27769
4.725 1.26998 6.55663 6.55663
4.775 1.25244 6.83756 6.83756
4.825 1.2359 7.12062 7.12062
4.875 1.2252 7.40707 7.40707
4.925 1.21045 7.69591 7.69591
4.975 1.19168 7.98608 7.98608
5.025 1.18268 8.27987 8.27987
5.075 1.17362 8.57724 8.57724
5.125 1.1597 8.8769 8.8769
5.175 1.15182 9.18036 9.18036
5.225 1.12368 9.48215 9.48215
5.275 1.10339 9.7842 9.7842
5.325 1.08653 10.0873 10.0873
5.375 1.06025 10.3886 10.3886
5.425 1.03521 10.6884 10.6884
5.475 1.0063 10.9851 10.9851
5.525 0.984643 11.2808 11.2808
5.575 0.956165 11.5732 11.5732
5.625 0.935265 11.8643 11.8643
5.675 0.91418 12.1539 12.1539
5.725 0.892044 12.4416 12.4416
5.775 0.871605 12.7275 12.7275
5.825 0.85308 13.0123 13.0123
5.875 0.842744 13.2985 13.2985
5.925 0.821734 13.5823 13.5823
5.975 0.808038 13.8661 13.8661
6.025 0.799582 14.1516 14.1516
6.075 0.791465 14.439 14.439
6.125 0.786611 14.7293 14.7293
6.175 0.785188 15.0238 15.0238
6.225 0.777323 15.3202 15.3202
6.275 0.777556 15.6214 15.6214
6.325 0.778662 15.9278 15.9278
6.375 0.778583 16.2391 16.2391
6.425 0.782716 16.557 16.557
6.475 0.789781 16.8827 16.8827
6.525 0.795495 17.2159 17.2159
6.575 0.799714 17.556 17.556
6.625 0.81379 17.9074 17.9074
6.675 0.822657 18.268 18.268
6.725 0.836793 18.6403 18.6403
6.775 0.846558 19.0226 19.0226
6.825 0.858505 19.416 19.416
6.875 0.871196 19.8211 19.8211
6.925 0.88505 20.2387 20.2387
6.975 0.895184 20.6671 20.6671
7.025 0.91389 21.1108 21.1108
7.075 0.929615 21.5686 21.5686
7.125 0.942864 22.0395 22.0395
7.175 0.962953 22.5272 22.5272
7.225 0.974268 23.0275 23.0275
7.275 0.988243 23.542 23.542
7.325 1.00115 24.0705 24.0705
7.375 1.01174 24.6119 24.6119
7.425 1.02884 25.1699 25.1699
7.475 1.04038 25.7418 25.7418
7.525 1.05522 26.3296 26.3296
7.575 1.06289 26.9296 26.9296
7.625 1.07534 27.5447 27.5447
7.675 1.08366 28.1726 28.1726
7.725 1.09372 28.8147 28.8147
7.775 1.10234 29.4703 29.4703
7.825 1.10716 30.1372 30.1372
7.875 1.11668 30.8185 30.8185
7.925 1.1208 31.511 31.511
7.975 1.11895 32.2112 32.2112
8.025 1.12234 32.9222 32.9222
8.075 1.12603 33.6446 33.6446
8.125 1.12618 34.3759 34.3759
8.175 1.12366 35.1147 35.1147
8.225 1.12113 35.8609 35.8609
8.275 1.12015 36.6155 36.6155
8.325 1.12077 37.3796 37.3796
8.375 1.11732 38.1506 38.1506
8.425 1.11066 38.9262 38.9262
8.475 1.10504 39.707 39.707
8.525 1.09946 40.4931 40.4931
8.575 1.09359 41.2842 41.2842
8.625 1.08731 42.0799 42.0799
