# step neighbors
-20.0 7.025
-19.666666666666668 6.925
-19.333333333333332 6.975
-19.0 6.85
-18.666666666666668 6.9
-18.333333333333332 6.675
-18.0 6.875
-17.666666666666668 6.65
-17.333333333333332 6.675
-17.0 6.6
-16.666666666666668 6.325
-16.333333333333332 6.3
-16.0 6.45
-15.666666666666668 6.0
-15.333333333333332 6.25
-15.0 6.325
-14.666666666666668 6.175
-14.333333333333332 6.05
-14.0 6.25
-13.666666666666668 6.025
-13.333333333333332 6.275
-13.0 6.5
-12.666666666666668 6.275
-12.333333333333332 6.45
-12.0 6.45
-11.666666666666666 6.475
-11.333333333333334 6.7
-11.0 6.675
-10.666666666666666 6.75
-10.333333333333334 7.05
-10.0 6.7
-9.666666666666666 6.95
-9.333333333333334 6.925
-9.0 6.925
-8.666666666666666 6.825
-8.333333333333334 7.05
-8.0 7.025
-7.666666666666666 7.025
-7.333333333333334 6.95
-7.0 6.95
-6.666666666666666 7.075
-6.333333333333334 7.0
-6.0 6.925
-5.666666666666666 6.95
-5.333333333333334 7.0
-5.0 6.9
-4.666666666666666 6.325
-4.333333333333334 6.575
-4.0 5.875
-3.666666666666668 5.725
-3.333333333333332 5.975
-3.0 5.825
-2.666666666666668 5.65
-2.333333333333332 5.275
-2.0 5.15
-1.6666666666666679 4.925
-1.3333333333333321 4.85
-1.0 4.7
-0.6666666666666679 4.375
-0.33333333333333215 4.325
0.0 4.375
0.33333333333333215 4.025
0.6666666666666679 4.05
1.0 4.3
1.3333333333333321 4.375
1.6666666666666679 4.975
2.0 4.975
2.333333333333332 5.275
2.666666666666668 5.35
3.0 6.175
3.333333333333332 6.125
3.666666666666668 6.625
4.0 6.7
4.333333333333332 6.825
4.666666666666668 6.725
5.0 6.925
5.333333333333332 6.825
5.666666666666668 6.95
6.0 7.1
6.333333333333332 6.7
6.666666666666668 7.125
7.0 6.925
7.333333333333332 6.675
7.666666666666668 6.925
8.0 6.925
8.333333333333332 6.775
8.666666666666668 6.925
9.0 6.925
9.333333333333332 6.95
9.666666666666668 7.025
10.0 6.85
10.333333333333332 6.275
10.666666666666668 6.05
11.0 5.75
11.333333333333332 5.75
11.666666666666668 5.625
12.0 5.4
12.333333333333336 5.375
12.666666666666664 5.2
13.0 5.15
13.333333333333336 4.925
13.666666666666664 4.55
14.0 4.275
14.333333333333336 4.325
14.666666666666664 4.275
15.0 3.9
15.333333333333336 4.15
15.666666666666664 4.275
16.0 4.6
16.333333333333336 4.875
16.666666666666664 5.1
17.0 5.5
17.333333333333336 5.625
17.666666666666664 6.075
18.0 6.3
18.333333333333336 6.35
18.666666666666664 6.35
19.0 6.925
19.333333333333336 6.725
19.666666666666664 7.0
