# step neighbors
-20.0 3.75345
-19.666666666666668 3.75527
-19.333333333333332 3.7554
-19.0 3.75812
-18.666666666666668 3.75393
-18.333333333333332 3.75338
-18.0 3.75398
-17.666666666666668 3.75412
-17.333333333333332 3.7537
-17.0 3.7566
-16.666666666666668 3.75664
-16.333333333333332 3.75086
-16.0 3.75418
-15.666666666666668 3.75776
-15.333333333333332 3.75525
-15.0 3.75342
-14.666666666666668 3.75532
-14.333333333333332 3.75132
-14.0 3.75783
-13.666666666666668 3.75631
-13.333333333333332 3.7538
-13.0 3.75391
-12.666666666666668 3.75154
-12.333333333333332 3.75222
-12.0 3.75107
-11.666666666666666 3.75552
-11.333333333333334 3.75409
-11.0 3.75536
-10.666666666666666 3.75254
-10.333333333333334 3.75369
-10.0 3.7536
-9.666666666666666 3.75209
-9.333333333333334 3.75391
-9.0 3.75934
-8.666666666666666 3.75352
-8.333333333333334 3.75881
-8.0 3.75473
-7.666666666666666 3.75831
-7.333333333333334 3.75229
-7.0 3.75018
-6.666666666666666 3.74982
-6.333333333333334 3.75916
-6.0 3.75769
-5.666666666666666 3.75466
-5.333333333333334 3.75122
-5.0 3.75787
-4.666666666666666 3.75423
-4.333333333333334 3.75425
-4.0 3.75733
-3.666666666666668 3.75662
-3.333333333333332 3.75556
-3.0 3.75715
-2.666666666666668 3.75702
-2.333333333333332 3.75043
-2.0 3.75594
-1.6666666666666679 3.75924
-1.3333333333333321 3.75336
-1.0 3.75615
-0.6666666666666679 3.75296
-0.33333333333333215 3.75302
0.0 3.75117
0.33333333333333215 3.75285
0.6666666666666679 3.75485
1.0 3.75414
1.3333333333333321 3.75433
1.6666666666666679 3.75487
2.0 3.75109
2.333333333333332 3.75172
2.666666666666668 3.75489
3.0 3.755
3.333333333333332 3.75435
3.666666666666668 3.75694
4.0 3.75463
4.333333333333332 3.75293
4.666666666666668 3.75472
5.0 3.75265
5.333333333333332 3.75465
5.666666666666668 3.7566
6.0 3.75465
6.333333333333332 3.75074
6.666666666666668 3.75452
7.0 3.75151
7.333333333333332 3.75458
7.666666666666668 3.75659
8.0 3.76061
8.333333333333332 3.75511
8.666666666666668 3.75651
9.0 3.75687
9.333333333333332 3.75109
9.666666666666668 3.75429
10.0 3.75415
10.333333333333332 3.75494
10.666666666666668 3.75672
11.0 3.75172
11.333333333333332 3.76015
11.666666666666668 3.7531
12.0 3.75162
12.333333333333336 3.75473
12.666666666666664 3.7554
13.0 3.75495
13.333333333333336 3.75497
13.666666666666664 3.75461
14.0 3.75644
14.333333333333336 3.755
14.666666666666664 3.75246
15.0 3.75152
15.333333333333336 3.75199
15.666666666666664 3.75476
16.0 3.75653
16.333333333333336 3.75669
16.666666666666664 3.75463
17.0 3.75554
17.333333333333336 3.75447
17.666666666666664 3.75277
18.0 3.75473
18.333333333333336 3.75324
18.666666666666664 3.75227
19.0 3.75554
19.333333333333336 3.75284
19.666666666666664 3.7517
