# c t1 t2 %1 %2 p

0 3.27100765598 9.8449797365 69.6955551433 15.4362822996 0
1 3.35793690388 10.1028085891 67.0090281946 17.3315772279 0
5 3.70068907211 11.0928358854 48.7751386734 32.3509892309 0
10 3.30614263865 14.5624191301 30.3161995067 47.1665685175 0
15 3.28149451373 21.4864457098 25.4822371034 47.582939511 0
20 2.872492352 27.7444540892 20.9277563021 47.9181022085 0

0 3.03544071901 9.65340299634 70.4234438218 13.8591968063 0.1
1 3.17147272149 10.1305559223 67.3626819064 16.0946792949 0.1
5 3.24313956119 10.3716793079 44.6601623611 36.4383233259 0.1
10 3.02058270106 14.8571299424 26.8558197292 50.3271543842 0.1
15 3.29675202989 24.5729647583 25.9519469079 46.3350438357 0.1
20 3.61542411589 38.1787490746 22.0231948389 46.4701302981 0.1

0 2.96267828883 11.1252526107 72.9822392917 10.2721237405 0.2
1 3.06572339206 10.6583923969 68.6989572374 13.9944184154 0.2
5 3.31731800518 10.6224764396 47.9214789666 32.0907793423 0.2
10 3.21392233729 16.1605233664 30.7634078074 45.5735828392 0.2
15 3.04804865237 22.9012545015 23.5885363295 49.0371987803 0.2
20 3.18759189825 36.5006154087 20.9740281146 47.7157970233 0.2

0 2.81217951 10.5965263289 71.2137075741 11.4215031404 0.3
1 3.03695868736 11.6100181998 69.9865446303 11.5166721925 0.3
5 3.4372487818 10.7010539164 50.4194128546 28.3375457336 0.3
10 3.27890672335 15.1136590118 31.6178428127 43.8297938011 0.3
15 3.2154265635605 17.9109840103 25.5793445926 45.7847689951 0.3
20 3.2295446838 39.9232819653 20.9217758377 47.2275255124 0.3

0 2.64397420233 11.2631149147 70.664304192 10.825214101 0.5
1 2.8190921659 11.4536954782 68.3067224274 12.1729348683 0.5
5 3.27854072328 11.0628882777 51.2661263128 26.0939009104 0.5
10 3.16078846575 15.0550734884 29.4408053686 44.5675031463 0.5
15 3.20776437986 27.8436642256 23.6925606886 45.8821949936 0.5
20 2.99086524958 40.3679548931 19.2085146087 47.8783785606 0.5

0 2.65761569613 12.9533080198 68.4696778908 9.95036963193 1
1 2.66393233334 11.2570179714 63.7524227747 14.2545940948 1
5 3.12923636808 11.5953192153 45.3006664967 29.7027738946 1
10 3.14912589093 16.7076734883 27.6985781305 43.4116123224 1
15 3.38151982656 29.6315035943 23.1105210424 43.8811441186 1
20 3.06737717751 46.4743276872 18.3772405831 46.7343055048 1
