# c t1 t2 %1 %2 p

0 1.40658839313 11.2741911632 45.1743287634 8.9437862363 0
1 1.56410938605 13.7942232044 42.2592798927 15.0058710176 0
5 2.05001968505 26.7547223093 35.4525358999 28.0026532569 0
10 2.31140246471 38.7190676074 29.1171886717 37.42755643 0
15 2.36549179246 49.2598466447 23.7932842606 45.6517022153 0
20 2.35761580708 61.9485008444 21.9698117512 47.4591222908 0

0 1.40651605988 11.6638325503 44.2341190602 9.39226539027 0.1
1 1.60066325381 14.5923005223 42.0354776283 15.7467909854 0.1
5 2.17182244803 26.6377038594 35.5637968002 27.6392155931 0.1
10 2.48603211082 40.3161110227 29.8291227298 35.9872472794 0.1
15 2.5523979902 53.3476791533 23.0595216964 45.6622718811 0.1
20 2.73275785023 56.3882234374 22.2998509695 44.9576393078 0.1

0 1.42127458557 11.591063478 44.2164873576 10.1748996435 0.2
1 1.61656262564 14.84887317 41.2320692596 16.1756369211 0.2
5 2.16608689971 28.2816470996 34.9394646529 28.8081094547 0.2
10 2.43898134658 41.6541841289 28.6549213879 37.4836687962 0.2
15 2.76283184552 62.4717079749 23.5383491776 43.8293268891 0.2
20 2.7881417402 64.0869013026 22.2685967852 45.5808751298 0.2

0 1.45827087227 12.302583107 43.7652445297 10.6185249808 0.3
1 1.67955975482 15.5084763493 40.6884047332 16.4924358294 0.3
5 2.17545136348 28.2521524787 34.787660938 29.0862230701 0.3
10 2.53826060039 39.3768853588 27.985167727 37.7440891286 0.3
15 2.87768212015 58.3139153567 23.7966392246 43.9541970558 0.3
20 2.8652680965 63.8045861833 21.1157895903 46.8207017413 0.3

0 1.4930209429 12.2963264259 42.5444179721 12.2687513997 0.5
1 1.70274754152 16.7580763175 39.8637992158 17.4543866415 0.5
5 2.25178938806 29.8504897753 33.5722465928 30.1038641523 0.5
10 2.59603601423 45.1324111771 27.5564651221 39.0996387967 0.5
15 2.79730362357 63.1951169178 22.5640810652 45.9099194953 0.5
20 2.82926161904 67.4116971736 21.0788989253 47.4051724916 0.5

0 1.58365255588 15.1297401334 38.9469272582 15.7612759245 1
1 1.77891619431 20.8613754772 36.6685518479 20.7729762386 1
5 2.4298666768 36.8079811826 30.8693233054 33.5976951223 1
10 2.61772794949 55.0392110586 25.159012929 42.1035816247 1
15 2.90714645735 70.0396071678 20.6626893595 48.1763429447 1
20 2.92992135605 75.6546059726 19.60497727 49.0267565629 1
