# c t1 t2 %1 %2 p

0 1.0521429955 2.69274829137 17.1652791153 55.5923782524 0
1 1.83909184734 4.01680185252 30.0457531504 40.3236157209 0
5 2.41859805687 7.69324137236 33.4515472295 37.1165254938 0
10 2.79941196561 13.8330889854 24.8225737484 45.7627661187 0
15 3.2354720337 22.8242724047 21.4140269142 48.529640428 0
20 3.34419880277 31.8061319271 20.7940339778 48.2825607994 0

0 1.06740351632 2.53834246016 20.4481425082 52.6842374844 0.1
1 1.48810201798 3.34431185889 31.0064051227 40.569329265 0.1
5 2.40477228873 7.93768441273 34.9337638246 35.5760233732 0.1
10 2.87568899073 15.0062653596 23.8085302233 46.9577403288 0.1
15 3.21382524286 25.3281632562 21.5031776393 48.9641222837 0.1
20 3.49089467414 37.2638257873 19.9819194515 49.6368255357 0.1

0 1.10667420513 2.50274646219 23.4646104522 49.5478048328 0.2
1 1.74804034068 3.58348497653 41.909224575 28.1810378633 0.2
5 2.30552774838 7.65911559342 34.72630158 35.8068164587 0.2
10 2.90135165036 15.5925272502 24.8390013361 45.9185651255 0.2
15 3.03001806465 24.4115438123 20.2463681217 50.227422783 0.2
20 3.57255343155 39.5641528629 19.7389329144 49.995359656 0.2

0 1.46217419905 2.6441661359 37.4134359133 33.486644513 0.3
1 1.67112800882 3.47702606736 42.0475754136 28.2057948638 0.3
5 2.30833687794 7.35191408746 34.890599072 35.2100345483 0.3
10 2.98511154711 15.1804867161 26.4202887644 43.7917976297 0.3
15 3.22473875724 27.1916828644 20.8233193226 49.7675487264 0.3
20 3.59140912101 40.1426823563 19.2810119632 50.324849837 0.3

0 1.01757888021 2.25740731713 22.7535262098 50.694046337 0.5
1 1.67710073243 3.48209856384 46.8078458084 23.1971312671 0.5
5 2.20032545621 7.14758210036 35.4605017587 34.7916968876 0.5
10 2.8000103884 14.3672783402 24.7845003333 45.4327818781 0.5
15 3.14578753438 28.1311741869 20.7490030506 49.4586231542 0.5
20 3.48775581583 42.5435701129 18.8980127694 51.0198537554 0.5

0 0.909917670824 2.21609401504 19.7978964417 53.9343526791 1
1 1.57730746795 3.64130386417 45.724534674 24.9029625419 1
5 2.31035546349 7.7772634502 35.0047107372 34.1995964042 1
10 2.94458960017 16.4078688593 25.1405058518 44.6421637059 1
15 3.23965788943 29.6236362727 19.8541955542 50.1232169023 1
20 3.36271969569 44.9714099819 17.5451122472 52.1478409361 1
