# c t1 t2 %1 %2 p

0 0.849617963573 4.65320033134 32.1605184379 5.0 0
1 1.22525320975 10.9331177268 31.5212234088 6.23442940873 0
5 1.91634021554 24.3377832449 30.5888245033 15.9069315308 0
10 2.33278568968 33.6414119056 27.0751919802 25.2942750285 0
15 2.62350655451 47.088139208 24.6627652825 30.0531096349 0
20 2.54434363301 51.0279428215 23.7216894413 29.7489345271 0

0 0.866103047579 4.7615463785 32.7377725874 5.0 0.1
1 1.29041394668 10.8467589309 31.4609461913 6.4126143234 0.1
5 2.11170458015 27.7790012117 30.4936460832 16.1981968086 0.1
10 2.5492218664 37.6835667247 27.4640603788 24.6156218001 0.1
15 2.56350646139 41.5216063631 24.1912949436 29.8772526584 0.1
20 2.55379035588 48.3135255318 23.6638413447 29.0901816049 0.1

0 0.891178594776 5.3826328346 33.6059845034 5.0 0.2
1 1.19507193186 10.2679417881 32.5647803397 7.67466748397 0.2
5 1.97565783479 25.7447669897 30.5854753877 17.8116206957 0.2
10 2.30743079382 34.7929256598 25.8803536875 27.6534720704 0.2
15 2.52444514586 46.8057495436 22.8980971257 32.4518973158 0.2
20 2.77492221508 50.0668236628 22.7030558044 30.8114538233 0.2

0 0.952024615553 5.73692653476 32.8510340444 5.0 0.3
1 1.34782183324 11.4332933878 31.493479225 7.10715021358 0.3
5 2.01595771335 26.7350336282 30.2723313709 17.9422807886 0.3
10 2.51510359321 39.1197968285 25.972911847 26.0399159918 0.3
15 2.68265486406 48.4097483504 23.4000433576 31.4945301168 0.3
20 2.49762210461 48.1294940133 22.6892915414 32.4007567494 0.3

0 1.00933665315 6.50542974871 32.6942810572 5.21971146194 0.5
1 1.39801227348 13.9857879123 32.1561410955 7.27190646139 0.5
5 2.09265472179 26.2999578073 31.7673608613 17.7170612064 0.5
10 2.49120201645 38.6939417459 26.3065810016 27.4401764104 0.5
15 2.54578236179 51.118470526 22.872906603 33.3468261534 0.5
20 2.42325386305 48.7322766248 22.2295619506 33.8394307223 0.5

0 1.21530231069 10.1613039946 31.4795114941 5.54721176142 1
1 1.46475345607 13.7976247897 31.4501190994 9.2811021439 1
5 2.35863307961 28.0822524633 29.6363623438 22.1752698668 1
10 2.74107547405 50.8079724766 25.6505476781 29.3629085285 1
15 2.65612613749 48.4614183674 21.8888145024 35.2600600915 1
20 2.79080455289 53.5230315785 21.4799547469 35.1732104779 1
