# value histogram
0.0 0.0127833590933
0.9 0.0137493560021
1.8 0.0149085522926
2.7 0.0160355486862
3.6 0.0175811437403
4.5 0.0222823286965
5.4 0.0249227202473
6.3 0.0290443070582
7.2 0.0330048943843
8.1 0.035741885626
9.0 0.0398312725399
9.9 0.0415378670788
10.8 0.0442748583205
11.7 0.0459814528594
12.6 0.0482354456466
13.5 0.0496200412159
14.4 0.0502640391551
15.3 0.051970633694
16.2 0.0499742400824
17.1 0.0498776403916
18.0 0.0471728490469
18.9 0.0417310664606
19.8 0.0403464708913
20.7 0.031652498712
21.6 0.0281749098403
22.5 0.0245041215868
23.4 0.0204147346728
24.3 0.0162931478619
25.2 0.0145543534261
26.1 0.0115919629057
27.0 0.00904817104585
27.9 0.00701957753735
28.8 0.00470118495621
29.7 0.00447578567749
30.6 0.00299459041731
31.5 0.0017065945389
32.4 0.00106259659969
33.3 0.000547398248326
34.2 0.000386398763524
35.1 0.0
36.0 0.0
36.9 0.0
37.8 0.0
38.7 0.0
39.6 0.0
40.5 0.0
41.4 0.0
42.3 0.0
43.2 0.0
44.1 0.0
45.0 0.0
45.9 0.0
46.8 0.0
47.7 0.0
48.6 0.0
49.5 0.0
50.4 0.0
51.3 0.0
52.2 0.0
53.1 0.0
54.0 0.0
54.9 0.0
55.8 0.0
56.7 0.0
57.6 0.0
58.5 0.0
59.4 0.0
60.3 0.0
61.2 0.0
62.1 0.0
63.0 0.0
63.9 0.0
64.8 0.0
65.7 0.0
66.6 0.0
67.5 0.0
68.4 0.0
69.3 0.0
70.2 0.0
71.1 0.0
72.0 0.0
72.9 0.0
73.8 0.0
74.7 0.0
75.6 0.0
76.5 0.0
77.4 0.0
78.3 0.0
79.2 0.0
80.1 0.0
81.0 0.0
81.9 0.0
82.8 0.0
83.7 0.0
84.6 0.0
85.5 0.0
86.4 0.0
87.3 0.0
88.2 0.0
89.1 0.0
90.0 0.0
90.9 0.0
91.8 0.0
92.7 0.0
93.6 0.0
94.5 0.0
95.4 0.0
96.3 0.0
97.2 0.0
98.1 0.0
99.0 0.0
99.9 0.0
100.8 0.0
101.7 0.0
102.6 0.0
103.5 0.0
104.4 0.0
105.3 0.0
106.2 0.0
107.1 0.0
108.0 0.0
108.9 0.0
109.8 0.0
110.7 0.0
111.6 0.0
112.5 0.0
113.4 0.0
114.3 0.0
115.2 0.0
116.1 0.0
117.0 0.0
117.9 0.0
118.8 0.0
119.7 0.0
120.6 0.0
121.5 0.0
122.4 0.0
123.3 0.0
124.2 0.0
125.1 0.0
126.0 0.0
126.9 0.0
127.8 0.0
128.7 0.0
129.6 0.0
130.5 0.0
131.4 0.0
132.3 0.0
133.2 0.0
134.1 0.0
135.0 0.0
135.9 0.0
136.8 0.0
137.7 0.0
138.6 0.0
139.5 0.0
140.4 0.0
141.3 0.0
142.2 0.0
143.1 0.0
144.0 0.0
144.9 0.0
145.8 0.0
146.7 0.0
147.6 0.0
148.5 0.0
149.4 0.0
150.3 0.0
151.2 0.0
152.1 0.0
153.0 0.0
153.9 0.0
154.8 0.0
155.7 0.0
156.6 0.0
157.5 0.0
158.4 0.0
159.3 0.0
160.2 0.0
161.1 0.0
162.0 0.0
162.9 0.0
163.8 0.0
164.7 0.0
165.6 0.0
166.5 0.0
167.4 0.0
168.3 0.0
169.2 0.0
170.1 0.0
171.0 0.0
171.9 0.0
172.8 0.0
173.7 0.0
174.6 0.0
175.5 0.0
176.4 0.0
177.3 0.0
178.2 0.0
179.1 0.0
