# value histogram
0.0 0.044938079551
0.9 0.0443204001952
1.8 0.0438857369449
2.7 0.0432451805759
3.6 0.0440153733529
4.5 0.0426351268912
5.4 0.0431460468521
6.3 0.0417658003904
7.2 0.0414302708638
8.1 0.0399432650073
9.0 0.0389595534407
9.9 0.0363820766227
10.8 0.0354974987799
11.7 0.0343841508053
12.6 0.0325844924353
13.5 0.0313262567106
14.4 0.0302052830649
15.3 0.0280472181552
16.2 0.0265220839434
17.1 0.0248673133236
18.0 0.0235251952172
18.9 0.0210773548072
19.8 0.0205511835041
20.7 0.0190336749634
21.6 0.0177296852123
22.5 0.0153581015129
23.4 0.0146031600781
24.3 0.0133983040508
25.2 0.0119112981942
26.1 0.0107598218643
27.0 0.00984474133724
27.9 0.00897541483651
28.8 0.0080832113226
29.7 0.00741977794046
30.6 0.00645894338702
31.5 0.00619967057101
32.4 0.00531509272816
33.3 0.00481942410932
34.2 0.00407210834553
35.1 0.00334766959492
36.0 0.00292825768668
36.9 0.00267661054173
37.8 0.00222669594924
38.7 0.00203605417277
39.6 0.00167764763299
40.5 0.00144125183016
41.4 0.00138024646169
42.3 0.0010980966325
43.2 0.000739690092728
44.1 0.000579551000488
45.0 0.000488042947779
45.9 0.000472791605661
46.8 0.000373657881894
47.7 0.000305026842362
48.6 0.000274524158126
49.5 0.00016013909224
50.4 0.000129636408004
51.3 0.000106759394827
52.2 9.15080527086e-05
53.1 8.38823816496e-05
54.0 6.10053684724e-05
54.9 3.05026842362e-05
55.8 1.52513421181e-05
56.7 1.52513421181e-05
57.6 0.0
58.5 7.62567105905e-06
59.4 7.62567105905e-06
60.3 7.62567105905e-06
61.2 0.0
62.1 0.0
63.0 0.0
63.9 0.0
64.8 0.0
65.7 0.0
66.6 0.0
67.5 0.0
68.4 0.0
69.3 0.0
70.2 0.0
71.1 0.0
72.0 0.0
72.9 0.0
73.8 0.0
74.7 0.0
75.6 0.0
76.5 0.0
77.4 0.0
78.3 0.0
79.2 0.0
80.1 0.0
81.0 0.0
81.9 0.0
82.8 0.0
83.7 0.0
84.6 0.0
85.5 0.0
86.4 0.0
87.3 0.0
88.2 0.0
89.1 0.0
90.0 0.0
90.9 0.0
91.8 0.0
92.7 0.0
93.6 0.0
94.5 0.0
95.4 0.0
96.3 0.0
97.2 0.0
98.1 0.0
99.0 0.0
99.9 0.0
100.8 0.0
101.7 0.0
102.6 0.0
103.5 0.0
104.4 0.0
105.3 0.0
106.2 0.0
107.1 0.0
108.0 0.0
108.9 0.0
109.8 0.0
110.7 0.0
111.6 0.0
112.5 0.0
113.4 0.0
114.3 0.0
115.2 0.0
116.1 0.0
117.0 0.0
117.9 0.0
118.8 0.0
119.7 0.0
120.6 0.0
121.5 0.0
122.4 0.0
123.3 0.0
124.2 0.0
125.1 0.0
126.0 0.0
126.9 0.0
127.8 0.0
128.7 0.0
129.6 0.0
130.5 0.0
131.4 0.0
132.3 0.0
133.2 0.0
134.1 0.0
135.0 0.0
135.9 0.0
136.8 0.0
137.7 0.0
138.6 0.0
139.5 0.0
140.4 0.0
141.3 0.0
142.2 0.0
143.1 0.0
144.0 0.0
144.9 0.0
145.8 0.0
146.7 0.0
147.6 0.0
148.5 0.0
149.4 0.0
150.3 0.0
151.2 0.0
152.1 0.0
153.0 0.0
153.9 0.0
154.8 0.0
155.7 0.0
156.6 0.0
157.5 0.0
158.4 0.0
159.3 0.0
160.2 0.0
161.1 0.0
162.0 0.0
162.9 0.0
163.8 0.0
164.7 0.0
165.6 0.0
166.5 0.0
167.4 0.0
168.3 0.0
169.2 0.0
170.1 0.0
171.0 0.0
171.9 0.0
172.8 0.0
173.7 0.0
174.6 0.0
175.5 0.0
176.4 0.0
177.3 0.0
178.2 0.0
179.1 0.0
